Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:20:58.795467,22:21:04.229644,1,-1.0
1,22:20:58.795467,22:21:13.947988,1,-1.0
1,22:20:58.795467,22:21:24.929682,1,-1.0
1,22:20:58.795467,22:21:31.434168,-1,-1.0
1,22:20:58.795467,22:21:36.998509,-1,-1.0
1,22:20:58.795467,22:21:41.998723,-1,-1.0
1,22:20:58.795467,22:21:48.225859,1,-1.0
1,22:20:58.795467,22:22:00.779211,1,-1.0
1,22:20:58.795467,22:22:08.146051,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,22:22:13.441966,22:22:20.232264,1,-1.0
2,22:22:13.441966,22:22:27.274462,-1,-1.0
2,22:22:13.441966,22:22:33.516000,-1,-1.0
2,22:22:13.441966,22:22:45.288783,1,-1.0
2,22:22:13.441966,22:22:54.349372,-1,-1.0
2,22:22:13.441966,22:22:58.323787,1,-1.0
2,22:22:13.441966,22:23:06.813696,1,-1.0
2,22:22:13.441966,22:23:15.743516,1,-1.0
