Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:47:24.983237,22:47:27.793339,1,-1.0
1,22:47:24.983237,22:47:27.955583,1,-1.0
1,22:47:24.983237,22:47:28.084987,1,-1.0
1,22:47:24.983237,22:47:28.236299,1,-1.0
1,22:47:24.983237,22:47:28.388723,1,-1.0
1,22:47:24.983237,22:47:28.550242,1,-1.0
1,22:47:24.983237,22:47:28.724478,1,-1.0
1,22:47:24.983237,22:47:28.845545,1,-1.0
1,22:47:24.983237,22:47:29.080312,1,-1.0
1,22:47:24.983237,22:47:29.219920,1,-1.0
1,22:47:24.983237,22:47:29.372436,1,-1.0
1,22:47:24.983237,22:47:29.503346,1,-1.0
1,22:47:24.983237,22:47:29.838361,1,-1.0
1,22:47:24.983237,22:47:29.979841,1,-1.0
1,22:47:24.983237,22:47:30.132423,1,-1.0
1,22:47:24.983237,22:47:30.263337,1,-1.0
1,22:47:24.983237,22:47:30.404480,1,-1.0
1,22:47:24.983237,22:47:30.524408,1,-1.0
1,22:47:24.983237,22:47:30.656150,1,-1.0
1,22:47:24.983237,22:47:30.777715,1,-1.0
1,22:47:24.983237,22:47:30.896299,1,-1.0
1,22:47:24.983237,22:47:31.039473,1,-1.0
1,22:47:24.983237,22:47:31.180196,1,-1.0
1,22:47:24.983237,22:47:31.384305,1,-1.0
1,22:47:24.983237,22:47:31.525348,1,-1.0
1,22:47:24.983237,22:47:31.656655,1,-1.0
1,22:47:24.983237,22:47:31.767895,1,-1.0
1,22:47:24.983237,22:47:32.099241,-1,-1.0
1,22:47:24.983237,22:47:32.209475,-1,-1.0
1,22:47:24.983237,22:47:32.350309,-1,-1.0
1,22:47:24.983237,22:47:32.491005,-1,-1.0
1,22:47:24.983237,22:47:32.642192,-1,-1.0
1,22:47:24.983237,22:47:32.771044,-1,-1.0
1,22:47:24.983237,22:47:32.955126,1,-1.0
1,22:47:24.983237,22:47:33.231505,1,-1.0
1,22:47:24.983237,22:47:33.379567,1,-1.0
1,22:47:24.983237,22:47:33.529552,1,-1.0
1,22:47:24.983237,22:47:33.670605,1,-1.0
1,22:47:24.983237,22:47:33.811931,1,-1.0
1,22:47:24.983237,22:47:33.953808,1,-1.0
1,22:47:24.983237,22:47:34.103634,1,-1.0
1,22:47:24.983237,22:47:34.234205,1,-1.0
1,22:47:24.983237,22:47:34.374473,1,-1.0
1,22:47:24.983237,22:47:34.526503,1,-1.0
1,22:47:24.983237,22:47:34.680577,1,-1.0
1,22:47:24.983237,22:47:34.820364,1,-1.0
1,22:47:24.983237,22:47:34.956416,1,-1.0
1,22:47:24.983237,22:47:35.109332,1,-1.0
1,22:47:24.983237,22:47:35.251009,1,-1.0
1,22:47:24.983237,22:47:35.392257,1,-1.0
1,22:47:24.983237,22:47:35.533917,1,-1.0
1,22:47:24.983237,22:47:35.684821,1,-1.0
1,22:47:24.983237,22:47:35.837515,1,-1.0
1,22:47:24.983237,22:47:35.977661,1,-1.0
1,22:47:24.983237,22:47:36.115692,1,-1.0
1,22:47:24.983237,22:47:36.225089,1,-1.0
1,22:47:24.983237,22:47:36.384979,1,-1.0
1,22:47:24.983237,22:47:36.534583,1,-1.0
1,22:47:24.983237,22:47:36.679241,1,-1.0
1,22:47:24.983237,22:47:36.988540,1,-1.0
1,22:47:24.983237,22:47:37.182005,1,-1.0
1,22:47:24.983237,22:47:37.343168,1,-1.0
1,22:47:24.983237,22:47:37.473492,1,-1.0
1,22:47:24.983237,22:47:37.682768,1,-1.0
1,22:47:24.983237,22:47:38.154745,-1,-1.0
1,22:47:24.983237,22:47:38.307593,-1,-1.0
1,22:47:24.983237,22:47:38.490771,-1,-1.0
1,22:47:24.983237,22:47:38.683765,1,-1.0
1,22:47:24.983237,22:47:38.855729,1,-1.0
1,22:47:24.983237,22:47:39.239783,1,-1.0
1,22:47:24.983237,22:47:39.371406,1,-1.0
1,22:47:24.983237,22:47:39.523606,1,-1.0
1,22:47:24.983237,22:47:39.726357,1,-1.0
1,22:47:24.983237,22:47:39.865928,1,-1.0
1,22:47:24.983237,22:47:40.016291,1,-1.0
1,22:47:24.983237,22:47:40.146442,1,-1.0
1,22:47:24.983237,22:47:40.277513,1,-1.0
1,22:47:24.983237,22:47:40.442695,1,-1.0
1,22:47:24.983237,22:47:40.603516,1,-1.0
