Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:24:09.901063,23:24:10.623338,-1,-1.0
1,23:24:09.901063,23:24:10.758002,-1,-1.0
1,23:24:09.901063,23:24:10.900779,-1,-1.0
1,23:24:09.901063,23:24:11.036313,-1,-1.0
1,23:24:09.901063,23:24:11.138175,-1,-1.0
1,23:24:09.901063,23:24:11.261098,-1,-1.0
1,23:24:09.901063,23:24:11.382364,-1,-1.0
1,23:24:09.901063,23:24:11.504659,-1,-1.0
1,23:24:09.901063,23:24:11.618955,-1,-1.0
1,23:24:09.901063,23:24:11.753447,-1,-1.0
1,23:24:09.901063,23:24:11.878900,-1,-1.0
1,23:24:09.901063,23:24:11.994503,-1,-1.0
1,23:24:09.901063,23:24:12.223907,-1,-1.0
1,23:24:09.901063,23:24:12.350432,-1,-1.0
1,23:24:09.901063,23:24:12.482782,-1,-1.0
1,23:24:09.901063,23:24:12.616820,-1,-1.0
1,23:24:09.901063,23:24:12.750817,-1,-1.0
1,23:24:09.901063,23:24:12.885962,-1,-1.0
1,23:24:09.901063,23:24:13.013593,-1,-1.0
1,23:24:09.901063,23:24:13.144708,-1,-1.0
1,23:24:09.901063,23:24:13.280332,-1,-1.0
1,23:24:09.901063,23:24:13.403669,-1,-1.0
1,23:24:09.901063,23:24:13.517463,-1,-1.0
1,23:24:09.901063,23:24:13.632431,-1,-1.0
1,23:24:09.901063,23:24:13.747809,-1,-1.0
1,23:24:09.901063,23:24:13.871050,-1,-1.0
1,23:24:09.901063,23:24:13.993998,-1,-1.0
1,23:24:09.901063,23:24:14.115076,-1,-1.0
1,23:24:09.901063,23:24:14.228370,-1,-1.0
1,23:24:09.901063,23:24:14.350641,-1,-1.0
1,23:24:09.901063,23:24:14.474150,-1,-1.0
1,23:24:09.901063,23:24:14.565091,-1,-1.0
1,23:24:09.901063,23:24:14.699891,-1,-1.0
1,23:24:09.901063,23:24:15.700415,-1,-1.0
1,23:24:09.901063,23:24:15.833960,1,-1.0
1,23:24:09.901063,23:24:15.979115,1,-1.0
1,23:24:09.901063,23:24:16.123328,1,-1.0
1,23:24:09.901063,23:24:16.272377,1,-1.0
1,23:24:09.901063,23:24:16.418091,1,-1.0
1,23:24:09.901063,23:24:16.572424,1,-1.0
1,23:24:09.901063,23:24:16.715696,1,-1.0
1,23:24:09.901063,23:24:16.860663,1,-1.0
1,23:24:09.901063,23:24:16.993462,1,-1.0
1,23:24:09.901063,23:24:17.138289,1,-1.0
1,23:24:09.901063,23:24:17.284936,1,-1.0
1,23:24:09.901063,23:24:17.432115,1,-1.0
1,23:24:09.901063,23:24:17.569276,1,-1.0
1,23:24:09.901063,23:24:17.695155,1,-1.0
1,23:24:09.901063,23:24:17.833226,1,-1.0
1,23:24:09.901063,23:24:17.966124,1,-1.0
1,23:24:09.901063,23:24:18.112226,1,-1.0
1,23:24:09.901063,23:24:18.243532,1,-1.0
1,23:24:09.901063,23:24:18.379386,1,-1.0
1,23:24:09.901063,23:24:18.491519,1,-1.0
1,23:24:09.901063,23:24:18.679178,1,-1.0
1,23:24:09.901063,23:24:18.822706,1,-1.0
1,23:24:09.901063,23:24:19.029111,1,-1.0
1,23:24:09.901063,23:24:19.192513,1,-1.0
1,23:24:09.901063,23:24:19.481835,1,-1.0
1,23:24:09.901063,23:24:19.639841,1,-1.0
1,23:24:09.901063,23:24:19.838338,1,-1.0
1,23:24:09.901063,23:24:19.982983,1,-1.0
1,23:24:09.901063,23:24:21.272098,1,-1.0
1,23:24:09.901063,23:24:21.415233,1,-1.0
1,23:24:09.901063,23:24:21.603704,1,-1.0
1,23:24:09.901063,23:24:21.768667,1,-1.0
1,23:24:09.901063,23:24:21.913501,1,-1.0
1,23:24:09.901063,23:24:22.050933,1,-1.0
1,23:24:09.901063,23:24:22.175116,1,-1.0
1,23:24:09.901063,23:24:22.308619,1,-1.0
1,23:24:09.901063,23:24:22.440000,1,-1.0
