Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:38:14.636435,23:38:15.363720,1,-1.0
1,23:38:14.636435,23:38:15.545219,1,-1.0
1,23:38:14.636435,23:38:15.718090,1,-1.0
1,23:38:14.636435,23:38:16.207243,1,-1.0
1,23:38:14.636435,23:38:16.349354,1,-1.0
1,23:38:14.636435,23:38:16.479506,1,-1.0
1,23:38:14.636435,23:38:16.568817,1,-1.0
1,23:38:14.636435,23:38:16.690619,1,-1.0
1,23:38:14.636435,23:38:16.823165,1,-1.0
1,23:38:14.636435,23:38:16.943541,1,-1.0
1,23:38:14.636435,23:38:17.053262,1,-1.0
1,23:38:14.636435,23:38:17.174200,1,-1.0
1,23:38:14.636435,23:38:17.310798,1,-1.0
1,23:38:14.636435,23:38:17.424672,1,-1.0
1,23:38:14.636435,23:38:17.554210,1,-1.0
1,23:38:14.636435,23:38:17.685366,1,-1.0
1,23:38:14.636435,23:38:17.816991,1,-1.0
1,23:38:14.636435,23:38:17.957127,1,-1.0
1,23:38:14.636435,23:38:18.087274,1,-1.0
1,23:38:14.636435,23:38:18.208458,1,-1.0
1,23:38:14.636435,23:38:18.317959,1,-1.0
1,23:38:14.636435,23:38:18.429554,1,-1.0
1,23:38:14.636435,23:38:18.547226,1,-1.0
1,23:38:14.636435,23:38:18.710702,1,-1.0
1,23:38:14.636435,23:38:18.831147,1,-1.0
1,23:38:14.636435,23:38:18.963684,1,-1.0
1,23:38:14.636435,23:38:19.084318,1,-1.0
1,23:38:14.636435,23:38:19.226307,1,-1.0
1,23:38:14.636435,23:38:19.348353,1,-1.0
1,23:38:14.636435,23:38:19.482371,1,-1.0
1,23:38:14.636435,23:38:19.592309,1,-1.0
1,23:38:14.636435,23:38:19.714364,1,-1.0
1,23:38:14.636435,23:38:19.855322,1,-1.0
1,23:38:14.636435,23:38:19.976241,1,-1.0
1,23:38:14.636435,23:38:20.077273,1,-1.0
1,23:38:14.636435,23:38:20.443592,1,-1.0
1,23:38:14.636435,23:38:20.655242,1,-1.0
1,23:38:14.636435,23:38:20.785534,1,-1.0
1,23:38:14.636435,23:38:20.969481,-1,-1.0
1,23:38:14.636435,23:38:21.078572,-1,-1.0
1,23:38:14.636435,23:38:21.209901,-1,-1.0
1,23:38:14.636435,23:38:21.330703,-1,-1.0
1,23:38:14.636435,23:38:21.420450,-1,-1.0
1,23:38:14.636435,23:38:21.530591,-1,-1.0
1,23:38:14.636435,23:38:21.650959,-1,-1.0
1,23:38:14.636435,23:38:21.780492,-1,-1.0
1,23:38:14.636435,23:38:21.900400,-1,-1.0
1,23:38:14.636435,23:38:22.021080,-1,-1.0
1,23:38:14.636435,23:38:22.150933,-1,-1.0
1,23:38:14.636435,23:38:22.293639,1,-1.0
1,23:38:14.636435,23:38:22.434160,1,-1.0
1,23:38:14.636435,23:38:22.555656,1,-1.0
1,23:38:14.636435,23:38:22.687258,1,-1.0
1,23:38:14.636435,23:38:22.807829,1,-1.0
1,23:38:14.636435,23:38:22.940098,1,-1.0
1,23:38:14.636435,23:38:23.069080,1,-1.0
1,23:38:14.636435,23:38:23.147132,1,-1.0
1,23:38:14.636435,23:38:23.256686,1,-1.0
1,23:38:14.636435,23:38:23.376004,1,-1.0
1,23:38:14.636435,23:38:23.498508,1,-1.0
1,23:38:14.636435,23:38:23.620050,1,-1.0
1,23:38:14.636435,23:38:23.761446,1,-1.0
1,23:38:14.636435,23:38:23.880632,1,-1.0
1,23:38:14.636435,23:38:24.001823,1,-1.0
1,23:38:14.636435,23:38:24.204835,1,-1.0
1,23:38:14.636435,23:38:24.304585,1,-1.0
1,23:38:14.636435,23:38:24.425578,1,-1.0
1,23:38:14.636435,23:38:24.555272,1,-1.0
1,23:38:14.636435,23:38:24.685729,1,-1.0
1,23:38:14.636435,23:38:24.784794,1,-1.0
1,23:38:14.636435,23:38:24.915011,1,-1.0
1,23:38:14.636435,23:38:25.130344,1,-1.0
1,23:38:14.636435,23:38:25.261030,1,-1.0
1,23:38:14.636435,23:38:25.380750,1,-1.0
1,23:38:14.636435,23:38:25.480490,1,-1.0
1,23:38:14.636435,23:38:25.600131,1,-1.0
1,23:38:14.636435,23:38:25.824583,1,-1.0
1,23:38:14.636435,23:38:25.954592,1,-1.0
1,23:38:14.636435,23:38:26.087181,1,-1.0
1,23:38:14.636435,23:38:26.187088,1,-1.0
1,23:38:14.636435,23:38:26.307399,1,-1.0
1,23:38:14.636435,23:38:26.417497,1,-1.0
1,23:38:14.636435,23:38:26.547119,1,-1.0
1,23:38:14.636435,23:38:26.656184,1,-1.0
1,23:38:14.636435,23:38:26.776064,1,-1.0
1,23:38:14.636435,23:38:26.897188,1,-1.0
1,23:38:14.636435,23:38:27.007388,1,-1.0
1,23:38:14.636435,23:38:27.148199,1,-1.0
1,23:38:14.636435,23:38:27.373136,1,-1.0
1,23:38:14.636435,23:38:27.714425,-1,-1.0
1,23:38:14.636435,23:38:27.834647,-1,-1.0
1,23:38:14.636435,23:38:27.976844,-1,-1.0
1,23:38:14.636435,23:38:28.109449,-1,-1.0
1,23:38:14.636435,23:38:28.227343,-1,-1.0
1,23:38:14.636435,23:38:28.399866,-1,-1.0
1,23:38:14.636435,23:38:28.531207,1,-1.0
1,23:38:14.636435,23:38:28.662618,1,-1.0
1,23:38:14.636435,23:38:28.792050,1,-1.0
1,23:38:14.636435,23:38:28.932361,1,-1.0
1,23:38:14.636435,23:38:29.051961,1,-1.0
1,23:38:14.636435,23:38:29.183344,1,-1.0
1,23:38:14.636435,23:38:29.272659,1,-1.0
1,23:38:14.636435,23:38:29.381588,1,-1.0
1,23:38:14.636435,23:38:29.489020,1,-1.0
