Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:53:22.745826,14:53:25.232384,-1,-1.0
1,14:53:22.745826,14:53:27.493559,-1,-1.0
1,14:53:22.745826,14:53:28.821393,1,-1.0
1,14:53:22.745826,14:53:29.024235,1,-1.0
1,14:53:22.745826,14:53:29.208523,1,-1.0
1,14:53:22.745826,14:53:29.369437,1,-1.0
1,14:53:22.745826,14:53:29.551374,1,-1.0
1,14:53:22.745826,14:53:29.734697,1,-1.0
1,14:53:22.745826,14:53:29.906732,1,-1.0
1,14:53:22.745826,14:53:30.088292,1,-1.0
1,14:53:22.745826,14:53:30.261264,1,-1.0
1,14:53:22.745826,14:53:30.443337,1,-1.0
1,14:53:22.745826,14:53:30.604271,1,-1.0
1,14:53:22.745826,14:53:30.778237,1,-1.0
1,14:53:22.745826,14:53:30.939870,1,-1.0
1,14:53:22.745826,14:53:31.112928,1,-1.0
1,14:53:22.745826,14:53:31.276231,1,-1.0
1,14:53:22.745826,14:53:31.438625,1,-1.0
1,14:53:22.745826,14:53:31.601050,1,-1.0
1,14:53:22.745826,14:53:31.774626,1,-1.0
1,14:53:22.745826,14:53:31.944876,1,-1.0
1,14:53:22.745826,14:53:32.129536,1,-1.0
1,14:53:22.745826,14:53:32.281066,1,-1.0
1,14:53:22.745826,14:53:32.452402,1,-1.0
1,14:53:22.745826,14:53:32.622889,1,-1.0
1,14:53:22.745826,14:53:32.802897,1,-1.0
1,14:53:22.745826,14:53:32.974986,1,-1.0
1,14:53:22.745826,14:53:33.137385,1,-1.0
1,14:53:22.745826,14:53:33.289441,1,-1.0
1,14:53:22.745826,14:53:33.481989,1,-1.0
1,14:53:22.745826,14:53:33.704741,1,-1.0
1,14:53:22.745826,14:53:33.968980,-1,-1.0
1,14:53:22.745826,14:53:34.161859,-1,-1.0
1,14:53:22.745826,14:53:34.353011,-1,-1.0
1,14:53:22.745826,14:53:34.535042,-1,-1.0
1,14:53:22.745826,14:53:34.714924,-1,-1.0
1,14:53:22.745826,14:53:34.878231,-1,-1.0
1,14:53:22.745826,14:53:35.038262,-1,-1.0
1,14:53:22.745826,14:53:35.210946,-1,-1.0
1,14:53:22.745826,14:53:35.436725,-1,-1.0
1,14:53:22.745826,14:53:35.628266,-1,-1.0
1,14:53:22.745826,14:53:36.193451,1,-1.0
1,14:53:22.745826,14:53:36.343546,1,-1.0
1,14:53:22.745826,14:53:36.486600,1,-1.0
1,14:53:22.745826,14:53:36.649860,1,-1.0
1,14:53:22.745826,14:53:36.791222,1,-1.0
1,14:53:22.745826,14:53:36.932365,1,-1.0
1,14:53:22.745826,14:53:37.072611,1,-1.0
1,14:53:22.745826,14:53:37.204510,1,-1.0
1,14:53:22.745826,14:53:37.366651,1,-1.0
1,14:53:22.745826,14:53:37.515547,1,-1.0
1,14:53:22.745826,14:53:37.689093,1,-1.0
1,14:53:22.745826,14:53:37.841368,1,-1.0
1,14:53:22.745826,14:53:37.983030,1,-1.0
1,14:53:22.745826,14:53:38.135379,1,-1.0
1,14:53:22.745826,14:53:38.287884,1,-1.0
1,14:53:22.745826,14:53:38.438578,1,-1.0
1,14:53:22.745826,14:53:38.588429,1,-1.0
1,14:53:22.745826,14:53:38.719486,1,-1.0
1,14:53:22.745826,14:53:38.827932,1,-1.0
