Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:34:24.450233,23:34:25.565766,-1,-1.0
1,23:34:24.450233,23:34:26.712638,-1,-1.0
1,23:34:24.450233,23:34:27.375782,-1,-1.0
1,23:34:24.450233,23:34:27.808929,-1,-1.0
1,23:34:24.450233,23:34:28.153504,-1,-1.0
1,23:34:24.450233,23:34:28.487971,-1,-1.0
1,23:34:24.450233,23:34:28.811765,-1,-1.0
1,23:34:24.450233,23:34:29.788787,-1,-1.0
1,23:34:24.450233,23:34:30.321299,1,-1.0
1,23:34:24.450233,23:34:30.746807,1,-1.0
1,23:34:24.450233,23:34:31.159980,1,-1.0
1,23:34:24.450233,23:34:31.503566,1,-1.0
1,23:34:24.450233,23:34:31.732038,1,-1.0
1,23:34:24.450233,23:34:31.926046,1,-1.0
1,23:34:24.450233,23:34:32.259110,1,-1.0
1,23:34:24.450233,23:34:32.466195,1,-1.0
1,23:34:24.450233,23:34:32.669119,1,-1.0
1,23:34:24.450233,23:34:32.944056,-1,-1.0
1,23:34:24.450233,23:34:33.302172,-1,-1.0
1,23:34:24.450233,23:34:33.519048,-1,-1.0
1,23:34:24.450233,23:34:33.715152,-1,-1.0
1,23:34:24.450233,23:34:34.000030,-1,-1.0
1,23:34:24.450233,23:34:34.223991,-1,-1.0
1,23:34:24.450233,23:34:34.473510,1,-1.0
1,23:34:24.450233,23:34:34.861066,-1,-1.0
1,23:34:24.450233,23:34:35.046679,-1,-1.0
1,23:34:24.450233,23:34:35.262154,-1,-1.0
1,23:34:24.450233,23:34:35.442609,-1,-1.0
1,23:34:24.450233,23:34:35.647891,-1,-1.0
1,23:34:24.450233,23:34:35.831140,-1,-1.0
1,23:34:24.450233,23:34:36.843348,-1,-1.0
1,23:34:24.450233,23:34:37.072117,-1,-1.0
1,23:34:24.450233,23:34:37.257826,-1,-1.0
1,23:34:24.450233,23:34:37.470618,-1,-1.0
1,23:34:24.450233,23:34:37.695372,-1,-1.0
1,23:34:24.450233,23:34:37.939893,-1,-1.0
1,23:34:24.450233,23:34:38.166665,-1,-1.0
1,23:34:24.450233,23:34:38.382780,-1,-1.0
1,23:34:24.450233,23:34:38.596355,-1,-1.0
1,23:34:24.450233,23:34:38.844290,-1,-1.0
1,23:34:24.450233,23:34:39.080189,-1,-1.0
1,23:34:24.450233,23:34:39.306146,-1,-1.0
1,23:34:24.450233,23:34:39.513556,-1,-1.0
1,23:34:24.450233,23:34:39.759182,-1,-1.0
1,23:34:24.450233,23:34:40.184364,-1,-1.0
1,23:34:24.450233,23:34:40.539125,-1,-1.0
1,23:34:24.450233,23:34:41.497533,-1,-1.0
1,23:34:24.450233,23:34:41.865373,-1,-1.0
1,23:34:24.450233,23:34:42.112370,-1,-1.0
1,23:34:24.450233,23:34:42.408727,-1,-1.0
1,23:34:24.450233,23:34:42.622763,-1,-1.0
1,23:34:24.450233,23:34:42.806119,-1,-1.0
1,23:34:24.450233,23:34:43.000398,-1,-1.0
1,23:34:24.450233,23:34:43.175260,-1,-1.0
1,23:34:24.450233,23:34:43.367891,-1,-1.0
1,23:34:24.450233,23:34:43.572293,-1,-1.0
1,23:34:24.450233,23:34:43.778087,-1,-1.0
1,23:34:24.450233,23:34:43.992506,-1,-1.0
1,23:34:24.450233,23:34:44.187740,-1,-1.0
1,23:34:24.450233,23:34:44.401367,-1,-1.0
1,23:34:24.450233,23:34:44.587652,-1,-1.0
1,23:34:24.450233,23:34:44.803463,-1,-1.0
1,23:34:24.450233,23:34:45.040146,-1,-1.0
1,23:34:24.450233,23:34:45.243702,-1,-1.0
1,23:34:24.450233,23:34:45.462304,-1,-1.0
1,23:34:24.450233,23:34:45.710081,-1,-1.0
1,23:34:24.450233,23:34:45.905793,-1,-1.0
1,23:34:24.450233,23:34:46.099275,1,-1.0
1,23:34:24.450233,23:34:46.283390,1,-1.0
1,23:34:24.450233,23:34:46.480604,1,-1.0
1,23:34:24.450233,23:34:46.684141,1,-1.0
1,23:34:24.450233,23:34:46.892845,1,-1.0
1,23:34:24.450233,23:34:47.106514,1,-1.0
1,23:34:24.450233,23:34:47.325478,1,-1.0
