Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:46:39.046505,11:46:39.587595,1,-1.0
1,11:46:39.046505,11:46:39.738100,1,-1.0
1,11:46:39.046505,11:46:39.880118,1,-1.0
1,11:46:39.046505,11:46:40.026573,1,-1.0
1,11:46:39.046505,11:46:40.169521,1,-1.0
1,11:46:39.046505,11:46:40.279764,1,-1.0
1,11:46:39.046505,11:46:40.368172,1,-1.0
1,11:46:39.046505,11:46:40.476392,1,-1.0
1,11:46:39.046505,11:46:40.598489,1,-1.0
1,11:46:39.046505,11:46:40.730446,1,-1.0
1,11:46:39.046505,11:46:40.799711,1,-1.0
1,11:46:39.046505,11:46:40.953052,1,-1.0
1,11:46:39.046505,11:46:41.084257,1,-1.0
1,11:46:39.046505,11:46:41.218764,1,-1.0
1,11:46:39.046505,11:46:41.414003,1,-1.0
1,11:46:39.046505,11:46:41.556683,1,-1.0
1,11:46:39.046505,11:46:41.686400,1,-1.0
1,11:46:39.046505,11:46:41.819555,1,-1.0
1,11:46:39.046505,11:46:41.936651,1,-1.0
1,11:46:39.046505,11:46:42.056211,1,-1.0
1,11:46:39.046505,11:46:42.189994,1,-1.0
1,11:46:39.046505,11:46:42.318488,1,-1.0
1,11:46:39.046505,11:46:42.448961,1,-1.0
1,11:46:39.046505,11:46:42.594779,1,-1.0
1,11:46:39.046505,11:46:42.747143,1,-1.0
1,11:46:39.046505,11:46:42.884977,1,-1.0
1,11:46:39.046505,11:46:42.975298,1,-1.0
1,11:46:39.046505,11:46:43.098069,1,-1.0
1,11:46:39.046505,11:46:43.207200,1,-1.0
1,11:46:39.046505,11:46:43.308157,1,-1.0
1,11:46:39.046505,11:46:43.447570,1,-1.0
1,11:46:39.046505,11:46:43.601716,1,-1.0
1,11:46:39.046505,11:46:43.662023,1,-1.0
1,11:46:39.046505,11:46:43.827059,1,-1.0
1,11:46:39.046505,11:46:43.940109,1,-1.0
1,11:46:39.046505,11:46:44.061424,1,-1.0
1,11:46:39.046505,11:46:44.142360,1,-1.0
1,11:46:39.046505,11:46:44.571211,-1,-1.0
1,11:46:39.046505,11:46:44.689804,-1,-1.0
1,11:46:39.046505,11:46:44.831261,-1,-1.0
1,11:46:39.046505,11:46:44.964321,-1,-1.0
1,11:46:39.046505,11:46:45.148624,-1,-1.0
1,11:46:39.046505,11:46:45.269138,-1,-1.0
1,11:46:39.046505,11:46:45.388946,-1,-1.0
1,11:46:39.046505,11:46:45.511303,-1,-1.0
1,11:46:39.046505,11:46:45.644629,-1,-1.0
1,11:46:39.046505,11:46:45.775323,-1,-1.0
1,11:46:39.046505,11:46:45.916717,1,-1.0
1,11:46:39.046505,11:46:46.048220,1,-1.0
1,11:46:39.046505,11:46:46.158365,1,-1.0
1,11:46:39.046505,11:46:46.289640,1,-1.0
1,11:46:39.046505,11:46:46.483585,1,-1.0
1,11:46:39.046505,11:46:46.613262,1,-1.0
1,11:46:39.046505,11:46:46.747176,1,-1.0
1,11:46:39.046505,11:46:46.897857,1,-1.0
1,11:46:39.046505,11:46:47.048608,1,-1.0
1,11:46:39.046505,11:46:47.191572,1,-1.0
1,11:46:39.046505,11:46:47.341801,1,-1.0
1,11:46:39.046505,11:46:47.473288,1,-1.0
1,11:46:39.046505,11:46:47.645503,1,-1.0
1,11:46:39.046505,11:46:47.777697,1,-1.0
1,11:46:39.046505,11:46:47.918564,1,-1.0
1,11:46:39.046505,11:46:48.053278,1,-1.0
1,11:46:39.046505,11:46:48.206332,1,-1.0
1,11:46:39.046505,11:46:48.347990,1,-1.0
1,11:46:39.046505,11:46:48.489195,1,-1.0
1,11:46:39.046505,11:46:48.620477,1,-1.0
1,11:46:39.046505,11:46:48.761311,1,-1.0
1,11:46:39.046505,11:46:48.924494,1,-1.0
1,11:46:39.046505,11:46:49.074507,1,-1.0
1,11:46:39.046505,11:46:49.224857,1,-1.0
1,11:46:39.046505,11:46:49.366709,1,-1.0
1,11:46:39.046505,11:46:49.508857,1,-1.0
1,11:46:39.046505,11:46:49.660012,1,-1.0
1,11:46:39.046505,11:46:49.811219,1,-1.0
1,11:46:39.046505,11:46:49.941584,1,-1.0
