Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:56:08.688252,23:56:10.051540,1,-1.0
1,23:56:08.688252,23:56:10.270825,1,-1.0
1,23:56:08.688252,23:56:10.508943,1,-1.0
1,23:56:08.688252,23:56:10.829508,-1,-1.0
1,23:56:08.688252,23:56:10.998504,-1,-1.0
1,23:56:08.688252,23:56:14.339721,-1,-1.0
1,23:56:08.688252,23:56:14.516160,-1,-1.0
1,23:56:08.688252,23:56:14.702763,-1,-1.0
1,23:56:08.688252,23:56:14.882265,1,-1.0
1,23:56:08.688252,23:56:16.256815,-1,-1.0
1,23:56:08.688252,23:56:16.481677,-1,-1.0
1,23:56:08.688252,23:56:16.638442,-1,-1.0
1,23:56:08.688252,23:56:17.503972,-1,-1.0
1,23:56:08.688252,23:56:17.693727,1,-1.0
1,23:56:08.688252,23:56:17.884904,1,-1.0
1,23:56:08.688252,23:56:18.057902,1,-1.0
1,23:56:08.688252,23:56:18.245491,1,-1.0
1,23:56:08.688252,23:56:18.632592,-1,-1.0
1,23:56:08.688252,23:56:18.809444,-1,-1.0
1,23:56:08.688252,23:56:19.006812,-1,-1.0
1,23:56:08.688252,23:56:20.621663,1,-1.0
1,23:56:08.688252,23:56:20.714683,1,-1.0
1,23:56:08.688252,23:56:20.870287,1,-1.0
1,23:56:08.688252,23:56:21.048718,1,-1.0
1,23:56:08.688252,23:56:21.269608,1,-1.0
1,23:56:08.688252,23:56:22.147039,-1,-1.0
1,23:56:08.688252,23:56:22.309650,-1,-1.0
1,23:56:08.688252,23:56:22.484075,-1,-1.0
1,23:56:08.688252,23:56:22.670972,-1,-1.0
1,23:56:08.688252,23:56:24.171600,1,-1.0
1,23:56:08.688252,23:56:24.336505,1,-1.0
1,23:56:08.688252,23:56:24.532909,1,-1.0
1,23:56:08.688252,23:56:24.711008,1,-1.0
1,23:56:08.688252,23:56:26.174052,-1,-1.0
1,23:56:08.688252,23:56:26.339531,-1,-1.0
1,23:56:08.688252,23:56:26.516479,-1,-1.0
1,23:56:08.688252,23:56:26.694018,-1,-1.0
1,23:56:08.688252,23:56:26.879716,-1,-1.0
1,23:56:08.688252,23:56:27.809779,1,-1.0
1,23:56:08.688252,23:56:28.005897,1,-1.0
1,23:56:08.688252,23:56:28.180467,1,-1.0
1,23:56:08.688252,23:56:28.366946,1,-1.0
1,23:56:08.688252,23:56:28.555015,1,-1.0
1,23:56:08.688252,23:56:29.225540,-1,-1.0
1,23:56:08.688252,23:56:29.409047,-1,-1.0
1,23:56:08.688252,23:56:29.600055,-1,-1.0
1,23:56:08.688252,23:56:29.786362,-1,-1.0
1,23:56:08.688252,23:56:30.528708,1,-1.0
1,23:56:08.688252,23:56:30.727155,1,-1.0
1,23:56:08.688252,23:56:30.915264,1,-1.0
1,23:56:08.688252,23:56:31.102845,1,-1.0
1,23:56:08.688252,23:56:31.289281,1,-1.0
1,23:56:08.688252,23:56:31.494704,1,-1.0
1,23:56:08.688252,23:56:31.776892,-1,-1.0
