Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:58:30.679040,23:58:34.485471,1,-1.0
1,23:58:30.679040,23:58:34.735882,1,-1.0
1,23:58:30.679040,23:58:34.995479,1,-1.0
1,23:58:30.679040,23:58:40.310179,1,-1.0
1,23:58:30.679040,23:58:40.572926,1,-1.0
1,23:58:30.679040,23:58:40.825174,1,-1.0
1,23:58:30.679040,23:58:41.033891,1,-1.0
1,23:58:30.679040,23:58:41.228249,1,-1.0
1,23:58:30.679040,23:58:41.615273,1,-1.0
1,23:58:30.679040,23:58:41.842114,1,-1.0
1,23:58:30.679040,23:58:42.366498,1,-1.0
1,23:58:30.679040,23:58:42.573092,1,-1.0
1,23:58:30.679040,23:58:42.814252,1,-1.0
1,23:58:30.679040,23:58:43.022075,1,-1.0
1,23:58:30.679040,23:58:43.272407,1,-1.0
1,23:58:30.679040,23:58:44.560433,1,-1.0
1,23:58:30.679040,23:58:44.798516,1,-1.0
1,23:58:30.679040,23:58:44.994469,1,-1.0
1,23:58:30.679040,23:58:45.213238,1,-1.0
1,23:58:30.679040,23:58:45.420534,1,-1.0
1,23:58:30.679040,23:58:45.706154,1,-1.0
1,23:58:30.679040,23:58:45.896011,1,-1.0
1,23:58:30.679040,23:58:46.125174,1,-1.0
1,23:58:30.679040,23:58:46.333854,1,-1.0
1,23:58:30.679040,23:58:46.522401,1,-1.0
1,23:58:30.679040,23:58:46.755241,1,-1.0
1,23:58:30.679040,23:58:46.989046,1,-1.0
1,23:58:30.679040,23:58:50.251588,1,-1.0
1,23:58:30.679040,23:58:50.472342,1,-1.0
1,23:58:30.679040,23:58:50.866707,1,-1.0
1,23:58:30.679040,23:58:51.318841,1,-1.0
1,23:58:30.679040,23:58:51.546537,1,-1.0
1,23:58:30.679040,23:58:51.750690,1,-1.0
1,23:58:30.679040,23:58:51.951673,1,-1.0
1,23:58:30.679040,23:58:52.162984,1,-1.0
1,23:58:30.679040,23:58:52.393047,1,-1.0
1,23:58:30.679040,23:58:52.601141,1,-1.0
1,23:58:30.679040,23:58:52.905532,1,-1.0
1,23:58:30.679040,23:58:53.104061,1,-1.0
1,23:58:30.679040,23:58:53.304359,1,-1.0
1,23:58:30.679040,23:58:53.491727,1,-1.0
1,23:58:30.679040,23:58:53.689664,1,-1.0
1,23:58:30.679040,23:58:53.917355,1,-1.0
1,23:58:30.679040,23:58:54.141108,1,-1.0
1,23:58:30.679040,23:58:54.326527,1,-1.0
1,23:58:30.679040,23:58:54.554638,1,-1.0
1,23:58:30.679040,23:58:54.740987,1,-1.0
1,23:58:30.679040,23:58:54.947355,1,-1.0
1,23:58:30.679040,23:58:55.144246,1,-1.0
1,23:58:30.679040,23:58:55.328219,1,-1.0
1,23:58:30.679040,23:58:55.560460,1,-1.0
1,23:58:30.679040,23:58:55.992746,1,-1.0
1,23:58:30.679040,23:58:56.220852,1,-1.0
