Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:51:34.793727,15:51:35.783516,1,-1.0
1,15:51:34.793727,15:51:35.960738,1,-1.0
1,15:51:34.793727,15:51:36.143049,1,-1.0
1,15:51:34.793727,15:51:36.991386,-1,-1.0
1,15:51:34.793727,15:51:37.165151,-1,-1.0
1,15:51:34.793727,15:51:37.353712,-1,-1.0
1,15:51:34.793727,15:51:37.539098,1,-1.0
1,15:51:34.793727,15:51:37.723214,1,-1.0
1,15:51:34.793727,15:51:37.947918,1,-1.0
1,15:51:34.793727,15:51:38.163297,1,-1.0
1,15:51:34.793727,15:51:38.376223,-1,-1.0
1,15:51:34.793727,15:51:38.561794,-1,-1.0
1,15:51:34.793727,15:51:38.745904,-1,-1.0
1,15:51:34.793727,15:51:38.918080,1,-1.0
1,15:51:34.793727,15:51:39.112469,1,-1.0
1,15:51:34.793727,15:51:39.320642,1,-1.0
1,15:51:34.793727,15:51:39.928159,-1,-1.0
1,15:51:34.793727,15:51:40.120659,-1,-1.0
1,15:51:34.793727,15:51:40.324387,1,-1.0
1,15:51:34.793727,15:51:40.538848,1,-1.0
1,15:51:34.793727,15:51:40.745757,1,-1.0
1,15:51:34.793727,15:51:40.969140,1,-1.0
1,15:51:34.793727,15:51:41.418236,-1,-1.0
1,15:51:34.793727,15:51:41.613668,1,-1.0
1,15:51:34.793727,15:51:41.786791,1,-1.0
1,15:51:34.793727,15:51:41.991631,1,-1.0
1,15:51:34.793727,15:51:42.188357,1,-1.0
1,15:51:34.793727,15:51:42.383054,1,-1.0
1,15:51:34.793727,15:51:42.768054,1,-1.0
1,15:51:34.793727,15:51:42.909194,1,-1.0
1,15:51:34.793727,15:51:43.102702,1,-1.0
1,15:51:34.793727,15:51:43.305785,-1,-1.0
1,15:51:34.793727,15:51:43.477753,-1,-1.0
1,15:51:34.793727,15:51:43.881150,1,-1.0
1,15:51:34.793727,15:51:44.046368,1,-1.0
1,15:51:34.793727,15:51:44.220535,-1,-1.0
1,15:51:34.793727,15:51:44.404257,-1,-1.0
1,15:51:34.793727,15:51:44.599240,-1,-1.0
1,15:51:34.793727,15:51:44.681768,1,-1.0
1,15:51:34.793727,15:51:44.938950,-1,-1.0
1,15:51:34.793727,15:51:45.104612,-1,-1.0
1,15:51:34.793727,15:51:45.309022,-1,-1.0
1,15:51:34.793727,15:51:45.523187,-1,-1.0
1,15:51:34.793727,15:51:45.727993,-1,-1.0
1,15:51:34.793727,15:51:45.932911,-1,-1.0
1,15:51:34.793727,15:51:46.135213,-1,-1.0
1,15:51:34.793727,15:51:46.319106,-1,-1.0
1,15:51:34.793727,15:51:46.523363,-1,-1.0
1,15:51:34.793727,15:51:46.708354,1,-1.0
1,15:51:34.793727,15:51:46.912943,1,-1.0
1,15:51:34.793727,15:51:47.663707,1,-1.0
1,15:51:34.793727,15:51:47.858140,1,-1.0
1,15:51:34.793727,15:51:48.052858,-1,-1.0
1,15:51:34.793727,15:51:48.236564,-1,-1.0
1,15:51:34.793727,15:51:48.431638,1,-1.0
1,15:51:34.793727,15:51:48.829800,-1,-1.0
1,15:51:34.793727,15:51:49.015943,1,-1.0
1,15:51:34.793727,15:51:49.219675,1,-1.0
1,15:51:34.793727,15:51:49.425572,1,-1.0
1,15:51:34.793727,15:51:49.639212,1,-1.0
1,15:51:34.793727,15:51:49.836328,1,-1.0
1,15:51:34.793727,15:51:50.029027,1,-1.0
1,15:51:34.793727,15:51:50.415137,-1,-1.0
1,15:51:34.793727,15:51:50.576518,-1,-1.0
1,15:51:34.793727,15:51:50.769461,-1,-1.0
1,15:51:34.793727,15:51:50.943516,1,-1.0
1,15:51:34.793727,15:51:51.138006,1,-1.0
1,15:51:34.793727,15:51:51.309294,1,-1.0
1,15:51:34.793727,15:51:51.513257,-1,-1.0
1,15:51:34.793727,15:51:51.727798,-1,-1.0
1,15:51:34.793727,15:51:52.418121,1,-1.0
1,15:51:34.793727,15:51:52.603092,1,-1.0
1,15:51:34.793727,15:51:52.786921,1,-1.0
1,15:51:34.793727,15:51:52.961612,-1,-1.0
