Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:50:46.665978,15:50:49.703042,-1,-1.0
1,15:50:46.665978,15:50:49.867871,-1,-1.0
1,15:50:46.665978,15:50:50.074240,1,-1.0
1,15:50:46.665978,15:50:50.261909,1,-1.0
1,15:50:46.665978,15:50:50.457285,1,-1.0
1,15:50:46.665978,15:50:50.671984,1,-1.0
1,15:50:46.665978,15:50:50.890328,1,-1.0
1,15:50:46.665978,15:50:51.679127,-1,-1.0
1,15:50:46.665978,15:50:51.931756,-1,-1.0
1,15:50:46.665978,15:50:52.145667,-1,-1.0
1,15:50:46.665978,15:50:52.352684,-1,-1.0
1,15:50:46.665978,15:50:52.567571,-1,-1.0
1,15:50:46.665978,15:50:54.170375,1,-1.0
1,15:50:46.665978,15:50:54.364076,1,-1.0
1,15:50:46.665978,15:50:54.577842,1,-1.0
1,15:50:46.665978,15:50:54.775940,1,-1.0
1,15:50:46.665978,15:50:54.998276,1,-1.0
1,15:50:46.665978,15:50:55.214507,1,-1.0
1,15:50:46.665978,15:50:55.410681,1,-1.0
1,15:50:46.665978,15:50:55.604559,1,-1.0
1,15:50:46.665978,15:50:55.811735,1,-1.0
1,15:50:46.665978,15:50:56.243595,-1,-1.0
1,15:50:46.665978,15:50:56.407979,-1,-1.0
1,15:50:46.665978,15:50:56.591641,-1,-1.0
1,15:50:46.665978,15:50:56.796987,-1,-1.0
1,15:50:46.665978,15:50:56.981861,-1,-1.0
1,15:50:46.665978,15:50:57.200199,-1,-1.0
1,15:50:46.665978,15:50:57.733543,1,-1.0
1,15:50:46.665978,15:50:57.916926,1,-1.0
1,15:50:46.665978,15:50:58.094318,1,-1.0
1,15:50:46.665978,15:50:58.300386,1,-1.0
1,15:50:46.665978,15:50:59.929282,1,-1.0
1,15:50:46.665978,15:51:00.115560,1,-1.0
1,15:50:46.665978,15:51:00.637644,1,-1.0
1,15:50:46.665978,15:51:00.830302,1,-1.0
1,15:50:46.665978,15:51:01.005577,1,-1.0
1,15:50:46.665978,15:51:01.180785,1,-1.0
1,15:50:46.665978,15:51:01.341842,1,-1.0
1,15:50:46.665978,15:51:01.527387,1,-1.0
1,15:50:46.665978,15:51:01.732651,-1,-1.0
1,15:50:46.665978,15:51:01.898770,-1,-1.0
1,15:50:46.665978,15:51:02.093814,-1,-1.0
1,15:50:46.665978,15:51:02.281072,1,-1.0
1,15:50:46.665978,15:51:02.465257,1,-1.0
1,15:50:46.665978,15:51:02.638806,1,-1.0
1,15:50:46.665978,15:51:02.831705,1,-1.0
1,15:50:46.665978,15:51:03.079267,1,-1.0
1,15:50:46.665978,15:51:03.725822,1,-1.0
1,15:50:46.665978,15:51:03.879050,1,-1.0
1,15:50:46.665978,15:51:04.061701,1,-1.0
1,15:50:46.665978,15:51:04.236072,1,-1.0
1,15:50:46.665978,15:51:04.428888,1,-1.0
1,15:50:46.665978,15:51:04.645003,1,-1.0
1,15:50:46.665978,15:51:04.850987,1,-1.0
1,15:50:46.665978,15:51:05.053872,-1,-1.0
1,15:50:46.665978,15:51:05.460278,1,-1.0
1,15:50:46.665978,15:51:05.643871,1,-1.0
1,15:50:46.665978,15:51:05.828742,1,-1.0
1,15:50:46.665978,15:51:06.021827,1,-1.0
1,15:50:46.665978,15:51:06.269606,1,-1.0
1,15:50:46.665978,15:51:07.723898,-1,-1.0
1,15:50:46.665978,15:51:07.875639,-1,-1.0
1,15:50:46.665978,15:51:08.038305,-1,-1.0
1,15:50:46.665978,15:51:08.233342,-1,-1.0
1,15:50:46.665978,15:51:08.425737,1,-1.0
1,15:50:46.665978,15:51:08.608171,1,-1.0
1,15:50:46.665978,15:51:08.794553,1,-1.0
1,15:50:46.665978,15:51:09.160556,-1,-1.0
1,15:50:46.665978,15:51:09.313884,-1,-1.0
1,15:50:46.665978,15:51:09.486008,-1,-1.0
1,15:50:46.665978,15:51:09.670568,-1,-1.0
1,15:50:46.665978,15:51:09.865827,1,-1.0
1,15:50:46.665978,15:51:10.060354,1,-1.0
1,15:50:46.665978,15:51:10.255061,1,-1.0
1,15:50:46.665978,15:51:10.680530,-1,-1.0
1,15:50:46.665978,15:51:10.855702,-1,-1.0
1,15:50:46.665978,15:51:11.027911,-1,-1.0
1,15:50:46.665978,15:51:11.231712,-1,-1.0
1,15:50:46.665978,15:51:11.427272,1,-1.0
1,15:50:46.665978,15:51:11.621833,1,-1.0
1,15:50:46.665978,15:51:11.817558,1,-1.0
1,15:50:46.665978,15:51:12.022576,1,-1.0
1,15:50:46.665978,15:51:12.288590,-1,-1.0
1,15:50:46.665978,15:51:12.471568,-1,-1.0
1,15:50:46.665978,15:51:12.674359,-1,-1.0
1,15:50:46.665978,15:51:12.868885,-1,-1.0
1,15:50:46.665978,15:51:13.061656,1,-1.0
1,15:50:46.665978,15:51:13.265422,1,-1.0
1,15:50:46.665978,15:51:13.481059,1,-1.0
1,15:50:46.665978,15:51:13.748160,-1,-1.0
1,15:50:46.665978,15:51:13.935372,-1,-1.0
1,15:50:46.665978,15:51:14.139654,-1,-1.0
1,15:50:46.665978,15:51:14.324294,-1,-1.0
1,15:50:46.665978,15:51:14.509174,1,-1.0
1,15:50:46.665978,15:51:14.692245,1,-1.0
1,15:50:46.665978,15:51:14.886332,1,-1.0
1,15:50:46.665978,15:51:15.080905,1,-1.0
1,15:50:46.665978,15:51:15.454323,-1,-1.0
1,15:50:46.665978,15:51:15.616567,-1,-1.0
1,15:50:46.665978,15:51:15.779110,-1,-1.0
1,15:50:46.665978,15:51:15.985389,-1,-1.0
1,15:50:46.665978,15:51:16.178115,1,-1.0
1,15:50:46.665978,15:51:16.376017,1,-1.0
1,15:50:46.665978,15:51:16.790291,-1,-1.0
1,15:50:46.665978,15:51:16.953823,1,-1.0
1,15:50:46.665978,15:51:17.155857,1,-1.0
1,15:50:46.665978,15:51:17.362611,1,-1.0
1,15:50:46.665978,15:51:17.546300,1,-1.0
1,15:50:46.665978,15:51:17.720632,1,-1.0
1,15:50:46.665978,15:51:17.926663,1,-1.0
1,15:50:46.665978,15:51:18.248115,-1,-1.0
1,15:50:46.665978,15:51:18.431353,-1,-1.0
1,15:50:46.665978,15:51:18.635517,1,-1.0
1,15:50:46.665978,15:51:18.829022,1,-1.0
1,15:50:46.665978,15:51:19.075243,1,-1.0
1,15:50:46.665978,15:51:19.291582,1,-1.0
1,15:50:46.665978,15:51:19.728937,-1,-1.0
1,15:50:46.665978,15:51:19.923752,1,-1.0
1,15:50:46.665978,15:51:20.118320,1,-1.0
1,15:50:46.665978,15:51:20.323941,1,-1.0
1,15:50:46.665978,15:51:20.538787,1,-1.0
1,15:50:46.665978,15:51:20.751718,1,-1.0
1,15:50:46.665978,15:51:20.964987,1,-1.0
1,15:50:46.665978,15:51:21.329645,-1,-1.0
1,15:50:46.665978,15:51:21.513993,-1,-1.0
1,15:50:46.665978,15:51:21.710560,1,-1.0
1,15:50:46.665978,15:51:21.978385,1,-1.0
1,15:50:46.665978,15:51:22.224687,1,-1.0
1,15:50:46.665978,15:51:22.460952,1,-1.0
1,15:50:46.665978,15:51:23.582876,-1,-1.0
1,15:50:46.665978,15:51:23.788373,1,-1.0
1,15:50:46.665978,15:51:23.982404,1,-1.0
1,15:50:46.665978,15:51:24.174493,1,-1.0
1,15:50:46.665978,15:51:24.419512,1,-1.0
1,15:50:46.665978,15:51:24.626580,1,-1.0
1,15:50:46.665978,15:51:24.862656,1,-1.0
