Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:15:50.253586,12:15:50.945411,1,-1.0
1,12:15:50.253586,12:15:51.224259,1,-1.0
1,12:15:50.253586,12:15:51.532147,1,-1.0
1,12:15:50.253586,12:15:51.840146,1,-1.0
1,12:15:50.253586,12:15:52.153288,1,-1.0
1,12:15:50.253586,12:15:52.534196,1,-1.0
1,12:15:50.253586,12:15:52.832765,-1,-1.0
1,12:15:50.253586,12:15:53.103251,-1,-1.0
1,12:15:50.253586,12:15:53.370859,-1,-1.0
1,12:15:50.253586,12:15:53.638132,-1,-1.0
1,12:15:50.253586,12:15:53.905765,-1,-1.0
1,12:15:50.253586,12:15:54.192327,-1,-1.0
1,12:15:50.253586,12:15:54.617589,-1,-1.0
1,12:15:50.253586,12:15:54.871753,1,-1.0
1,12:15:50.253586,12:15:55.210834,1,-1.0
1,12:15:50.253586,12:15:55.570316,1,-1.0
1,12:15:50.253586,12:15:55.860225,1,-1.0
1,12:15:50.253586,12:15:56.192579,1,-1.0
1,12:15:50.253586,12:15:56.478803,1,-1.0
1,12:15:50.253586,12:15:56.864518,-1,-1.0
1,12:15:50.253586,12:15:57.143558,-1,-1.0
1,12:15:50.253586,12:15:57.426574,-1,-1.0
1,12:15:50.253586,12:15:57.707109,-1,-1.0
1,12:15:50.253586,12:15:57.983183,-1,-1.0
1,12:15:50.253586,12:15:59.522475,1,-1.0
1,12:15:50.253586,12:15:59.769156,1,-1.0
1,12:15:50.253586,12:16:00.058462,1,-1.0
1,12:15:50.253586,12:16:00.303232,1,-1.0
1,12:15:50.253586,12:16:00.581369,1,-1.0
1,12:15:50.253586,12:16:00.820133,1,-1.0
1,12:15:50.253586,12:16:01.147675,-1,-1.0
1,12:15:50.253586,12:16:01.403838,-1,-1.0
1,12:15:50.253586,12:16:01.651922,-1,-1.0
1,12:15:50.253586,12:16:01.899081,-1,-1.0
1,12:15:50.253586,12:16:02.124691,-1,-1.0
1,12:15:50.253586,12:16:02.370669,-1,-1.0
1,12:15:50.253586,12:16:02.584365,-1,-1.0
1,12:15:50.253586,12:16:03.114176,-1,-1.0
1,12:15:50.253586,12:16:03.349220,-1,-1.0
1,12:15:50.253586,12:16:03.586686,1,-1.0
1,12:15:50.253586,12:16:03.842555,1,-1.0
1,12:15:50.253586,12:16:04.097013,1,-1.0
1,12:15:50.253586,12:16:04.313214,1,-1.0
1,12:15:50.253586,12:16:04.530590,1,-1.0
1,12:15:50.253586,12:16:04.725325,1,-1.0
1,12:15:50.253586,12:16:04.951292,1,-1.0
1,12:15:50.253586,12:16:05.185923,-1,-1.0
1,12:15:50.253586,12:16:05.400640,-1,-1.0
1,12:15:50.253586,12:16:05.586856,-1,-1.0
1,12:15:50.253586,12:16:05.780863,-1,-1.0
1,12:15:50.253586,12:16:05.974092,-1,-1.0
1,12:15:50.253586,12:16:06.136709,-1,-1.0
1,12:15:50.253586,12:16:06.312590,-1,-1.0
1,12:15:50.253586,12:16:06.573451,-1,-1.0
1,12:15:50.253586,12:16:06.733944,-1,-1.0
1,12:15:50.253586,12:16:06.896753,1,-1.0
1,12:15:50.253586,12:16:07.061568,1,-1.0
1,12:15:50.253586,12:16:07.223536,1,-1.0
1,12:15:50.253586,12:16:07.382169,1,-1.0
1,12:15:50.253586,12:16:08.813533,1,-1.0
1,12:15:50.253586,12:16:09.122869,-1,-1.0
1,12:15:50.253586,12:16:09.309465,-1,-1.0
1,12:15:50.253586,12:16:09.473062,-1,-1.0
1,12:15:50.253586,12:16:09.637255,-1,-1.0
1,12:15:50.253586,12:16:09.799657,-1,-1.0
1,12:15:50.253586,12:16:09.972604,1,-1.0
1,12:15:50.253586,12:16:10.513088,-1,-1.0
1,12:15:50.253586,12:16:10.664083,1,-1.0
1,12:15:50.253586,12:16:10.839628,1,-1.0
1,12:15:50.253586,12:16:10.994598,1,-1.0
1,12:15:50.253586,12:16:11.173951,1,-1.0
1,12:15:50.253586,12:16:11.330809,1,-1.0
1,12:15:50.253586,12:16:11.506579,1,-1.0
1,12:15:50.253586,12:16:12.620607,-1,-1.0
1,12:15:50.253586,12:16:12.869378,-1,-1.0
1,12:15:50.253586,12:16:13.031705,-1,-1.0
1,12:15:50.253586,12:16:13.196974,-1,-1.0
1,12:15:50.253586,12:16:13.359232,-1,-1.0
1,12:15:50.253586,12:16:13.490591,-1,-1.0
1,12:15:50.253586,12:16:14.457792,1,-1.0
1,12:15:50.253586,12:16:14.620727,-1,-1.0
1,12:15:50.253586,12:16:14.772248,-1,-1.0
1,12:15:50.253586,12:16:14.939884,-1,-1.0
1,12:15:50.253586,12:16:15.093220,1,-1.0
