Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:21:11.837357,12:21:24.607037,1,-1.0
1,12:21:11.837357,12:21:24.806271,1,-1.0
1,12:21:11.837357,12:21:25.012911,-1,-1.0
1,12:21:11.837357,12:21:25.201540,-1,-1.0
1,12:21:11.837357,12:21:25.352744,-1,-1.0
1,12:21:11.837357,12:21:26.426500,-1,-1.0
1,12:21:11.837357,12:21:26.615184,1,-1.0
1,12:21:11.837357,12:21:26.800197,1,-1.0
1,12:21:11.837357,12:21:26.996840,1,-1.0
1,12:21:11.837357,12:21:27.618744,-1,-1.0
1,12:21:11.837357,12:21:47.918770,1,-1.0
1,12:21:11.837357,12:21:48.090028,1,-1.0
1,12:21:11.837357,12:21:49.946459,1,-1.0
1,12:21:11.837357,12:21:50.101722,1,-1.0
1,12:21:11.837357,12:21:50.254298,1,-1.0
1,12:21:11.837357,12:21:50.504030,-1,-1.0
1,12:21:11.837357,12:21:50.663200,-1,-1.0
1,12:21:11.837357,12:21:53.011624,1,-1.0
1,12:21:11.837357,12:21:53.176797,1,-1.0
1,12:21:11.837357,12:21:53.342638,1,-1.0
1,12:21:11.837357,12:21:53.515151,1,-1.0
1,12:21:11.837357,12:21:54.827867,1,-1.0
1,12:21:11.837357,12:21:57.945841,1,-1.0
1,12:21:11.837357,12:21:59.197612,1,-1.0
1,12:21:11.837357,12:21:59.949947,1,-1.0
1,12:21:11.837357,12:22:00.086865,1,-1.0
1,12:21:11.837357,12:22:02.415835,-1,-1.0
1,12:21:11.837357,12:22:02.573427,-1,-1.0
1,12:21:11.837357,12:22:02.730034,-1,-1.0
1,12:21:11.837357,12:22:02.976019,1,-1.0
1,12:21:11.837357,12:22:03.143960,1,-1.0
1,12:21:11.837357,12:22:03.313506,1,-1.0
1,12:21:11.837357,12:22:03.468376,1,-1.0
1,12:21:11.837357,12:22:03.820284,1,-1.0
1,12:21:11.837357,12:22:04.114987,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:22:04.229355,12:22:04.283760,-1,-1.0
2,12:22:04.229355,12:22:04.449607,-1,-1.0
