Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:03:55.109318,12:03:57.692165,1,-1.0
1,12:03:55.109318,12:03:58.813575,1,-1.0
1,12:03:55.109318,12:03:58.998364,1,-1.0
1,12:03:55.109318,12:03:59.171529,1,-1.0
1,12:03:55.109318,12:03:59.357616,1,-1.0
1,12:03:55.109318,12:03:59.554961,1,-1.0
1,12:03:55.109318,12:04:03.656500,1,-1.0
1,12:03:55.109318,12:04:03.831573,1,-1.0
1,12:03:55.109318,12:04:04.017742,1,-1.0
1,12:03:55.109318,12:04:04.195355,1,-1.0
1,12:03:55.109318,12:04:04.369660,1,-1.0
1,12:03:55.109318,12:04:04.523228,1,-1.0
1,12:03:55.109318,12:04:04.701372,1,-1.0
1,12:03:55.109318,12:04:08.027538,1,-1.0
1,12:03:55.109318,12:04:08.224005,1,-1.0
1,12:03:55.109318,12:04:08.419344,1,-1.0
1,12:03:55.109318,12:04:08.595313,1,-1.0
1,12:03:55.109318,12:04:08.751240,1,-1.0
1,12:03:55.109318,12:04:12.624495,1,-1.0
1,12:03:55.109318,12:04:12.783370,1,-1.0
1,12:03:55.109318,12:04:12.949409,1,-1.0
1,12:03:55.109318,12:04:13.126027,1,-1.0
1,12:03:55.109318,12:04:13.280937,1,-1.0
1,12:03:55.109318,12:04:14.545616,-1,-1.0
1,12:03:55.109318,12:04:14.696485,-1,-1.0
1,12:03:55.109318,12:04:14.874335,-1,-1.0
1,12:03:55.109318,12:04:15.051692,-1,-1.0
1,12:03:55.109318,12:04:20.147961,-1,-1.0
1,12:03:55.109318,12:04:20.345167,-1,-1.0
1,12:03:55.109318,12:04:20.521670,-1,-1.0
1,12:03:55.109318,12:04:20.677343,-1,-1.0
1,12:03:55.109318,12:04:21.079397,1,-1.0
1,12:03:55.109318,12:04:21.242128,1,-1.0
1,12:03:55.109318,12:04:21.407920,1,-1.0
1,12:03:55.109318,12:04:21.572551,1,-1.0
1,12:03:55.109318,12:04:21.746777,1,-1.0
1,12:03:55.109318,12:04:21.892571,1,-1.0
1,12:03:55.109318,12:04:22.046880,1,-1.0
1,12:03:55.109318,12:04:22.510685,-1,-1.0
1,12:03:55.109318,12:04:22.666368,-1,-1.0
1,12:03:55.109318,12:04:22.810238,-1,-1.0
