Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:41:19.835727,15:41:21.818111,1,-1.0
1,15:41:19.835727,15:41:22.023913,1,-1.0
1,15:41:19.835727,15:41:22.207589,1,-1.0
1,15:41:19.835727,15:41:22.414002,1,-1.0
1,15:41:19.835727,15:41:22.628111,1,-1.0
1,15:41:19.835727,15:41:22.855415,1,-1.0
1,15:41:19.835727,15:41:23.060716,1,-1.0
1,15:41:19.835727,15:41:23.266101,1,-1.0
1,15:41:19.835727,15:41:25.091662,-1,-1.0
1,15:41:19.835727,15:41:25.785919,1,-1.0
1,15:41:19.835727,15:41:25.981227,1,-1.0
1,15:41:19.835727,15:41:26.168545,1,-1.0
1,15:41:19.835727,15:41:26.371127,1,-1.0
1,15:41:19.835727,15:41:26.565093,1,-1.0
1,15:41:19.835727,15:41:29.524327,-1,-1.0
1,15:41:19.835727,15:41:29.750711,-1,-1.0
1,15:41:19.835727,15:41:29.922107,-1,-1.0
1,15:41:19.835727,15:41:31.154396,1,-1.0
1,15:41:19.835727,15:41:31.383006,1,-1.0
1,15:41:19.835727,15:41:32.659735,-1,-1.0
1,15:41:19.835727,15:41:32.855436,-1,-1.0
1,15:41:19.835727,15:41:33.049871,-1,-1.0
1,15:41:19.835727,15:41:33.263717,-1,-1.0
1,15:41:19.835727,15:41:33.481884,-1,-1.0
1,15:41:19.835727,15:41:33.704890,-1,-1.0
1,15:41:19.835727,15:41:33.930157,-1,-1.0
1,15:41:19.835727,15:41:34.122701,1,-1.0
1,15:41:19.835727,15:41:34.338933,1,-1.0
1,15:41:19.835727,15:41:34.531733,1,-1.0
1,15:41:19.835727,15:41:34.754899,1,-1.0
1,15:41:19.835727,15:41:35.032088,-1,-1.0
1,15:41:19.835727,15:41:35.234801,-1,-1.0
1,15:41:19.835727,15:41:35.471905,-1,-1.0
1,15:41:19.835727,15:41:35.685231,1,-1.0
1,15:41:19.835727,15:41:35.900961,1,-1.0
1,15:41:19.835727,15:41:36.134946,-1,-1.0
1,15:41:19.835727,15:41:36.330548,1,-1.0
1,15:41:19.835727,15:41:36.543757,1,-1.0
1,15:41:19.835727,15:41:36.737177,1,-1.0
1,15:41:19.835727,15:41:36.931580,1,-1.0
1,15:41:19.835727,15:41:37.165598,-1,-1.0
1,15:41:19.835727,15:41:37.389006,-1,-1.0
1,15:41:19.835727,15:41:37.604074,1,-1.0
1,15:41:19.835727,15:41:37.821565,1,-1.0
1,15:41:19.835727,15:41:38.581824,-1,-1.0
1,15:41:19.835727,15:41:38.789489,1,-1.0
1,15:41:19.835727,15:41:39.015699,1,-1.0
1,15:41:19.835727,15:41:39.222384,1,-1.0
