Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:59:21.228352,15:59:22.464554,-1,-1.0
1,15:59:21.228352,15:59:22.671011,-1,-1.0
1,15:59:21.228352,15:59:22.868386,1,-1.0
1,15:59:21.228352,15:59:23.063462,1,-1.0
1,15:59:21.228352,15:59:23.267399,1,-1.0
1,15:59:21.228352,15:59:23.652321,-1,-1.0
1,15:59:21.228352,15:59:23.856787,-1,-1.0
1,15:59:21.228352,15:59:23.986593,-1,-1.0
1,15:59:21.228352,15:59:24.266381,1,-1.0
1,15:59:21.228352,15:59:24.464350,1,-1.0
1,15:59:21.228352,15:59:24.688742,-1,-1.0
1,15:59:21.228352,15:59:24.987693,1,-1.0
1,15:59:21.228352,15:59:25.225469,1,-1.0
1,15:59:21.228352,15:59:25.408760,1,-1.0
1,15:59:21.228352,15:59:25.603598,1,-1.0
1,15:59:21.228352,15:59:25.808502,1,-1.0
1,15:59:21.228352,15:59:26.143540,1,-1.0
1,15:59:21.228352,15:59:26.347803,1,-1.0
1,15:59:21.228352,15:59:26.550644,1,-1.0
1,15:59:21.228352,15:59:26.768709,-1,-1.0
1,15:59:21.228352,15:59:26.981967,-1,-1.0
1,15:59:21.228352,15:59:27.777534,1,-1.0
1,15:59:21.228352,15:59:27.982085,1,-1.0
1,15:59:21.228352,15:59:28.186350,-1,-1.0
1,15:59:21.228352,15:59:28.400958,-1,-1.0
1,15:59:21.228352,15:59:28.585361,1,-1.0
1,15:59:21.228352,15:59:28.894343,-1,-1.0
1,15:59:21.228352,15:59:29.065644,1,-1.0
1,15:59:21.228352,15:59:29.272181,1,-1.0
1,15:59:21.228352,15:59:29.497059,-1,-1.0
1,15:59:21.228352,15:59:29.731860,-1,-1.0
1,15:59:21.228352,15:59:30.246048,-1,-1.0
1,15:59:21.228352,15:59:30.461871,1,-1.0
1,15:59:21.228352,15:59:30.669321,1,-1.0
1,15:59:21.228352,15:59:30.874652,1,-1.0
1,15:59:21.228352,15:59:31.098627,-1,-1.0
1,15:59:21.228352,15:59:31.365877,1,-1.0
1,15:59:21.228352,15:59:31.549732,1,-1.0
1,15:59:21.228352,15:59:31.755428,1,-1.0
1,15:59:21.228352,15:59:31.982845,1,-1.0
1,15:59:21.228352,15:59:32.228708,-1,-1.0
1,15:59:21.228352,15:59:32.422678,-1,-1.0
1,15:59:21.228352,15:59:32.597768,-1,-1.0
1,15:59:21.228352,15:59:32.822005,1,-1.0
1,15:59:21.228352,15:59:33.014480,1,-1.0
1,15:59:21.228352,15:59:33.230977,1,-1.0
1,15:59:21.228352,15:59:33.444149,-1,-1.0
1,15:59:21.228352,15:59:33.659099,-1,-1.0
1,15:59:21.228352,15:59:33.862080,1,-1.0
1,15:59:21.228352,15:59:34.077868,1,-1.0
1,15:59:21.228352,15:59:34.301979,1,-1.0
1,15:59:21.228352,15:59:34.505736,-1,-1.0
1,15:59:21.228352,15:59:34.723960,-1,-1.0
1,15:59:21.228352,15:59:34.926038,-1,-1.0
1,15:59:21.228352,15:59:35.110964,-1,-1.0
1,15:59:21.228352,15:59:35.308228,1,-1.0
1,15:59:21.228352,15:59:35.575882,1,-1.0
1,15:59:21.228352,15:59:35.759362,-1,-1.0
1,15:59:21.228352,15:59:35.964680,-1,-1.0
1,15:59:21.228352,15:59:36.184308,-1,-1.0
1,15:59:21.228352,15:59:36.419364,-1,-1.0
1,15:59:21.228352,15:59:36.624436,1,-1.0
1,15:59:21.228352,15:59:36.838713,1,-1.0
1,15:59:21.228352,15:59:37.077684,1,-1.0
1,15:59:21.228352,15:59:37.269141,-1,-1.0
1,15:59:21.228352,15:59:37.698615,-1,-1.0
1,15:59:21.228352,15:59:37.911749,1,-1.0
1,15:59:21.228352,15:59:38.126218,1,-1.0
1,15:59:21.228352,15:59:38.340806,1,-1.0
1,15:59:21.228352,15:59:39.044737,-1,-1.0
1,15:59:21.228352,15:59:39.217001,-1,-1.0
1,15:59:21.228352,15:59:39.432873,-1,-1.0
1,15:59:21.228352,15:59:39.616643,-1,-1.0
1,15:59:21.228352,15:59:39.830832,-1,-1.0
1,15:59:21.228352,15:59:40.058437,-1,-1.0
