Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:45:44.443931,23:45:46.487520,1,-1.0
1,23:45:44.443931,23:45:46.756884,1,-1.0
1,23:45:44.443931,23:45:46.980063,1,-1.0
1,23:45:44.443931,23:45:47.187300,1,-1.0
1,23:45:44.443931,23:45:47.378774,1,-1.0
1,23:45:44.443931,23:45:47.585943,1,-1.0
1,23:45:44.443931,23:45:47.778761,1,-1.0
1,23:45:44.443931,23:45:47.983237,1,-1.0
1,23:45:44.443931,23:45:48.258693,1,-1.0
1,23:45:44.443931,23:45:48.505358,1,-1.0
1,23:45:44.443931,23:45:48.720192,1,-1.0
1,23:45:44.443931,23:45:48.946819,1,-1.0
1,23:45:44.443931,23:45:49.170051,1,-1.0
1,23:45:44.443931,23:45:49.387121,1,-1.0
1,23:45:44.443931,23:45:49.613054,1,-1.0
1,23:45:44.443931,23:45:49.816357,1,-1.0
1,23:45:44.443931,23:45:50.032083,1,-1.0
1,23:45:44.443931,23:45:50.203487,1,-1.0
1,23:45:44.443931,23:45:50.447372,1,-1.0
1,23:45:44.443931,23:45:50.638211,1,-1.0
1,23:45:44.443931,23:45:50.853585,1,-1.0
1,23:45:44.443931,23:45:51.055655,1,-1.0
1,23:45:44.443931,23:45:51.270215,1,-1.0
1,23:45:44.443931,23:45:51.472357,1,-1.0
1,23:45:44.443931,23:45:51.749953,1,-1.0
1,23:45:44.443931,23:45:51.983935,1,-1.0
1,23:45:44.443931,23:45:52.230022,1,-1.0
1,23:45:44.443931,23:45:52.467150,1,-1.0
1,23:45:44.443931,23:45:52.680210,1,-1.0
1,23:45:44.443931,23:45:52.930013,1,-1.0
1,23:45:44.443931,23:45:53.156283,1,-1.0
1,23:45:44.443931,23:45:53.582177,-1,-1.0
1,23:45:44.443931,23:45:53.753040,-1,-1.0
1,23:45:44.443931,23:45:53.956225,-1,-1.0
1,23:45:44.443931,23:45:54.472652,-1,-1.0
