Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:08:39.075915,12:08:41.479108,1,-1.0
1,12:08:39.075915,12:08:41.645284,1,-1.0
1,12:08:39.075915,12:08:41.833515,1,-1.0
1,12:08:39.075915,12:08:41.988857,1,-1.0
1,12:08:39.075915,12:08:42.158439,1,-1.0
1,12:08:39.075915,12:08:42.791549,1,-1.0
1,12:08:39.075915,12:08:42.947076,1,-1.0
1,12:08:39.075915,12:08:43.102462,1,-1.0
1,12:08:39.075915,12:08:43.259277,1,-1.0
1,12:08:39.075915,12:08:43.425148,1,-1.0
1,12:08:39.075915,12:08:43.593232,1,-1.0
1,12:08:39.075915,12:08:44.881196,1,-1.0
1,12:08:39.075915,12:08:45.056346,1,-1.0
1,12:08:39.075915,12:08:45.223554,1,-1.0
1,12:08:39.075915,12:08:45.421097,1,-1.0
1,12:08:39.075915,12:08:45.590707,1,-1.0
1,12:08:39.075915,12:08:45.747352,1,-1.0
1,12:08:39.075915,12:08:45.910715,1,-1.0
1,12:08:39.075915,12:08:46.088424,1,-1.0
1,12:08:39.075915,12:08:47.862605,1,-1.0
1,12:08:39.075915,12:08:48.017210,1,-1.0
1,12:08:39.075915,12:08:48.167590,1,-1.0
1,12:08:39.075915,12:08:48.312523,1,-1.0
1,12:08:39.075915,12:08:48.457090,1,-1.0
1,12:08:39.075915,12:08:48.612768,1,-1.0
1,12:08:39.075915,12:08:48.758131,1,-1.0
1,12:08:39.075915,12:08:48.904851,1,-1.0
1,12:08:39.075915,12:08:49.050506,1,-1.0
1,12:08:39.075915,12:08:49.266101,1,-1.0
1,12:08:39.075915,12:08:49.413495,1,-1.0
1,12:08:39.075915,12:08:49.560325,1,-1.0
1,12:08:39.075915,12:08:49.713755,1,-1.0
1,12:08:39.075915,12:08:49.879967,1,-1.0
1,12:08:39.075915,12:08:50.043270,1,-1.0
1,12:08:39.075915,12:08:50.196755,1,-1.0
1,12:08:39.075915,12:08:50.343015,1,-1.0
1,12:08:39.075915,12:08:50.508632,1,-1.0
1,12:08:39.075915,12:08:50.927782,1,-1.0
1,12:08:39.075915,12:08:51.113483,1,-1.0
1,12:08:39.075915,12:08:51.278784,1,-1.0
1,12:08:39.075915,12:08:51.432304,1,-1.0
1,12:08:39.075915,12:08:51.585377,1,-1.0
1,12:08:39.075915,12:08:51.763662,1,-1.0
1,12:08:39.075915,12:08:52.129947,1,-1.0
1,12:08:39.075915,12:08:52.297884,1,-1.0
1,12:08:39.075915,12:08:52.440773,1,-1.0
1,12:08:39.075915,12:08:52.606587,1,-1.0
1,12:08:39.075915,12:08:52.752237,1,-1.0
1,12:08:39.075915,12:08:52.909092,1,-1.0
1,12:08:39.075915,12:08:53.070670,1,-1.0
1,12:08:39.075915,12:08:53.448146,1,-1.0
1,12:08:39.075915,12:08:53.599846,1,-1.0
1,12:08:39.075915,12:08:53.773755,1,-1.0
1,12:08:39.075915,12:08:53.926713,1,-1.0
1,12:08:39.075915,12:08:54.080872,1,-1.0
1,12:08:39.075915,12:08:54.392160,1,-1.0
1,12:08:39.075915,12:08:54.557149,1,-1.0
1,12:08:39.075915,12:08:54.710963,1,-1.0
1,12:08:39.075915,12:08:54.885247,1,-1.0
1,12:08:39.075915,12:08:55.038151,1,-1.0
1,12:08:39.075915,12:08:55.804040,1,-1.0
1,12:08:39.075915,12:08:55.972553,1,-1.0
1,12:08:39.075915,12:08:56.128159,1,-1.0
1,12:08:39.075915,12:08:56.272458,1,-1.0
