Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:33:03.193698,15:33:05.430510,1,-1.0
1,15:33:03.193698,15:33:05.629688,1,-1.0
1,15:33:03.193698,15:33:05.817219,1,-1.0
1,15:33:03.193698,15:33:06.010363,1,-1.0
1,15:33:03.193698,15:33:06.267809,1,-1.0
1,15:33:03.193698,15:33:06.412531,1,-1.0
1,15:33:03.193698,15:33:06.656749,1,-1.0
1,15:33:03.193698,15:33:07.825100,-1,-1.0
1,15:33:03.193698,15:33:08.121176,-1,-1.0
1,15:33:03.193698,15:33:08.276744,-1,-1.0
1,15:33:03.193698,15:33:08.665828,1,-1.0
1,15:33:03.193698,15:33:08.857477,1,-1.0
1,15:33:03.193698,15:33:09.079258,1,-1.0
1,15:33:03.193698,15:33:09.757108,1,-1.0
1,15:33:03.193698,15:33:09.974982,1,-1.0
1,15:33:03.193698,15:33:11.114307,-1,-1.0
1,15:33:03.193698,15:33:11.325456,-1,-1.0
1,15:33:03.193698,15:33:11.558399,-1,-1.0
1,15:33:03.193698,15:33:12.055100,1,-1.0
1,15:33:03.193698,15:33:12.264237,1,-1.0
1,15:33:03.193698,15:33:12.440980,1,-1.0
1,15:33:03.193698,15:33:12.660252,1,-1.0
1,15:33:03.193698,15:33:12.891758,1,-1.0
1,15:33:03.193698,15:33:13.114537,1,-1.0
1,15:33:03.193698,15:33:13.386742,1,-1.0
1,15:33:03.193698,15:33:13.620022,1,-1.0
1,15:33:03.193698,15:33:13.801494,1,-1.0
1,15:33:03.193698,15:33:14.031729,1,-1.0
1,15:33:03.193698,15:33:14.350972,-1,-1.0
1,15:33:03.193698,15:33:14.559567,-1,-1.0
1,15:33:03.193698,15:33:14.747867,-1,-1.0
1,15:33:03.193698,15:33:14.965293,-1,-1.0
1,15:33:03.193698,15:33:15.163045,-1,-1.0
1,15:33:03.193698,15:33:15.514016,-1,-1.0
1,15:33:03.193698,15:33:15.747995,-1,-1.0
1,15:33:03.193698,15:33:15.969531,-1,-1.0
1,15:33:03.193698,15:33:17.627117,-1,-1.0
1,15:33:03.193698,15:33:18.197421,-1,-1.0
1,15:33:03.193698,15:33:18.417759,1,-1.0
1,15:33:03.193698,15:33:18.634353,1,-1.0
1,15:33:03.193698,15:33:18.867510,1,-1.0
1,15:33:03.193698,15:33:19.075275,1,-1.0
1,15:33:03.193698,15:33:19.428369,-1,-1.0
1,15:33:03.193698,15:33:19.627159,-1,-1.0
1,15:33:03.193698,15:33:19.861517,-1,-1.0
1,15:33:03.193698,15:33:20.061645,1,-1.0
1,15:33:03.193698,15:33:20.277875,-1,-1.0
1,15:33:03.193698,15:33:20.491981,1,-1.0
1,15:33:03.193698,15:33:20.727062,1,-1.0
1,15:33:03.193698,15:33:20.960568,1,-1.0
1,15:33:03.193698,15:33:21.417427,-1,-1.0
1,15:33:03.193698,15:33:21.629108,-1,-1.0
1,15:33:03.193698,15:33:21.871197,1,-1.0
1,15:33:03.193698,15:33:22.264214,1,-1.0
1,15:33:03.193698,15:33:22.470873,1,-1.0
1,15:33:03.193698,15:33:22.692366,1,-1.0
1,15:33:03.193698,15:33:22.948438,1,-1.0
1,15:33:03.193698,15:33:23.586967,-1,-1.0
1,15:33:03.193698,15:33:23.776944,-1,-1.0
1,15:33:03.193698,15:33:23.994764,1,-1.0
1,15:33:03.193698,15:33:24.426795,-1,-1.0
1,15:33:03.193698,15:33:24.626642,1,-1.0
1,15:33:03.193698,15:33:24.861189,1,-1.0
1,15:33:03.193698,15:33:25.077968,1,-1.0
1,15:33:03.193698,15:33:25.633717,-1,-1.0
1,15:33:03.193698,15:33:25.840298,-1,-1.0
1,15:33:03.193698,15:33:26.047015,-1,-1.0
1,15:33:03.193698,15:33:26.495459,1,-1.0
1,15:33:03.193698,15:33:26.684881,1,-1.0
1,15:33:03.193698,15:33:26.893281,1,-1.0
1,15:33:03.193698,15:33:27.132252,1,-1.0
1,15:33:03.193698,15:33:27.427032,1,-1.0
1,15:33:03.193698,15:33:27.768495,-1,-1.0
1,15:33:03.193698,15:33:27.985549,-1,-1.0
1,15:33:03.193698,15:33:28.204941,-1,-1.0
