Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:14:17.684545,23:14:17.840641,-1,-1.0
1,23:14:17.684545,23:14:18.006068,-1,-1.0
1,23:14:17.684545,23:14:18.190115,-1,-1.0
1,23:14:17.684545,23:14:18.362311,-1,-1.0
1,23:14:17.684545,23:14:18.574326,-1,-1.0
1,23:14:17.684545,23:14:18.769107,-1,-1.0
1,23:14:17.684545,23:14:18.982673,-1,-1.0
1,23:14:17.684545,23:14:19.165996,-1,-1.0
1,23:14:17.684545,23:14:19.351359,-1,-1.0
1,23:14:17.684545,23:14:19.555305,-1,-1.0
1,23:14:17.684545,23:14:19.749923,-1,-1.0
1,23:14:17.684545,23:14:19.974059,-1,-1.0
1,23:14:17.684545,23:14:20.188710,-1,-1.0
1,23:14:17.684545,23:14:20.424614,-1,-1.0
1,23:14:17.684545,23:14:20.632214,-1,-1.0
1,23:14:17.684545,23:14:20.877211,-1,-1.0
1,23:14:17.684545,23:14:21.114649,-1,-1.0
1,23:14:17.684545,23:14:21.401533,-1,-1.0
1,23:14:17.684545,23:14:21.635851,-1,-1.0
1,23:14:17.684545,23:14:21.860887,-1,-1.0
1,23:14:17.684545,23:14:22.492057,-1,-1.0
1,23:14:17.684545,23:14:22.687232,-1,-1.0
1,23:14:17.684545,23:14:22.880926,1,-1.0
1,23:14:17.684545,23:14:23.063610,1,-1.0
1,23:14:17.684545,23:14:23.266978,1,-1.0
1,23:14:17.684545,23:14:23.492170,1,-1.0
1,23:14:17.684545,23:14:23.704928,1,-1.0
1,23:14:17.684545,23:14:23.918319,1,-1.0
1,23:14:17.684545,23:14:24.133557,1,-1.0
1,23:14:17.684545,23:14:24.357684,1,-1.0
1,23:14:17.684545,23:14:24.571664,1,-1.0
1,23:14:17.684545,23:14:24.785502,1,-1.0
1,23:14:17.684545,23:14:24.998685,1,-1.0
1,23:14:17.684545,23:14:25.212085,1,-1.0
1,23:14:17.684545,23:14:25.402425,1,-1.0
1,23:14:17.684545,23:14:25.626556,1,-1.0
1,23:14:17.684545,23:14:25.852436,1,-1.0
1,23:14:17.684545,23:14:26.078537,1,-1.0
1,23:14:17.684545,23:14:26.312421,1,-1.0
1,23:14:17.684545,23:14:26.557586,1,-1.0
1,23:14:17.684545,23:14:26.802209,1,-1.0
