Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:57:11.510441,15:57:12.508212,1,-1.0
1,15:57:11.510441,15:57:12.714070,1,-1.0
1,15:57:11.510441,15:57:12.898086,1,-1.0
1,15:57:11.510441,15:57:16.817007,1,-1.0
1,15:57:11.510441,15:57:17.031213,1,-1.0
1,15:57:11.510441,15:57:17.239330,1,-1.0
1,15:57:11.510441,15:57:17.415748,1,-1.0
1,15:57:11.510441,15:57:17.599869,1,-1.0
1,15:57:11.510441,15:57:18.307791,-1,-1.0
1,15:57:11.510441,15:57:18.526765,-1,-1.0
1,15:57:11.510441,15:57:20.733847,1,-1.0
1,15:57:11.510441,15:57:20.999330,1,-1.0
1,15:57:11.510441,15:57:21.192529,1,-1.0
1,15:57:11.510441,15:57:21.387408,1,-1.0
1,15:57:11.510441,15:57:21.570409,1,-1.0
1,15:57:11.510441,15:57:21.767828,1,-1.0
1,15:57:11.510441,15:57:22.098087,1,-1.0
1,15:57:11.510441,15:57:22.692118,-1,-1.0
1,15:57:11.510441,15:57:22.887387,-1,-1.0
1,15:57:11.510441,15:57:23.100484,-1,-1.0
1,15:57:11.510441,15:57:23.306803,-1,-1.0
1,15:57:11.510441,15:57:23.532875,-1,-1.0
1,15:57:11.510441,15:57:23.746501,-1,-1.0
