Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:07:26.130897,16:07:26.583854,1,-1.0
1,16:07:26.130897,16:07:26.761458,1,-1.0
1,16:07:26.130897,16:07:26.943591,1,-1.0
1,16:07:26.130897,16:07:27.149428,1,-1.0
1,16:07:26.130897,16:07:27.750316,-1,-1.0
1,16:07:26.130897,16:07:27.932838,-1,-1.0
1,16:07:26.130897,16:07:28.116445,-1,-1.0
1,16:07:26.130897,16:07:28.311462,-1,-1.0
1,16:07:26.130897,16:07:28.496816,-1,-1.0
1,16:07:26.130897,16:07:28.701518,1,-1.0
1,16:07:26.130897,16:07:29.409940,-1,-1.0
1,16:07:26.130897,16:07:29.616877,1,-1.0
1,16:07:26.130897,16:07:29.801907,1,-1.0
1,16:07:26.130897,16:07:29.983894,1,-1.0
1,16:07:26.130897,16:07:30.168813,1,-1.0
1,16:07:26.130897,16:07:30.906659,-1,-1.0
1,16:07:26.130897,16:07:31.122902,1,-1.0
1,16:07:26.130897,16:07:31.287887,1,-1.0
1,16:07:26.130897,16:07:31.481609,-1,-1.0
1,16:07:26.130897,16:07:31.655422,-1,-1.0
1,16:07:26.130897,16:07:31.775198,-1,-1.0
1,16:07:26.130897,16:07:32.021468,-1,-1.0
1,16:07:26.130897,16:07:32.204839,1,-1.0
1,16:07:26.130897,16:07:32.399130,1,-1.0
1,16:07:26.130897,16:07:32.604826,-1,-1.0
1,16:07:26.130897,16:07:32.788835,-1,-1.0
1,16:07:26.130897,16:07:33.046977,-1,-1.0
1,16:07:26.130897,16:07:33.229327,-1,-1.0
1,16:07:26.130897,16:07:33.423149,-1,-1.0
1,16:07:26.130897,16:07:33.638126,-1,-1.0
1,16:07:26.130897,16:07:33.800803,-1,-1.0
1,16:07:26.130897,16:07:34.088713,-1,-1.0
1,16:07:26.130897,16:07:34.273703,1,-1.0
1,16:07:26.130897,16:07:34.491449,1,-1.0
1,16:07:26.130897,16:07:34.706045,-1,-1.0
1,16:07:26.130897,16:07:34.910509,-1,-1.0
1,16:07:26.130897,16:07:35.114630,-1,-1.0
1,16:07:26.130897,16:07:35.425840,-1,-1.0
1,16:07:26.130897,16:07:35.631878,1,-1.0
1,16:07:26.130897,16:07:35.839054,-1,-1.0
1,16:07:26.130897,16:07:36.034727,-1,-1.0
1,16:07:26.130897,16:07:36.558204,-1,-1.0
1,16:07:26.130897,16:07:36.740505,1,-1.0
1,16:07:26.130897,16:07:36.934698,1,-1.0
1,16:07:26.130897,16:07:37.151429,1,-1.0
1,16:07:26.130897,16:07:37.375983,1,-1.0
1,16:07:26.130897,16:07:37.841302,1,-1.0
1,16:07:26.130897,16:07:38.044638,1,-1.0
1,16:07:26.130897,16:07:38.251202,1,-1.0
1,16:07:26.130897,16:07:38.445197,-1,-1.0
1,16:07:26.130897,16:07:38.892615,1,-1.0
1,16:07:26.130897,16:07:39.086041,1,-1.0
1,16:07:26.130897,16:07:39.279119,1,-1.0
1,16:07:26.130897,16:07:39.471426,-1,-1.0
1,16:07:26.130897,16:07:39.684944,-1,-1.0
1,16:07:26.130897,16:07:39.973393,-1,-1.0
1,16:07:26.130897,16:07:40.188959,1,-1.0
1,16:07:26.130897,16:07:40.373208,1,-1.0
1,16:07:26.130897,16:07:40.611165,-1,-1.0
1,16:07:26.130897,16:07:40.814575,-1,-1.0
1,16:07:26.130897,16:07:41.232147,1,-1.0
1,16:07:26.130897,16:07:41.416071,1,-1.0
1,16:07:26.130897,16:07:41.621311,1,-1.0
1,16:07:26.130897,16:07:41.845818,1,-1.0
1,16:07:26.130897,16:07:42.060287,-1,-1.0
1,16:07:26.130897,16:07:42.262548,1,-1.0
1,16:07:26.130897,16:07:42.586949,-1,-1.0
1,16:07:26.130897,16:07:42.780155,1,-1.0
1,16:07:26.130897,16:07:42.994772,1,-1.0
1,16:07:26.130897,16:07:43.202221,-1,-1.0
1,16:07:26.130897,16:07:43.426893,-1,-1.0
1,16:07:26.130897,16:07:43.631844,1,-1.0
1,16:07:26.130897,16:07:43.838999,1,-1.0
1,16:07:26.130897,16:07:44.038132,1,-1.0
1,16:07:26.130897,16:07:44.243401,1,-1.0
1,16:07:26.130897,16:07:44.436060,-1,-1.0
1,16:07:26.130897,16:07:44.832817,-1,-1.0
1,16:07:26.130897,16:07:44.995960,1,-1.0
1,16:07:26.130897,16:07:45.189209,1,-1.0
1,16:07:26.130897,16:07:45.382617,1,-1.0
1,16:07:26.130897,16:07:45.587458,-1,-1.0
1,16:07:26.130897,16:07:45.911622,1,-1.0
1,16:07:26.130897,16:07:46.103821,1,-1.0
1,16:07:26.130897,16:07:46.297834,1,-1.0
1,16:07:26.130897,16:07:46.512481,1,-1.0
1,16:07:26.130897,16:07:46.705147,-1,-1.0
1,16:07:26.130897,16:07:46.889693,1,-1.0
1,16:07:26.130897,16:07:47.052292,-1,-1.0
1,16:07:26.130897,16:07:47.243862,-1,-1.0
1,16:07:26.130897,16:07:47.458926,1,-1.0
1,16:07:26.130897,16:07:47.672973,1,-1.0
1,16:07:26.130897,16:07:47.889138,-1,-1.0
1,16:07:26.130897,16:07:48.092393,-1,-1.0
1,16:07:26.130897,16:07:48.306901,-1,-1.0
1,16:07:26.130897,16:07:48.481181,1,-1.0
1,16:07:26.130897,16:07:48.685786,1,-1.0
1,16:07:26.130897,16:07:48.892606,1,-1.0
1,16:07:26.130897,16:07:49.087470,1,-1.0
1,16:07:26.130897,16:07:49.301526,-1,-1.0
1,16:07:26.130897,16:07:49.598892,-1,-1.0
1,16:07:26.130897,16:07:49.832685,-1,-1.0
1,16:07:26.130897,16:07:50.028269,1,-1.0
1,16:07:26.130897,16:07:50.233190,1,-1.0
1,16:07:26.130897,16:07:50.446696,1,-1.0
1,16:07:26.130897,16:07:50.662423,1,-1.0
1,16:07:26.130897,16:07:50.856261,-1,-1.0
1,16:07:26.130897,16:07:51.242658,1,-1.0
1,16:07:26.130897,16:07:51.433650,1,-1.0
1,16:07:26.130897,16:07:51.669754,1,-1.0
1,16:07:26.130897,16:07:51.875826,1,-1.0
1,16:07:26.130897,16:07:52.080850,1,-1.0
1,16:07:26.130897,16:07:52.295998,-1,-1.0
1,16:07:26.130897,16:07:52.586482,1,-1.0
1,16:07:26.130897,16:07:52.799989,1,-1.0
1,16:07:26.130897,16:07:52.994566,1,-1.0
1,16:07:26.130897,16:07:53.208900,1,-1.0
1,16:07:26.130897,16:07:53.421587,1,-1.0
1,16:07:26.130897,16:07:53.625837,1,-1.0
1,16:07:26.130897,16:07:53.986475,1,-1.0
1,16:07:26.130897,16:07:54.187925,1,-1.0
1,16:07:26.130897,16:07:54.392899,1,-1.0
1,16:07:26.130897,16:07:54.596102,1,-1.0
1,16:07:26.130897,16:07:54.798980,1,-1.0
1,16:07:26.130897,16:07:54.993709,1,-1.0
1,16:07:26.130897,16:07:55.215889,-1,-1.0
1,16:07:26.130897,16:07:55.391388,1,-1.0
1,16:07:26.130897,16:07:55.607040,1,-1.0
1,16:07:26.130897,16:07:55.805867,1,-1.0
1,16:07:26.130897,16:07:56.010340,1,-1.0
1,16:07:26.130897,16:07:56.224726,1,-1.0
1,16:07:26.130897,16:07:56.422465,1,-1.0
1,16:07:26.130897,16:07:56.680286,1,-1.0
1,16:07:26.130897,16:07:56.878778,1,-1.0
1,16:07:26.130897,16:07:57.090325,1,-1.0
1,16:07:26.130897,16:07:57.283364,1,-1.0
1,16:07:26.130897,16:07:57.492572,1,-1.0
1,16:07:26.130897,16:07:57.686111,1,-1.0
1,16:07:26.130897,16:07:57.881721,1,-1.0
1,16:07:26.130897,16:07:58.086003,1,-1.0
1,16:07:26.130897,16:07:58.398589,-1,-1.0
1,16:07:26.130897,16:07:58.602766,-1,-1.0
1,16:07:26.130897,16:07:58.705428,-1,-1.0
1,16:07:26.130897,16:07:58.900009,-1,-1.0
1,16:07:26.130897,16:07:59.146009,1,-1.0
1,16:07:26.130897,16:07:59.329765,-1,-1.0
1,16:07:26.130897,16:07:59.532295,-1,-1.0
1,16:07:26.130897,16:07:59.715831,-1,-1.0
1,16:07:26.130897,16:07:59.920116,-1,-1.0
1,16:07:26.130897,16:08:00.123563,1,-1.0
1,16:07:26.130897,16:08:00.317837,-1,-1.0
1,16:07:26.130897,16:08:00.504813,1,-1.0
1,16:07:26.130897,16:08:00.698029,1,-1.0
1,16:07:26.130897,16:08:00.881608,1,-1.0
1,16:07:26.130897,16:08:01.088668,1,-1.0
1,16:07:26.130897,16:08:01.293785,1,-1.0
1,16:07:26.130897,16:08:01.778962,1,-1.0
1,16:07:26.130897,16:08:01.993245,1,-1.0
1,16:07:26.130897,16:08:02.179826,-1,-1.0
1,16:07:26.130897,16:08:02.362176,-1,-1.0
1,16:07:26.130897,16:08:02.566004,-1,-1.0
1,16:07:26.130897,16:08:02.773166,-1,-1.0
1,16:07:26.130897,16:08:02.978760,1,-1.0
1,16:07:26.130897,16:08:03.195156,1,-1.0
1,16:07:26.130897,16:08:03.450703,-1,-1.0
1,16:07:26.130897,16:08:03.633725,1,-1.0
1,16:07:26.130897,16:08:03.828432,1,-1.0
1,16:07:26.130897,16:08:04.066461,1,-1.0
1,16:07:26.130897,16:08:04.291995,1,-1.0
1,16:07:26.130897,16:08:04.498516,1,-1.0
1,16:07:26.130897,16:08:04.735785,1,-1.0
1,16:07:26.130897,16:08:04.929679,-1,-1.0
1,16:07:26.130897,16:08:05.123683,1,-1.0
1,16:07:26.130897,16:08:05.325875,1,-1.0
1,16:07:26.130897,16:08:05.532033,1,-1.0
1,16:07:26.130897,16:08:05.736025,-1,-1.0
1,16:07:26.130897,16:08:05.960320,-1,-1.0
1,16:07:26.130897,16:08:06.164743,-1,-1.0
1,16:07:26.130897,16:08:06.442318,-1,-1.0
1,16:07:26.130897,16:08:06.627045,-1,-1.0
1,16:07:26.130897,16:08:06.811894,1,-1.0
1,16:07:26.130897,16:08:07.016319,1,-1.0
1,16:07:26.130897,16:08:07.264847,1,-1.0
1,16:07:26.130897,16:08:07.472327,1,-1.0
1,16:07:26.130897,16:08:07.688598,1,-1.0
1,16:07:26.130897,16:08:08.070849,1,-1.0
1,16:07:26.130897,16:08:08.266347,1,-1.0
1,16:07:26.130897,16:08:08.471930,1,-1.0
1,16:07:26.130897,16:08:08.666042,1,-1.0
1,16:07:26.130897,16:08:08.892980,-1,-1.0
1,16:07:26.130897,16:08:09.120393,-1,-1.0
1,16:07:26.130897,16:08:09.386206,1,-1.0
1,16:07:26.130897,16:08:09.748808,1,-1.0
