Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:52:54.014231,15:52:54.846373,1,-1.0
1,15:52:54.014231,15:52:55.067510,1,-1.0
1,15:52:54.014231,15:52:55.450666,1,-1.0
1,15:52:54.014231,15:52:59.742973,-1,-1.0
1,15:52:54.014231,15:52:59.906373,-1,-1.0
1,15:52:54.014231,15:53:00.055075,-1,-1.0
1,15:52:54.014231,15:53:00.206149,-1,-1.0
1,15:52:54.014231,15:53:00.381410,1,-1.0
1,15:52:54.014231,15:53:00.526343,1,-1.0
1,15:52:54.014231,15:53:00.739001,1,-1.0
1,15:52:54.014231,15:53:00.910631,1,-1.0
1,15:52:54.014231,15:53:01.116322,-1,-1.0
1,15:52:54.014231,15:53:01.297589,-1,-1.0
1,15:52:54.014231,15:53:01.481082,-1,-1.0
1,15:52:54.014231,15:53:01.655878,1,-1.0
1,15:52:54.014231,15:53:01.850661,1,-1.0
1,15:52:54.014231,15:53:02.054830,1,-1.0
1,15:52:54.014231,15:53:02.247575,1,-1.0
1,15:52:54.014231,15:53:02.440869,-1,-1.0
1,15:52:54.014231,15:53:02.613373,-1,-1.0
1,15:52:54.014231,15:53:02.763497,1,-1.0
1,15:52:54.014231,15:53:02.916507,1,-1.0
1,15:52:54.014231,15:53:03.077217,1,-1.0
1,15:52:54.014231,15:53:03.220487,1,-1.0
1,15:52:54.014231,15:53:03.372040,1,-1.0
1,15:52:54.014231,15:53:03.546207,-1,-1.0
1,15:52:54.014231,15:53:03.731230,1,-1.0
1,15:52:54.014231,15:53:03.933120,1,-1.0
1,15:52:54.014231,15:53:04.105727,1,-1.0
1,15:52:54.014231,15:53:04.297867,-1,-1.0
1,15:52:54.014231,15:53:04.470300,-1,-1.0
1,15:52:54.014231,15:53:04.756418,1,-1.0
1,15:52:54.014231,15:53:04.899317,1,-1.0
1,15:52:54.014231,15:53:05.037142,1,-1.0
1,15:52:54.014231,15:53:05.191386,-1,-1.0
1,15:52:54.014231,15:53:05.407416,-1,-1.0
1,15:52:54.014231,15:53:05.496482,1,-1.0
1,15:52:54.014231,15:53:05.638104,1,-1.0
1,15:52:54.014231,15:53:05.826033,-1,-1.0
1,15:52:54.014231,15:53:06.009719,-1,-1.0
1,15:52:54.014231,15:53:06.192256,-1,-1.0
1,15:52:54.014231,15:53:06.385626,-1,-1.0
1,15:52:54.014231,15:53:06.580393,-1,-1.0
1,15:52:54.014231,15:53:07.030637,1,-1.0
1,15:52:54.014231,15:53:07.163831,-1,-1.0
1,15:52:54.014231,15:53:07.312566,-1,-1.0
1,15:52:54.014231,15:53:07.467467,1,-1.0
1,15:52:54.014231,15:53:07.609173,1,-1.0
1,15:52:54.014231,15:53:07.864414,-1,-1.0
1,15:52:54.014231,15:53:08.058346,1,-1.0
1,15:52:54.014231,15:53:08.234132,1,-1.0
1,15:52:54.014231,15:53:08.420074,-1,-1.0
1,15:52:54.014231,15:53:08.617475,-1,-1.0
1,15:52:54.014231,15:53:08.834453,1,-1.0
1,15:52:54.014231,15:53:09.185782,-1,-1.0
1,15:52:54.014231,15:53:09.369644,1,-1.0
1,15:52:54.014231,15:53:09.503134,1,-1.0
1,15:52:54.014231,15:53:09.688003,-1,-1.0
1,15:52:54.014231,15:53:09.839825,-1,-1.0
1,15:52:54.014231,15:53:10.001786,1,-1.0
1,15:52:54.014231,15:53:10.143241,-1,-1.0
1,15:52:54.014231,15:53:10.286237,-1,-1.0
1,15:52:54.014231,15:53:10.490179,-1,-1.0
1,15:52:54.014231,15:53:10.664362,-1,-1.0
1,15:52:54.014231,15:53:10.835125,-1,-1.0
1,15:52:54.014231,15:53:11.028351,-1,-1.0
1,15:52:54.014231,15:53:11.220664,-1,-1.0
1,15:52:54.014231,15:53:11.403690,-1,-1.0
1,15:52:54.014231,15:53:11.585096,-1,-1.0
1,15:52:54.014231,15:53:11.789474,1,-1.0
1,15:52:54.014231,15:53:11.923090,1,-1.0
1,15:52:54.014231,15:53:12.064329,1,-1.0
1,15:52:54.014231,15:53:12.229133,1,-1.0
1,15:52:54.014231,15:53:12.370562,1,-1.0
1,15:52:54.014231,15:53:12.535440,-1,-1.0
1,15:52:54.014231,15:53:12.688149,1,-1.0
1,15:52:54.014231,15:53:12.841634,1,-1.0
1,15:52:54.014231,15:53:12.945245,1,-1.0
1,15:52:54.014231,15:53:13.055541,-1,-1.0
1,15:52:54.014231,15:53:13.247645,-1,-1.0
1,15:52:54.014231,15:53:13.440857,-1,-1.0
1,15:52:54.014231,15:53:13.635215,-1,-1.0
1,15:52:54.014231,15:53:13.931737,1,-1.0
1,15:52:54.014231,15:53:14.082402,1,-1.0
1,15:52:54.014231,15:53:14.223873,1,-1.0
1,15:52:54.014231,15:53:14.380088,-1,-1.0
1,15:52:54.014231,15:53:14.511496,1,-1.0
1,15:52:54.014231,15:53:14.612639,1,-1.0
1,15:52:54.014231,15:53:14.755136,1,-1.0
1,15:52:54.014231,15:53:14.855429,-1,-1.0
1,15:52:54.014231,15:53:15.017900,-1,-1.0
1,15:52:54.014231,15:53:15.172462,-1,-1.0
1,15:52:54.014231,15:53:15.345080,-1,-1.0
1,15:52:54.014231,15:53:15.518114,-1,-1.0
1,15:52:54.014231,15:53:15.702202,-1,-1.0
1,15:52:54.014231,15:53:15.885499,1,-1.0
1,15:52:54.014231,15:53:16.005620,1,-1.0
1,15:52:54.014231,15:53:16.160074,1,-1.0
1,15:52:54.014231,15:53:16.294451,1,-1.0
1,15:52:54.014231,15:53:16.426206,-1,-1.0
1,15:52:54.014231,15:53:16.559938,1,-1.0
1,15:52:54.014231,15:53:16.680058,1,-1.0
1,15:52:54.014231,15:53:16.857208,-1,-1.0
1,15:52:54.014231,15:53:17.044009,-1,-1.0
1,15:52:54.014231,15:53:17.237309,-1,-1.0
1,15:52:54.014231,15:53:17.443303,-1,-1.0
1,15:52:54.014231,15:53:17.637052,-1,-1.0
1,15:52:54.014231,15:53:17.870529,-1,-1.0
1,15:52:54.014231,15:53:18.085138,1,-1.0
1,15:52:54.014231,15:53:18.229206,1,-1.0
1,15:52:54.014231,15:53:18.362139,1,-1.0
1,15:52:54.014231,15:53:18.505628,1,-1.0
1,15:52:54.014231,15:53:18.660742,1,-1.0
1,15:52:54.014231,15:53:18.845605,1,-1.0
1,15:52:54.014231,15:53:18.924971,1,-1.0
1,15:52:54.014231,15:53:19.107720,-1,-1.0
1,15:52:54.014231,15:53:19.281716,-1,-1.0
1,15:52:54.014231,15:53:19.466236,-1,-1.0
1,15:52:54.014231,15:53:19.640372,-1,-1.0
1,15:52:54.014231,15:53:19.803464,-1,-1.0
1,15:52:54.014231,15:53:19.956566,1,-1.0
1,15:52:54.014231,15:53:20.113112,1,-1.0
1,15:52:54.014231,15:53:20.246190,1,-1.0
1,15:52:54.014231,15:53:20.366919,1,-1.0
1,15:52:54.014231,15:53:20.507603,1,-1.0
1,15:52:54.014231,15:53:20.628296,1,-1.0
1,15:52:54.014231,15:53:20.708450,1,-1.0
1,15:52:54.014231,15:53:20.882420,-1,-1.0
1,15:52:54.014231,15:53:21.044807,-1,-1.0
1,15:52:54.014231,15:53:21.196842,-1,-1.0
1,15:52:54.014231,15:53:21.382375,-1,-1.0
1,15:52:54.014231,15:53:21.554344,-1,-1.0
1,15:52:54.014231,15:53:21.715162,-1,-1.0
1,15:52:54.014231,15:53:21.877210,-1,-1.0
1,15:52:54.014231,15:53:22.124313,1,-1.0
1,15:52:54.014231,15:53:22.267600,1,-1.0
1,15:52:54.014231,15:53:22.412119,1,-1.0
1,15:52:54.014231,15:53:22.555107,1,-1.0
1,15:52:54.014231,15:53:22.698165,1,-1.0
1,15:52:54.014231,15:53:23.188860,-1,-1.0
1,15:52:54.014231,15:53:23.382735,-1,-1.0
1,15:52:54.014231,15:53:23.554622,-1,-1.0
1,15:52:54.014231,15:53:23.769987,1,-1.0
1,15:52:54.014231,15:53:23.914020,1,-1.0
1,15:52:54.014231,15:53:24.066194,1,-1.0
1,15:52:54.014231,15:53:24.228162,1,-1.0
1,15:52:54.014231,15:53:24.382848,1,-1.0
1,15:52:54.014231,15:53:24.545630,1,-1.0
1,15:52:54.014231,15:53:24.708239,1,-1.0
1,15:52:54.014231,15:53:24.859238,1,-1.0
1,15:52:54.014231,15:53:25.071736,-1,-1.0
1,15:52:54.014231,15:53:25.264625,-1,-1.0
1,15:52:54.014231,15:53:25.436467,-1,-1.0
1,15:52:54.014231,15:53:25.633029,-1,-1.0
1,15:52:54.014231,15:53:25.837230,-1,-1.0
1,15:52:54.014231,15:53:26.029183,-1,-1.0
