Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:01:53.080618,12:01:54.446340,-1,-1.0
1,12:01:53.080618,12:01:54.726597,-1,-1.0
1,12:01:53.080618,12:01:55.041312,1,-1.0
1,12:01:53.080618,12:01:55.335625,-1,-1.0
1,12:01:53.080618,12:01:55.639412,-1,-1.0
1,12:01:53.080618,12:01:55.952963,-1,-1.0
1,12:01:53.080618,12:01:56.265842,1,-1.0
1,12:01:53.080618,12:01:56.693660,-1,-1.0
1,12:01:53.080618,12:01:57.015253,-1,-1.0
1,12:01:53.080618,12:01:57.296871,1,-1.0
1,12:01:53.080618,12:01:57.624061,1,-1.0
1,12:01:53.080618,12:01:57.958560,1,-1.0
1,12:01:53.080618,12:01:58.262842,-1,-1.0
1,12:01:53.080618,12:01:58.545017,-1,-1.0
1,12:01:53.080618,12:01:58.848375,-1,-1.0
1,12:01:53.080618,12:01:59.134088,-1,-1.0
1,12:01:53.080618,12:01:59.709750,-1,-1.0
1,12:01:53.080618,12:01:59.946226,-1,-1.0
1,12:01:53.080618,12:02:00.209856,1,-1.0
1,12:01:53.080618,12:02:00.428146,1,-1.0
1,12:01:53.080618,12:02:00.667012,1,-1.0
1,12:01:53.080618,12:02:00.877865,1,-1.0
1,12:01:53.080618,12:02:01.146834,1,-1.0
1,12:01:53.080618,12:02:01.430029,-1,-1.0
1,12:01:53.080618,12:02:01.648122,-1,-1.0
1,12:01:53.080618,12:02:01.855110,-1,-1.0
1,12:01:53.080618,12:02:02.129717,-1,-1.0
1,12:01:53.080618,12:02:02.693966,1,-1.0
1,12:01:53.080618,12:02:02.937240,1,-1.0
1,12:01:53.080618,12:02:03.131041,1,-1.0
1,12:01:53.080618,12:02:03.322001,1,-1.0
1,12:01:53.080618,12:02:03.530073,1,-1.0
1,12:01:53.080618,12:02:03.716044,1,-1.0
1,12:01:53.080618,12:02:03.900860,1,-1.0
1,12:01:53.080618,12:02:04.116501,1,-1.0
1,12:01:53.080618,12:02:04.331107,-1,-1.0
1,12:01:53.080618,12:02:04.541982,-1,-1.0
1,12:01:53.080618,12:02:04.716182,-1,-1.0
1,12:01:53.080618,12:02:04.874537,-1,-1.0
1,12:01:53.080618,12:02:05.030747,-1,-1.0
1,12:01:53.080618,12:02:05.337307,1,-1.0
1,12:01:53.080618,12:02:05.526535,1,-1.0
1,12:01:53.080618,12:02:05.711886,1,-1.0
1,12:01:53.080618,12:02:05.888633,1,-1.0
1,12:01:53.080618,12:02:06.041888,1,-1.0
1,12:01:53.080618,12:02:06.200694,1,-1.0
