Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:02:57.234499,00:02:59.391034,1,-1.0
1,00:02:57.234499,00:02:59.612466,1,-1.0
1,00:02:57.234499,00:02:59.821405,1,-1.0
1,00:02:57.234499,00:03:00.026855,1,-1.0
1,00:02:57.234499,00:03:00.238883,1,-1.0
1,00:02:57.234499,00:03:00.458642,1,-1.0
1,00:02:57.234499,00:03:00.655288,1,-1.0
1,00:02:57.234499,00:03:02.601924,-1,-1.0
1,00:02:57.234499,00:03:02.838265,-1,-1.0
1,00:02:57.234499,00:03:03.060505,-1,-1.0
1,00:02:57.234499,00:03:03.282459,-1,-1.0
1,00:02:57.234499,00:03:04.396213,1,-1.0
1,00:02:57.234499,00:03:04.613500,1,-1.0
1,00:02:57.234499,00:03:04.822743,1,-1.0
1,00:02:57.234499,00:03:05.023026,1,-1.0
1,00:02:57.234499,00:03:05.231638,1,-1.0
1,00:02:57.234499,00:03:05.481928,1,-1.0
1,00:02:57.234499,00:03:10.057702,1,-1.0
1,00:02:57.234499,00:03:10.790033,1,-1.0
1,00:02:57.234499,00:03:12.278334,1,-1.0
1,00:02:57.234499,00:03:12.557253,1,-1.0
1,00:02:57.234499,00:03:12.797425,1,-1.0
1,00:02:57.234499,00:03:13.046073,1,-1.0
1,00:02:57.234499,00:03:13.275151,1,-1.0
1,00:02:57.234499,00:03:13.535539,1,-1.0
1,00:02:57.234499,00:03:13.743856,1,-1.0
1,00:02:57.234499,00:03:13.992881,1,-1.0
1,00:02:57.234499,00:03:15.616770,-1,-1.0
1,00:02:57.234499,00:03:15.816246,-1,-1.0
1,00:02:57.234499,00:03:16.032893,-1,-1.0
1,00:02:57.234499,00:03:16.252152,-1,-1.0
1,00:02:57.234499,00:03:16.451898,-1,-1.0
1,00:02:57.234499,00:03:17.397089,1,-1.0
1,00:02:57.234499,00:03:17.624717,1,-1.0
1,00:02:57.234499,00:03:17.842695,1,-1.0
1,00:02:57.234499,00:03:18.029410,1,-1.0
1,00:02:57.234499,00:03:18.234828,1,-1.0
1,00:02:57.234499,00:03:18.476827,1,-1.0
1,00:02:57.234499,00:03:19.854256,-1,-1.0
1,00:02:57.234499,00:03:20.326574,-1,-1.0
1,00:02:57.234499,00:03:20.533484,-1,-1.0
1,00:02:57.234499,00:03:20.791576,-1,-1.0
1,00:02:57.234499,00:03:22.152759,-1,-1.0
1,00:02:57.234499,00:03:22.372593,-1,-1.0
