Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:40:48.883539,15:40:50.247753,1,-1.0
1,15:40:48.883539,15:40:50.482038,1,-1.0
1,15:40:48.883539,15:40:50.693641,1,-1.0
1,15:40:48.883539,15:40:50.898993,1,-1.0
1,15:40:48.883539,15:40:51.102264,1,-1.0
1,15:40:48.883539,15:40:51.305954,1,-1.0
1,15:40:48.883539,15:40:51.502224,1,-1.0
1,15:40:48.883539,15:40:51.697173,1,-1.0
1,15:40:48.883539,15:40:54.352333,1,-1.0
1,15:40:48.883539,15:40:54.597985,1,-1.0
1,15:40:48.883539,15:40:54.936916,-1,-1.0
1,15:40:48.883539,15:40:55.817480,1,-1.0
1,15:40:48.883539,15:40:56.056878,1,-1.0
1,15:40:48.883539,15:40:56.279628,1,-1.0
1,15:40:48.883539,15:40:56.485641,1,-1.0
1,15:40:48.883539,15:40:56.697770,1,-1.0
1,15:40:48.883539,15:40:56.956989,1,-1.0
1,15:40:48.883539,15:40:57.689322,-1,-1.0
1,15:40:48.883539,15:40:57.861187,-1,-1.0
1,15:40:48.883539,15:40:58.077368,-1,-1.0
1,15:40:48.883539,15:40:58.282406,-1,-1.0
1,15:40:48.883539,15:40:58.495912,-1,-1.0
1,15:40:48.883539,15:40:58.723892,-1,-1.0
1,15:40:48.883539,15:40:58.958899,-1,-1.0
1,15:40:48.883539,15:40:59.188928,-1,-1.0
1,15:40:48.883539,15:40:59.413474,-1,-1.0
1,15:40:48.883539,15:40:59.638820,-1,-1.0
1,15:40:48.883539,15:40:59.868786,-1,-1.0
1,15:40:48.883539,15:41:09.142512,1,-1.0
1,15:40:48.883539,15:41:09.358780,1,-1.0
1,15:40:48.883539,15:41:09.587397,1,-1.0
1,15:40:48.883539,15:41:09.795869,1,-1.0
1,15:40:48.883539,15:41:10.020853,1,-1.0
1,15:40:48.883539,15:41:10.259895,1,-1.0
1,15:40:48.883539,15:41:10.488516,1,-1.0
1,15:40:48.883539,15:41:10.693389,1,-1.0
1,15:40:48.883539,15:41:10.943260,1,-1.0
1,15:40:48.883539,15:41:12.110039,-1,-1.0
1,15:40:48.883539,15:41:12.304429,-1,-1.0
1,15:40:48.883539,15:41:12.533487,-1,-1.0
1,15:40:48.883539,15:41:12.748198,-1,-1.0
1,15:40:48.883539,15:41:12.954316,-1,-1.0
1,15:40:48.883539,15:41:13.159843,-1,-1.0
1,15:40:48.883539,15:41:13.418500,-1,-1.0
1,15:40:48.883539,15:41:13.685249,-1,-1.0
