Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:41:46.326266,15:41:48.074341,1,-1.0
1,15:41:46.326266,15:41:48.414368,1,-1.0
1,15:41:46.326266,15:41:48.724756,1,-1.0
1,15:41:46.326266,15:41:48.994433,1,-1.0
1,15:41:46.326266,15:41:49.293055,1,-1.0
1,15:41:46.326266,15:41:49.600996,1,-1.0
1,15:41:46.326266,15:41:49.839650,1,-1.0
1,15:41:46.326266,15:41:55.050871,1,-1.0
1,15:41:46.326266,15:41:55.289992,1,-1.0
1,15:41:46.326266,15:41:55.491506,1,-1.0
1,15:41:46.326266,15:41:55.665126,1,-1.0
1,15:41:46.326266,15:41:55.883295,1,-1.0
1,15:41:46.326266,15:42:01.956821,1,-1.0
1,15:41:46.326266,15:42:02.215230,1,-1.0
1,15:41:46.326266,15:42:02.409683,1,-1.0
1,15:41:46.326266,15:42:02.621640,1,-1.0
1,15:41:46.326266,15:42:02.834299,1,-1.0
1,15:41:46.326266,15:42:03.049913,1,-1.0
1,15:41:46.326266,15:42:03.263263,1,-1.0
1,15:41:46.326266,15:42:05.064337,-1,-1.0
1,15:41:46.326266,15:42:05.308279,-1,-1.0
1,15:41:46.326266,15:42:05.513736,-1,-1.0
1,15:41:46.326266,15:42:05.739817,-1,-1.0
1,15:41:46.326266,15:42:05.913950,-1,-1.0
1,15:41:46.326266,15:42:06.864353,1,-1.0
1,15:41:46.326266,15:42:07.088588,1,-1.0
1,15:41:46.326266,15:42:07.291294,1,-1.0
1,15:41:46.326266,15:42:07.516984,1,-1.0
1,15:41:46.326266,15:42:07.743365,1,-1.0
1,15:41:46.326266,15:42:07.947136,1,-1.0
1,15:41:46.326266,15:42:14.251654,-1,-1.0
1,15:41:46.326266,15:42:14.500217,-1,-1.0
1,15:41:46.326266,15:42:14.670855,1,-1.0
1,15:41:46.326266,15:42:14.866018,1,-1.0
1,15:41:46.326266,15:42:15.048673,1,-1.0
1,15:41:46.326266,15:42:15.255914,1,-1.0
1,15:41:46.326266,15:42:15.450698,1,-1.0
1,15:41:46.326266,15:42:15.708346,-1,-1.0
1,15:41:46.326266,15:42:15.926577,-1,-1.0
1,15:41:46.326266,15:42:16.077793,-1,-1.0
1,15:41:46.326266,15:42:16.388480,-1,-1.0
1,15:41:46.326266,15:42:16.603904,-1,-1.0
1,15:41:46.326266,15:42:16.819451,-1,-1.0
1,15:41:46.326266,15:42:16.992783,-1,-1.0
1,15:41:46.326266,15:42:17.218801,-1,-1.0
1,15:41:46.326266,15:42:17.548532,1,-1.0
1,15:41:46.326266,15:42:17.730298,1,-1.0
1,15:41:46.326266,15:42:17.953778,-1,-1.0
1,15:41:46.326266,15:42:18.124900,-1,-1.0
1,15:41:46.326266,15:42:18.308170,-1,-1.0
1,15:41:46.326266,15:42:18.521049,1,-1.0
1,15:41:46.326266,15:42:18.726708,1,-1.0
1,15:41:46.326266,15:42:19.046515,-1,-1.0
1,15:41:46.326266,15:42:19.270456,-1,-1.0
1,15:41:46.326266,15:42:19.456781,-1,-1.0
1,15:41:46.326266,15:42:19.651402,-1,-1.0
1,15:41:46.326266,15:42:19.907661,1,-1.0
1,15:41:46.326266,15:42:20.123217,1,-1.0
1,15:41:46.326266,15:42:21.793023,-1,-1.0
1,15:41:46.326266,15:42:22.008012,-1,-1.0
1,15:41:46.326266,15:42:22.225562,1,-1.0
1,15:41:46.326266,15:42:22.434084,1,-1.0
1,15:41:46.326266,15:42:22.638278,1,-1.0
1,15:41:46.326266,15:42:22.842836,1,-1.0
1,15:41:46.326266,15:42:23.164803,-1,-1.0
1,15:41:46.326266,15:42:23.371907,-1,-1.0
1,15:41:46.326266,15:42:23.545395,-1,-1.0
1,15:41:46.326266,15:42:23.750811,-1,-1.0
1,15:41:46.326266,15:42:23.957143,-1,-1.0
1,15:41:46.326266,15:42:24.180819,-1,-1.0
1,15:41:46.326266,15:42:24.476653,-1,-1.0
1,15:41:46.326266,15:42:24.651387,1,-1.0
1,15:41:46.326266,15:42:24.793487,-1,-1.0
1,15:41:46.326266,15:42:24.957827,-1,-1.0
1,15:41:46.326266,15:42:25.164275,-1,-1.0
1,15:41:46.326266,15:42:25.387665,-1,-1.0
1,15:41:46.326266,15:42:25.583694,-1,-1.0
1,15:41:46.326266,15:42:25.778246,1,-1.0
1,15:41:46.326266,15:42:25.995408,1,-1.0
1,15:41:46.326266,15:42:26.231344,1,-1.0
1,15:41:46.326266,15:42:26.449455,1,-1.0
1,15:41:46.326266,15:42:26.663141,1,-1.0
