Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:58:01.433134,15:58:08.974056,1,-1.0
1,15:58:01.433134,15:58:09.137232,1,-1.0
1,15:58:01.433134,15:58:09.395112,1,-1.0
1,15:58:01.433134,15:58:09.569551,1,-1.0
1,15:58:01.433134,15:58:09.784477,1,-1.0
1,15:58:01.433134,15:58:12.704773,1,-1.0
1,15:58:01.433134,15:58:12.910173,1,-1.0
1,15:58:01.433134,15:58:13.078696,1,-1.0
1,15:58:01.433134,15:58:13.389539,-1,-1.0
1,15:58:01.433134,15:58:13.577496,-1,-1.0
1,15:58:01.433134,15:58:13.774245,-1,-1.0
1,15:58:01.433134,15:58:13.967351,-1,-1.0
1,15:58:01.433134,15:58:14.130999,-1,-1.0
1,15:58:01.433134,15:58:14.346600,-1,-1.0
1,15:58:01.433134,15:58:14.582668,1,-1.0
1,15:58:01.433134,15:58:15.651071,-1,-1.0
1,15:58:01.433134,15:58:15.824208,1,-1.0
1,15:58:01.433134,15:58:16.018898,1,-1.0
1,15:58:01.433134,15:58:16.214664,1,-1.0
1,15:58:01.433134,15:58:16.397288,1,-1.0
1,15:58:01.433134,15:58:16.580271,1,-1.0
1,15:58:01.433134,15:58:16.774546,1,-1.0
1,15:58:01.433134,15:58:18.954164,1,-1.0
1,15:58:01.433134,15:58:19.160846,1,-1.0
1,15:58:01.433134,15:58:19.343277,1,-1.0
1,15:58:01.433134,15:58:19.558566,1,-1.0
1,15:58:01.433134,15:58:19.812651,-1,-1.0
1,15:58:01.433134,15:58:19.974768,-1,-1.0
1,15:58:01.433134,15:58:20.190408,-1,-1.0
1,15:58:01.433134,15:58:20.418220,-1,-1.0
1,15:58:01.433134,15:58:20.592774,-1,-1.0
1,15:58:01.433134,15:58:20.811836,-1,-1.0
1,15:58:01.433134,15:58:20.997955,-1,-1.0
1,15:58:01.433134,15:58:21.610581,-1,-1.0
1,15:58:01.433134,15:58:21.786498,-1,-1.0
1,15:58:01.433134,15:58:22.042386,-1,-1.0
1,15:58:01.433134,15:58:22.235914,1,-1.0
1,15:58:01.433134,15:58:22.536896,-1,-1.0
1,15:58:01.433134,15:58:22.730776,-1,-1.0
1,15:58:01.433134,15:58:22.940245,1,-1.0
1,15:58:01.433134,15:58:23.127393,1,-1.0
1,15:58:01.433134,15:58:23.311061,1,-1.0
1,15:58:01.433134,15:58:23.610732,1,-1.0
1,15:58:01.433134,15:58:24.303800,-1,-1.0
1,15:58:01.433134,15:58:24.485693,-1,-1.0
1,15:58:01.433134,15:58:24.712703,-1,-1.0
1,15:58:01.433134,15:58:24.977519,-1,-1.0
1,15:58:01.433134,15:58:25.583469,-1,-1.0
1,15:58:01.433134,15:58:25.787613,-1,-1.0
