Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:09:54.819477,16:09:55.514843,-1,-1.0
1,16:09:54.819477,16:09:55.784304,-1,-1.0
1,16:09:54.819477,16:09:56.001603,1,-1.0
1,16:09:54.819477,16:09:56.227218,1,-1.0
1,16:09:54.819477,16:09:57.786208,-1,-1.0
1,16:09:54.819477,16:09:58.013229,-1,-1.0
1,16:09:54.819477,16:09:58.249505,-1,-1.0
1,16:09:54.819477,16:09:58.435884,-1,-1.0
1,16:09:54.819477,16:09:58.671314,-1,-1.0
1,16:09:54.819477,16:09:58.969336,1,-1.0
1,16:09:54.819477,16:09:59.194568,1,-1.0
1,16:09:54.819477,16:09:59.430300,1,-1.0
1,16:09:54.819477,16:09:59.614180,1,-1.0
1,16:09:54.819477,16:09:59.819943,1,-1.0
1,16:09:54.819477,16:10:00.064084,1,-1.0
1,16:09:54.819477,16:10:00.260230,-1,-1.0
1,16:09:54.819477,16:10:00.454247,-1,-1.0
1,16:09:54.819477,16:10:00.680984,-1,-1.0
1,16:09:54.819477,16:10:00.895874,-1,-1.0
1,16:09:54.819477,16:10:01.101823,-1,-1.0
1,16:09:54.819477,16:10:01.316098,-1,-1.0
1,16:09:54.819477,16:10:01.615152,-1,-1.0
1,16:09:54.819477,16:10:01.831505,-1,-1.0
1,16:09:54.819477,16:10:02.026966,-1,-1.0
1,16:09:54.819477,16:10:02.241265,-1,-1.0
1,16:09:54.819477,16:10:02.435739,-1,-1.0
1,16:09:54.819477,16:10:02.662719,1,-1.0
1,16:09:54.819477,16:10:03.387324,-1,-1.0
1,16:09:54.819477,16:10:03.642051,-1,-1.0
1,16:09:54.819477,16:10:03.858760,-1,-1.0
1,16:09:54.819477,16:10:04.062801,-1,-1.0
1,16:09:54.819477,16:10:04.278996,1,-1.0
1,16:09:54.819477,16:10:04.481095,1,-1.0
1,16:09:54.819477,16:10:04.687262,1,-1.0
1,16:09:54.819477,16:10:04.904108,1,-1.0
1,16:09:54.819477,16:10:05.196129,-1,-1.0
1,16:09:54.819477,16:10:05.401777,1,-1.0
1,16:09:54.819477,16:10:05.599711,1,-1.0
1,16:09:54.819477,16:10:05.792934,1,-1.0
1,16:09:54.819477,16:10:06.004146,-1,-1.0
1,16:09:54.819477,16:10:06.201962,-1,-1.0
1,16:09:54.819477,16:10:06.394730,-1,-1.0
1,16:09:54.819477,16:10:06.642134,-1,-1.0
1,16:09:54.819477,16:10:06.835153,-1,-1.0
1,16:09:54.819477,16:10:07.059947,-1,-1.0
1,16:09:54.819477,16:10:07.275371,-1,-1.0
1,16:09:54.819477,16:10:07.531146,-1,-1.0
1,16:09:54.819477,16:10:07.935012,-1,-1.0
1,16:09:54.819477,16:10:08.124471,-1,-1.0
1,16:09:54.819477,16:10:08.358516,-1,-1.0
1,16:09:54.819477,16:10:08.568028,-1,-1.0
1,16:09:54.819477,16:10:08.771543,-1,-1.0
1,16:09:54.819477,16:10:09.027475,-1,-1.0
1,16:09:54.819477,16:10:09.264332,1,-1.0
1,16:09:54.819477,16:10:09.501568,1,-1.0
1,16:09:54.819477,16:10:09.728122,1,-1.0
1,16:09:54.819477,16:10:09.954245,1,-1.0
1,16:09:54.819477,16:10:10.168079,1,-1.0
1,16:09:54.819477,16:10:10.491298,-1,-1.0
1,16:09:54.819477,16:10:10.697504,-1,-1.0
1,16:09:54.819477,16:10:10.933344,1,-1.0
1,16:09:54.819477,16:10:11.137713,1,-1.0
1,16:09:54.819477,16:10:11.340510,-1,-1.0
1,16:09:54.819477,16:10:11.546955,-1,-1.0
1,16:09:54.819477,16:10:11.846827,1,-1.0
1,16:09:54.819477,16:10:12.071151,1,-1.0
1,16:09:54.819477,16:10:12.266926,1,-1.0
1,16:09:54.819477,16:10:12.474212,1,-1.0
1,16:09:54.819477,16:10:12.688421,-1,-1.0
1,16:09:54.819477,16:10:12.904173,1,-1.0
1,16:09:54.819477,16:10:13.120555,-1,-1.0
1,16:09:54.819477,16:10:13.303171,1,-1.0
1,16:09:54.819477,16:10:13.509595,-1,-1.0
1,16:09:54.819477,16:10:13.691803,-1,-1.0
1,16:09:54.819477,16:10:13.907470,-1,-1.0
1,16:09:54.819477,16:10:14.134194,-1,-1.0
1,16:09:54.819477,16:10:14.433965,1,-1.0
1,16:09:54.819477,16:10:14.668777,1,-1.0
1,16:09:54.819477,16:10:14.886769,1,-1.0
1,16:09:54.819477,16:10:15.111155,1,-1.0
1,16:09:54.819477,16:10:15.317066,1,-1.0
1,16:09:54.819477,16:10:15.680727,-1,-1.0
1,16:09:54.819477,16:10:15.884352,-1,-1.0
1,16:09:54.819477,16:10:16.067250,1,-1.0
1,16:09:54.819477,16:10:16.266821,1,-1.0
1,16:09:54.819477,16:10:16.482042,-1,-1.0
1,16:09:54.819477,16:10:16.687487,-1,-1.0
1,16:09:54.819477,16:10:16.861439,-1,-1.0
1,16:09:54.819477,16:10:17.054300,1,-1.0
1,16:09:54.819477,16:10:17.249440,1,-1.0
1,16:09:54.819477,16:10:17.464299,1,-1.0
1,16:09:54.819477,16:10:17.798598,1,-1.0
1,16:09:54.819477,16:10:18.013053,1,-1.0
1,16:09:54.819477,16:10:18.198838,1,-1.0
1,16:09:54.819477,16:10:18.413309,1,-1.0
1,16:09:54.819477,16:10:18.627561,-1,-1.0
1,16:09:54.819477,16:10:18.820704,1,-1.0
1,16:09:54.819477,16:10:19.017419,-1,-1.0
1,16:09:54.819477,16:10:19.201495,-1,-1.0
1,16:09:54.819477,16:10:19.407084,1,-1.0
1,16:09:54.819477,16:10:19.623013,1,-1.0
1,16:09:54.819477,16:10:19.826357,1,-1.0
1,16:09:54.819477,16:10:20.020753,-1,-1.0
1,16:09:54.819477,16:10:20.247793,1,-1.0
1,16:09:54.819477,16:10:20.441963,1,-1.0
1,16:09:54.819477,16:10:20.658147,1,-1.0
1,16:09:54.819477,16:10:20.904225,1,-1.0
1,16:09:54.819477,16:10:21.111112,-1,-1.0
1,16:09:54.819477,16:10:21.329005,-1,-1.0
1,16:09:54.819477,16:10:21.548437,-1,-1.0
1,16:09:54.819477,16:10:21.751467,-1,-1.0
1,16:09:54.819477,16:10:21.955571,1,-1.0
1,16:09:54.819477,16:10:22.171362,1,-1.0
1,16:09:54.819477,16:10:22.411102,1,-1.0
1,16:09:54.819477,16:10:22.627723,-1,-1.0
1,16:09:54.819477,16:10:22.854138,-1,-1.0
1,16:09:54.819477,16:10:23.270533,-1,-1.0
1,16:09:54.819477,16:10:23.464155,1,-1.0
1,16:09:54.819477,16:10:23.661760,1,-1.0
1,16:09:54.819477,16:10:23.897019,1,-1.0
1,16:09:54.819477,16:10:24.124127,-1,-1.0
1,16:09:54.819477,16:10:26.537007,1,-1.0
1,16:09:54.819477,16:10:26.709451,1,-1.0
1,16:09:54.819477,16:10:26.913232,1,-1.0
1,16:09:54.819477,16:10:27.109757,1,-1.0
1,16:09:54.819477,16:10:27.325088,1,-1.0
1,16:09:54.819477,16:10:27.539749,1,-1.0
1,16:09:54.819477,16:10:27.960864,-1,-1.0
1,16:09:54.819477,16:10:28.194318,-1,-1.0
1,16:09:54.819477,16:10:28.398023,1,-1.0
1,16:09:54.819477,16:10:28.581597,-1,-1.0
1,16:09:54.819477,16:10:28.786615,1,-1.0
1,16:09:54.819477,16:10:28.979800,-1,-1.0
1,16:09:54.819477,16:10:29.164159,-1,-1.0
1,16:09:54.819477,16:10:29.407995,1,-1.0
1,16:09:54.819477,16:10:29.571558,1,-1.0
1,16:09:54.819477,16:10:29.778749,1,-1.0
1,16:09:54.819477,16:10:29.993090,1,-1.0
1,16:09:54.819477,16:10:30.190065,1,-1.0
1,16:09:54.819477,16:10:30.404141,1,-1.0
1,16:09:54.819477,16:10:30.767584,-1,-1.0
1,16:09:54.819477,16:10:30.910727,-1,-1.0
1,16:09:54.819477,16:10:31.082932,-1,-1.0
1,16:09:54.819477,16:10:31.654144,-1,-1.0
1,16:09:54.819477,16:10:31.859764,-1,-1.0
1,16:09:54.819477,16:10:32.359943,-1,-1.0
1,16:09:54.819477,16:10:32.552920,-1,-1.0
1,16:09:54.819477,16:10:32.757136,-1,-1.0
1,16:09:54.819477,16:10:33.043332,1,-1.0
1,16:09:54.819477,16:10:33.238877,1,-1.0
1,16:09:54.819477,16:10:33.487578,1,-1.0
1,16:09:54.819477,16:10:33.672849,1,-1.0
1,16:09:54.819477,16:10:33.889071,1,-1.0
1,16:09:54.819477,16:10:34.657760,-1,-1.0
1,16:09:54.819477,16:10:34.849181,-1,-1.0
1,16:09:54.819477,16:10:35.047647,-1,-1.0
1,16:09:54.819477,16:10:35.250839,1,-1.0
1,16:09:54.819477,16:10:35.454145,1,-1.0
1,16:09:54.819477,16:10:35.637441,1,-1.0
1,16:09:54.819477,16:10:35.839993,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:10:41.388166,16:10:43.468575,-1,-1.0
2,16:10:41.388166,16:10:44.101910,1,-1.0
2,16:10:41.388166,16:10:44.305541,1,-1.0
2,16:10:41.388166,16:10:44.478557,1,-1.0
2,16:10:41.388166,16:10:44.686521,1,-1.0
2,16:10:41.388166,16:10:44.871009,-1,-1.0
2,16:10:41.388166,16:10:45.380904,1,-1.0
2,16:10:41.388166,16:10:45.567697,1,-1.0
2,16:10:41.388166,16:10:45.760919,-1,-1.0
2,16:10:41.388166,16:10:45.967455,-1,-1.0
2,16:10:41.388166,16:10:46.171418,-1,-1.0
2,16:10:41.388166,16:10:46.429526,1,-1.0
2,16:10:41.388166,16:10:46.626450,1,-1.0
2,16:10:41.388166,16:10:46.852944,1,-1.0
2,16:10:41.388166,16:10:47.045693,-1,-1.0
2,16:10:41.388166,16:10:47.231603,-1,-1.0
2,16:10:41.388166,16:10:47.520255,1,-1.0
2,16:10:41.388166,16:10:47.714765,1,-1.0
2,16:10:41.388166,16:10:47.919767,1,-1.0
2,16:10:41.388166,16:10:48.122859,-1,-1.0
2,16:10:41.388166,16:10:48.327504,1,-1.0
2,16:10:41.388166,16:10:48.693050,-1,-1.0
2,16:10:41.388166,16:10:48.874417,1,-1.0
2,16:10:41.388166,16:10:49.070386,1,-1.0
2,16:10:41.388166,16:10:49.265921,1,-1.0
2,16:10:41.388166,16:10:49.458814,-1,-1.0
2,16:10:41.388166,16:10:49.776213,1,-1.0
2,16:10:41.388166,16:10:49.977149,1,-1.0
2,16:10:41.388166,16:10:50.181651,1,-1.0
2,16:10:41.388166,16:10:50.406977,1,-1.0
2,16:10:41.388166,16:10:50.631395,1,-1.0
2,16:10:41.388166,16:10:50.836199,1,-1.0
2,16:10:41.388166,16:10:51.344560,1,-1.0
2,16:10:41.388166,16:10:51.551676,1,-1.0
2,16:10:41.388166,16:10:51.753590,1,-1.0
2,16:10:41.388166,16:10:51.959475,1,-1.0
2,16:10:41.388166,16:10:52.142015,-1,-1.0
2,16:10:41.388166,16:10:52.588349,1,-1.0
2,16:10:41.388166,16:10:52.774203,1,-1.0
2,16:10:41.388166,16:10:52.940754,1,-1.0
2,16:10:41.388166,16:10:53.376876,1,-1.0
2,16:10:41.388166,16:10:53.581201,-1,-1.0
2,16:10:41.388166,16:10:53.974303,1,-1.0
2,16:10:41.388166,16:10:54.148122,1,-1.0
2,16:10:41.388166,16:10:54.341651,1,-1.0
2,16:10:41.388166,16:10:54.568069,1,-1.0
2,16:10:41.388166,16:10:54.751334,-1,-1.0
2,16:10:41.388166,16:10:55.408542,1,-1.0
2,16:10:41.388166,16:10:55.606910,1,-1.0
2,16:10:41.388166,16:10:55.769910,1,-1.0
2,16:10:41.388166,16:10:55.978112,1,-1.0
2,16:10:41.388166,16:10:56.181383,-1,-1.0
2,16:10:41.388166,16:10:57.384370,1,-1.0
2,16:10:41.388166,16:10:57.589739,1,-1.0
2,16:10:41.388166,16:10:57.771839,1,-1.0
2,16:10:41.388166,16:10:57.974806,-1,-1.0
2,16:10:41.388166,16:10:58.160415,-1,-1.0
2,16:10:41.388166,16:10:58.590353,1,-1.0
2,16:10:41.388166,16:10:58.784269,1,-1.0
2,16:10:41.388166,16:10:58.990406,1,-1.0
2,16:10:41.388166,16:10:59.213011,1,-1.0
2,16:10:41.388166,16:10:59.416047,1,-1.0
2,16:10:41.388166,16:11:02.227761,1,-1.0
2,16:10:41.388166,16:11:02.381403,1,-1.0
2,16:10:41.388166,16:11:02.562968,1,-1.0
2,16:10:41.388166,16:11:02.736421,1,-1.0
2,16:10:41.388166,16:11:02.919803,1,-1.0
2,16:10:41.388166,16:11:04.439830,1,-1.0
2,16:10:41.388166,16:11:04.591260,1,-1.0
2,16:10:41.388166,16:11:04.764429,1,-1.0
2,16:10:41.388166,16:11:04.928196,1,-1.0
2,16:10:41.388166,16:11:05.093189,1,-1.0
2,16:10:41.388166,16:11:05.297266,-1,-1.0
2,16:10:41.388166,16:11:05.472071,1,-1.0
2,16:10:41.388166,16:11:06.804145,-1,-1.0
2,16:10:41.388166,16:11:06.955843,-1,-1.0
2,16:10:41.388166,16:11:07.152767,-1,-1.0
2,16:10:41.388166,16:11:07.325921,-1,-1.0
2,16:10:41.388166,16:11:07.529633,-1,-1.0
2,16:10:41.388166,16:11:07.775510,1,-1.0
2,16:10:41.388166,16:11:07.969306,1,-1.0
2,16:10:41.388166,16:11:08.182976,1,-1.0
2,16:10:41.388166,16:11:08.405571,1,-1.0
2,16:10:41.388166,16:11:08.631405,1,-1.0
2,16:10:41.388166,16:11:08.845503,1,-1.0
2,16:10:41.388166,16:11:09.081119,-1,-1.0
2,16:10:41.388166,16:11:09.317289,-1,-1.0
2,16:10:41.388166,16:11:09.543038,1,-1.0
2,16:10:41.388166,16:11:09.754772,1,-1.0
2,16:10:41.388166,16:11:10.011130,1,-1.0
2,16:10:41.388166,16:11:10.552801,-1,-1.0
2,16:10:41.388166,16:11:10.760154,-1,-1.0
2,16:10:41.388166,16:11:10.952779,-1,-1.0
2,16:10:41.388166,16:11:11.144179,-1,-1.0
2,16:10:41.388166,16:11:11.351453,1,-1.0
2,16:10:41.388166,16:11:11.576846,-1,-1.0
2,16:10:41.388166,16:11:11.801174,-1,-1.0
2,16:10:41.388166,16:11:12.131865,-1,-1.0
2,16:10:41.388166,16:11:12.937570,-1,-1.0
2,16:10:41.388166,16:11:13.131397,-1,-1.0
2,16:10:41.388166,16:11:13.312699,-1,-1.0
2,16:10:41.388166,16:11:13.516157,-1,-1.0
2,16:10:41.388166,16:11:13.721273,-1,-1.0
2,16:10:41.388166,16:11:13.936763,-1,-1.0
2,16:10:41.388166,16:11:14.694369,1,-1.0
2,16:10:41.388166,16:11:14.867999,1,-1.0
2,16:10:41.388166,16:11:15.061524,1,-1.0
2,16:10:41.388166,16:11:15.287187,1,-1.0
2,16:10:41.388166,16:11:15.513047,-1,-1.0
2,16:10:41.388166,16:11:19.279906,-1,-1.0
2,16:10:41.388166,16:11:19.466651,-1,-1.0
2,16:10:41.388166,16:11:19.657528,-1,-1.0
2,16:10:41.388166,16:11:19.882145,-1,-1.0
2,16:10:41.388166,16:11:20.088399,1,-1.0
2,16:10:41.388166,16:11:20.291815,1,-1.0
2,16:10:41.388166,16:11:20.498426,1,-1.0
2,16:10:41.388166,16:11:20.721447,1,-1.0
2,16:10:41.388166,16:11:20.938172,1,-1.0
2,16:10:41.388166,16:11:21.155076,1,-1.0
2,16:10:41.388166,16:11:21.377698,1,-1.0
2,16:10:41.388166,16:11:21.624058,1,-1.0
2,16:10:41.388166,16:11:21.869146,1,-1.0
2,16:10:41.388166,16:11:22.391527,-1,-1.0
2,16:10:41.388166,16:11:22.574200,-1,-1.0
2,16:10:41.388166,16:11:22.778435,-1,-1.0
2,16:10:41.388166,16:11:23.003225,-1,0.0
