Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:09:03.511193,12:09:06.767941,1,-1.0
1,12:09:03.511193,12:09:07.042621,1,-1.0
1,12:09:03.511193,12:09:07.321148,1,-1.0
1,12:09:03.511193,12:09:07.560136,1,-1.0
1,12:09:03.511193,12:09:07.829644,1,-1.0
1,12:09:03.511193,12:09:09.968590,1,-1.0
1,12:09:03.511193,12:09:10.197737,1,-1.0
1,12:09:03.511193,12:09:10.491091,1,-1.0
1,12:09:03.511193,12:09:10.764657,1,-1.0
1,12:09:03.511193,12:09:11.829971,1,-1.0
1,12:09:03.511193,12:09:12.097169,1,-1.0
1,12:09:03.511193,12:09:12.323194,1,-1.0
1,12:09:03.511193,12:09:12.570578,1,-1.0
1,12:09:03.511193,12:09:12.810236,1,-1.0
1,12:09:03.511193,12:09:13.049034,1,-1.0
1,12:09:03.511193,12:09:14.050989,1,-1.0
1,12:09:03.511193,12:09:14.278581,1,-1.0
1,12:09:03.511193,12:09:14.529597,1,-1.0
1,12:09:03.511193,12:09:14.738722,1,-1.0
1,12:09:03.511193,12:09:14.928341,1,-1.0
1,12:09:03.511193,12:09:15.944390,1,-1.0
1,12:09:03.511193,12:09:16.140503,1,-1.0
1,12:09:03.511193,12:09:16.326954,1,-1.0
1,12:09:03.511193,12:09:16.513748,1,-1.0
1,12:09:03.511193,12:09:16.691130,1,-1.0
1,12:09:03.511193,12:09:16.866410,1,-1.0
1,12:09:03.511193,12:09:17.033584,1,-1.0
1,12:09:03.511193,12:09:17.188907,1,-1.0
1,12:09:03.511193,12:09:17.334886,1,-1.0
1,12:09:03.511193,12:09:17.491350,1,-1.0
1,12:09:03.511193,12:09:17.635218,1,-1.0
1,12:09:03.511193,12:09:17.788358,1,-1.0
1,12:09:03.511193,12:09:17.932348,1,-1.0
1,12:09:03.511193,12:09:17.979697,1,-1.0
1,12:09:03.511193,12:09:18.136321,1,-1.0
1,12:09:03.511193,12:09:18.272293,1,-1.0
1,12:09:03.511193,12:09:18.372700,1,-1.0
1,12:09:03.511193,12:09:18.772680,-1,-1.0
1,12:09:03.511193,12:09:18.923094,-1,-1.0
1,12:09:03.511193,12:09:19.077585,-1,-1.0
1,12:09:03.511193,12:09:19.213486,-1,-1.0
1,12:09:03.511193,12:09:19.368500,-1,-1.0
1,12:09:03.511193,12:09:19.522626,-1,-1.0
1,12:09:03.511193,12:09:19.653963,-1,-1.0
1,12:09:03.511193,12:09:19.807682,-1,-1.0
1,12:09:03.511193,12:09:19.952486,-1,-1.0
1,12:09:03.511193,12:09:20.103530,-1,-1.0
1,12:09:03.511193,12:09:20.248400,-1,-1.0
1,12:09:03.511193,12:09:20.383317,-1,-1.0
1,12:09:03.511193,12:09:20.527478,-1,-1.0
1,12:09:03.511193,12:09:20.672507,-1,-1.0
1,12:09:03.511193,12:09:20.827258,1,-1.0
1,12:09:03.511193,12:09:20.975830,1,-1.0
1,12:09:03.511193,12:09:21.132574,1,-1.0
1,12:09:03.511193,12:09:21.287736,1,-1.0
1,12:09:03.511193,12:09:21.451498,1,-1.0
1,12:09:03.511193,12:09:22.768458,-1,-1.0
1,12:09:03.511193,12:09:22.943895,-1,-1.0
1,12:09:03.511193,12:09:23.090793,-1,-1.0
1,12:09:03.511193,12:09:23.247986,-1,-1.0
1,12:09:03.511193,12:09:23.411251,-1,-1.0
1,12:09:03.511193,12:09:23.581284,1,-1.0
1,12:09:03.511193,12:09:23.903707,1,-1.0
1,12:09:03.511193,12:09:24.072029,1,-1.0
1,12:09:03.511193,12:09:24.224715,1,-1.0
1,12:09:03.511193,12:09:24.381531,1,-1.0
1,12:09:03.511193,12:09:24.543652,1,-1.0
1,12:09:03.511193,12:09:24.794179,1,-1.0
1,12:09:03.511193,12:09:24.937278,1,-1.0
1,12:09:03.511193,12:09:25.113604,1,-1.0
1,12:09:03.511193,12:09:25.297592,1,-1.0
1,12:09:03.511193,12:09:25.452536,1,-1.0
1,12:09:03.511193,12:09:25.825736,1,-1.0
1,12:09:03.511193,12:09:26.005977,1,-1.0
1,12:09:03.511193,12:09:26.172704,1,-1.0
1,12:09:03.511193,12:09:26.328154,1,-1.0
1,12:09:03.511193,12:09:26.501295,1,-1.0
1,12:09:03.511193,12:09:26.686924,1,-1.0
1,12:09:03.511193,12:09:27.051315,1,-1.0
1,12:09:03.511193,12:09:27.217814,1,-1.0
1,12:09:03.511193,12:09:27.374283,1,-1.0
1,12:09:03.511193,12:09:27.553620,1,-1.0
1,12:09:03.511193,12:09:27.729673,1,-1.0
1,12:09:03.511193,12:09:27.909432,1,-1.0
1,12:09:03.511193,12:09:28.066791,1,-1.0
1,12:09:03.511193,12:09:28.243770,1,-1.0
