Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:56:26.784554,15:56:28.178041,1,-1.0
1,15:56:26.784554,15:56:28.372848,1,-1.0
1,15:56:26.784554,15:56:28.576889,1,-1.0
1,15:56:26.784554,15:56:28.792732,1,-1.0
1,15:56:26.784554,15:56:28.977402,1,-1.0
1,15:56:26.784554,15:56:29.182071,1,-1.0
1,15:56:26.784554,15:56:29.388553,1,-1.0
1,15:56:26.784554,15:56:33.741968,1,-1.0
1,15:56:26.784554,15:56:33.935423,1,-1.0
1,15:56:26.784554,15:56:34.120200,1,-1.0
1,15:56:26.784554,15:56:34.303441,1,-1.0
1,15:56:26.784554,15:56:34.678811,-1,-1.0
1,15:56:26.784554,15:56:34.810576,-1,-1.0
1,15:56:26.784554,15:56:34.996170,-1,-1.0
1,15:56:26.784554,15:56:35.282461,-1,-1.0
1,15:56:26.784554,15:56:35.499808,-1,-1.0
1,15:56:26.784554,15:56:35.759067,1,-1.0
1,15:56:26.784554,15:56:35.932204,1,-1.0
1,15:56:26.784554,15:56:36.124280,1,-1.0
1,15:56:26.784554,15:56:36.326631,1,-1.0
1,15:56:26.784554,15:56:36.530102,1,-1.0
1,15:56:26.784554,15:56:37.441828,-1,-1.0
1,15:56:26.784554,15:56:37.605031,-1,-1.0
1,15:56:26.784554,15:56:37.770565,-1,-1.0
1,15:56:26.784554,15:56:37.915461,-1,-1.0
1,15:56:26.784554,15:56:38.035257,-1,-1.0
1,15:56:26.784554,15:56:38.695751,-1,-1.0
1,15:56:26.784554,15:56:38.909273,-1,-1.0
1,15:56:26.784554,15:56:39.073568,1,-1.0
1,15:56:26.784554,15:56:39.321959,1,-1.0
1,15:56:26.784554,15:56:39.748018,-1,-1.0
1,15:56:26.784554,15:56:39.899619,-1,-1.0
1,15:56:26.784554,15:56:40.243034,-1,-1.0
1,15:56:26.784554,15:56:40.396569,-1,-1.0
1,15:56:26.784554,15:56:40.498393,-1,-1.0
1,15:56:26.784554,15:56:40.599314,-1,-1.0
1,15:56:26.784554,15:56:40.770020,1,-1.0
1,15:56:26.784554,15:56:40.953865,-1,-1.0
1,15:56:26.784554,15:56:41.150281,-1,-1.0
1,15:56:26.784554,15:56:41.345832,1,-1.0
1,15:56:26.784554,15:56:41.550240,1,-1.0
1,15:56:26.784554,15:56:41.756394,1,-1.0
1,15:56:26.784554,15:56:41.951967,1,-1.0
1,15:56:26.784554,15:56:42.212633,-1,-1.0
1,15:56:26.784554,15:56:42.376291,-1,-1.0
1,15:56:26.784554,15:56:42.539787,1,-1.0
1,15:56:26.784554,15:56:42.701494,1,-1.0
1,15:56:26.784554,15:56:42.853572,1,-1.0
1,15:56:26.784554,15:56:42.999798,-1,-1.0
1,15:56:26.784554,15:56:43.173890,-1,-1.0
1,15:56:26.784554,15:56:43.432486,-1,-1.0
1,15:56:26.784554,15:56:43.627419,1,-1.0
1,15:56:26.784554,15:56:43.801972,1,-1.0
1,15:56:26.784554,15:56:43.985018,-1,-1.0
1,15:56:26.784554,15:56:44.190196,-1,-1.0
1,15:56:26.784554,15:56:44.385248,-1,-1.0
1,15:56:26.784554,15:56:44.580058,-1,-1.0
1,15:56:26.784554,15:56:44.762905,1,-1.0
1,15:56:26.784554,15:56:44.896304,-1,-1.0
1,15:56:26.784554,15:56:45.089179,-1,-1.0
1,15:56:26.784554,15:56:45.252619,-1,-1.0
1,15:56:26.784554,15:56:46.070213,1,-1.0
1,15:56:26.784554,15:56:46.264122,1,-1.0
1,15:56:26.784554,15:56:46.459950,1,-1.0
1,15:56:26.784554,15:56:46.675234,1,-1.0
1,15:56:26.784554,15:56:47.162462,1,-1.0
1,15:56:26.784554,15:56:47.368118,1,-1.0
1,15:56:26.784554,15:56:47.586315,1,-1.0
1,15:56:26.784554,15:56:47.852810,-1,-1.0
1,15:56:26.784554,15:56:48.004237,-1,-1.0
1,15:56:26.784554,15:56:48.093540,-1,-1.0
1,15:56:26.784554,15:56:48.218407,-1,-1.0
1,15:56:26.784554,15:56:48.353736,-1,-1.0
1,15:56:26.784554,15:56:48.526378,-1,-1.0
1,15:56:26.784554,15:56:48.659035,-1,-1.0
1,15:56:26.784554,15:56:48.789213,1,-1.0
1,15:56:26.784554,15:56:48.902574,1,-1.0
1,15:56:26.784554,15:56:49.147832,-1,-1.0
1,15:56:26.784554,15:56:49.330925,-1,-1.0
1,15:56:26.784554,15:56:49.525308,1,-1.0
1,15:56:26.784554,15:56:49.745946,1,-1.0
1,15:56:26.784554,15:56:49.981035,1,-1.0
1,15:56:26.784554,15:56:50.205423,1,-1.0
1,15:56:26.784554,15:56:50.439313,1,-1.0
1,15:56:26.784554,15:56:50.683311,1,-1.0
1,15:56:26.784554,15:56:50.963364,1,-1.0
1,15:56:26.784554,15:56:52.073448,-1,-1.0
1,15:56:26.784554,15:56:52.205524,-1,-1.0
1,15:56:26.784554,15:56:52.350466,-1,-1.0
1,15:56:26.784554,15:56:52.503252,-1,-1.0
1,15:56:26.784554,15:56:52.677286,-1,-1.0
1,15:56:26.784554,15:56:52.828671,-1,-1.0
1,15:56:26.784554,15:56:53.023528,-1,-1.0
1,15:56:26.784554,15:56:53.136942,-1,-1.0
1,15:56:26.784554,15:56:53.369768,-1,-1.0
1,15:56:26.784554,15:56:53.616852,1,-1.0
1,15:56:26.784554,15:56:53.823325,1,-1.0
1,15:56:26.784554,15:56:54.099361,1,-1.0
1,15:56:26.784554,15:56:54.420379,1,-1.0
1,15:56:26.784554,15:56:55.179397,1,-1.0
1,15:56:26.784554,15:56:55.311521,1,-1.0
1,15:56:26.784554,15:56:55.505093,1,-1.0
1,15:56:26.784554,15:56:55.676509,1,-1.0
1,15:56:26.784554,15:56:55.828995,1,-1.0
1,15:56:26.784554,15:56:56.105331,-1,-1.0
1,15:56:26.784554,15:56:56.300238,-1,-1.0
1,15:56:26.784554,15:56:56.485214,-1,-1.0
1,15:56:26.784554,15:56:56.649269,-1,-1.0
1,15:56:26.784554,15:56:56.845113,-1,-1.0
1,15:56:26.784554,15:56:57.025202,-1,-1.0
1,15:56:26.784554,15:56:57.270205,-1,-1.0
1,15:56:26.784554,15:56:57.476293,-1,-1.0
1,15:56:26.784554,15:56:58.207263,-1,-1.0
1,15:56:26.784554,15:56:58.382549,-1,-1.0
1,15:56:26.784554,15:56:58.745785,-1,-1.0
1,15:56:26.784554,15:56:58.909875,1,-1.0
1,15:56:26.784554,15:56:59.092221,1,-1.0
1,15:56:26.784554,15:56:59.342214,-1,-1.0
1,15:56:26.784554,15:56:59.505117,-1,-1.0
1,15:56:26.784554,15:56:59.980290,-1,-1.0
1,15:56:26.784554,15:57:00.187548,-1,-1.0
1,15:56:26.784554,15:57:00.401225,-1,-1.0
1,15:56:26.784554,15:57:00.608791,-1,-1.0
1,15:56:26.784554,15:57:00.749867,1,-1.0
1,15:56:26.784554,15:57:00.893878,1,-1.0
1,15:56:26.784554,15:57:01.068360,1,-1.0
1,15:56:26.784554,15:57:01.222494,1,-1.0
1,15:56:26.784554,15:57:01.384249,1,-1.0
1,15:56:26.784554,15:57:01.537184,1,-1.0
1,15:56:26.784554,15:57:01.649389,1,-1.0
1,15:56:26.784554,15:57:01.873862,1,-1.0
1,15:56:26.784554,15:57:01.995103,1,-1.0
1,15:56:26.784554,15:57:02.240879,1,-1.0
1,15:56:26.784554,15:57:02.413820,1,-1.0
1,15:56:26.784554,15:57:02.712891,-1,-1.0
1,15:56:26.784554,15:57:02.906445,-1,-1.0
1,15:56:26.784554,15:57:03.110660,-1,-1.0
1,15:56:26.784554,15:57:03.295049,-1,-1.0
1,15:56:26.784554,15:57:03.519473,-1,-1.0
1,15:56:26.784554,15:57:03.743522,-1,-1.0
1,15:56:26.784554,15:57:03.948993,-1,-1.0
