Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:01:21.604208,00:01:26.447807,1,-1.0
1,00:01:21.604208,00:01:28.185692,1,-1.0
1,00:01:21.604208,00:01:30.549510,-1,-1.0
1,00:01:21.604208,00:01:32.267603,-1,-1.0
1,00:01:21.604208,00:01:33.758800,-1,-1.0
1,00:01:21.604208,00:01:36.771641,1,-1.0
1,00:01:21.604208,00:01:37.243867,1,-1.0
1,00:01:21.604208,00:01:37.782502,1,-1.0
1,00:01:21.604208,00:01:44.044132,1,-1.0
1,00:01:21.604208,00:01:44.279771,1,-1.0
1,00:01:21.604208,00:01:44.500123,1,-1.0
1,00:01:21.604208,00:01:44.908536,1,-1.0
1,00:01:21.604208,00:01:46.466252,-1,-1.0
1,00:01:21.604208,00:01:46.715717,-1,-1.0
1,00:01:21.604208,00:01:46.965384,-1,-1.0
1,00:01:21.604208,00:01:47.396753,-1,-1.0
1,00:01:21.604208,00:01:47.792255,-1,-1.0
1,00:01:21.604208,00:01:48.193283,-1,-1.0
1,00:01:21.604208,00:01:48.412058,1,-1.0
1,00:01:21.604208,00:01:48.627000,1,-1.0
1,00:01:21.604208,00:01:48.896417,1,-1.0
1,00:01:21.604208,00:01:49.841697,-1,-1.0
1,00:01:21.604208,00:01:50.049633,-1,-1.0
1,00:01:21.604208,00:01:50.238800,-1,-1.0
1,00:01:21.604208,00:01:50.486227,-1,-1.0
1,00:01:21.604208,00:01:50.743753,-1,-1.0
1,00:01:21.604208,00:01:51.005840,-1,-1.0
1,00:01:21.604208,00:01:51.181588,1,-1.0
1,00:01:21.604208,00:01:51.453892,1,-1.0
1,00:01:21.604208,00:01:51.652755,1,-1.0
1,00:01:21.604208,00:01:52.363474,-1,-1.0
1,00:01:21.604208,00:01:52.561349,-1,-1.0
1,00:01:21.604208,00:01:52.783191,-1,-1.0
1,00:01:21.604208,00:01:52.991766,-1,-1.0
1,00:01:21.604208,00:01:53.196831,-1,-1.0
1,00:01:21.604208,00:01:53.418528,1,-1.0
1,00:01:21.604208,00:01:53.647008,-1,-1.0
1,00:01:21.604208,00:01:53.836807,1,-1.0
1,00:01:21.604208,00:01:54.058749,1,-1.0
1,00:01:21.604208,00:01:54.252484,1,-1.0
1,00:01:21.604208,00:01:54.690481,-1,-1.0
1,00:01:21.604208,00:01:54.900399,-1,-1.0
1,00:01:21.604208,00:01:55.100349,-1,-1.0
1,00:01:21.604208,00:01:55.315645,-1,-1.0
1,00:01:21.604208,00:01:55.503576,1,-1.0
1,00:01:21.604208,00:01:55.718995,1,-1.0
1,00:01:21.604208,00:01:55.906203,-1,-1.0
1,00:01:21.604208,00:01:56.134186,-1,-1.0
1,00:01:21.604208,00:01:56.353590,1,-1.0
1,00:01:21.604208,00:01:56.579351,1,-1.0
1,00:01:21.604208,00:01:56.795805,1,-1.0
1,00:01:21.604208,00:01:57.163135,-1,-1.0
1,00:01:21.604208,00:01:57.361314,1,-1.0
1,00:01:21.604208,00:01:57.574667,1,-1.0
1,00:01:21.604208,00:01:57.782651,1,-1.0
1,00:01:21.604208,00:01:58.003512,1,-1.0
1,00:01:21.604208,00:01:58.282506,-1,-1.0
1,00:01:21.604208,00:01:58.481076,1,-1.0
1,00:01:21.604208,00:01:58.700130,1,-1.0
1,00:01:21.604208,00:01:58.918364,1,-1.0
1,00:01:21.604208,00:01:59.168805,1,-1.0
1,00:01:21.604208,00:01:59.845349,-1,-1.0
1,00:01:21.604208,00:02:00.062257,-1,-1.0
1,00:01:21.604208,00:02:00.297651,1,-1.0
1,00:01:21.604208,00:02:00.515319,1,-1.0
1,00:01:21.604208,00:02:00.723074,1,-1.0
1,00:01:21.604208,00:02:01.046306,-1,-1.0
1,00:01:21.604208,00:02:01.231085,1,-1.0
1,00:01:21.604208,00:02:01.502435,1,-1.0
1,00:01:21.604208,00:02:01.720571,-1,-1.0
1,00:01:21.604208,00:02:02.234578,-1,-1.0
1,00:01:21.604208,00:02:02.456484,1,-1.0
1,00:01:21.604208,00:02:02.692057,1,-1.0
1,00:01:21.604208,00:02:02.952283,1,-1.0
1,00:01:21.604208,00:02:03.213885,1,-1.0
1,00:01:21.604208,00:02:04.299187,1,-1.0
1,00:01:21.604208,00:02:04.518189,1,-1.0
1,00:01:21.604208,00:02:04.738020,1,-1.0
1,00:01:21.604208,00:02:06.418985,1,-1.0
1,00:01:21.604208,00:02:06.637106,1,-1.0
1,00:01:21.604208,00:02:06.833606,1,-1.0
1,00:01:21.604208,00:02:07.049451,-1,-1.0
1,00:01:21.604208,00:02:07.266751,-1,-1.0
1,00:01:21.604208,00:02:07.519255,1,-1.0
1,00:01:21.604208,00:02:07.736690,1,-1.0
1,00:01:21.604208,00:02:07.973624,1,-1.0
1,00:01:21.604208,00:02:08.173844,1,-1.0
1,00:01:21.604208,00:02:08.403918,1,-1.0
1,00:01:21.604208,00:02:08.591413,1,-1.0
1,00:01:21.604208,00:02:08.821667,-1,-1.0
1,00:01:21.604208,00:02:09.016176,-1,-1.0
1,00:01:21.604208,00:02:09.203694,-1,-1.0
1,00:01:21.604208,00:02:09.443183,-1,-1.0
1,00:01:21.604208,00:02:09.661529,-1,-1.0
1,00:01:21.604208,00:02:09.882972,1,-1.0
1,00:01:21.604208,00:02:10.108269,-1,-1.0
1,00:01:21.604208,00:02:13.934514,-1,-1.0
1,00:01:21.604208,00:02:14.118635,-1,-1.0
1,00:01:21.604208,00:02:14.301197,1,-1.0
1,00:01:21.604208,00:02:14.486414,1,-1.0
1,00:01:21.604208,00:02:14.727815,-1,-1.0
1,00:01:21.604208,00:02:14.933001,1,-1.0
1,00:01:21.604208,00:02:15.161904,1,-1.0
1,00:01:21.604208,00:02:15.421923,1,-1.0
1,00:01:21.604208,00:02:15.663411,1,-1.0
1,00:01:21.604208,00:02:16.477739,-1,-1.0
