Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:03:14.756839,12:03:16.896169,-1,-1.0
1,12:03:14.756839,12:03:17.271579,-1,-1.0
1,12:03:14.756839,12:03:18.234400,-1,-1.0
1,12:03:14.756839,12:03:18.517169,-1,-1.0
1,12:03:14.756839,12:03:18.848292,-1,-1.0
1,12:03:14.756839,12:03:20.382285,-1,-1.0
1,12:03:14.756839,12:03:20.548179,1,-1.0
1,12:03:14.756839,12:03:20.722373,1,-1.0
1,12:03:14.756839,12:03:22.241911,-1,-1.0
1,12:03:14.756839,12:03:22.414042,-1,-1.0
1,12:03:14.756839,12:03:22.587959,-1,-1.0
1,12:03:14.756839,12:03:22.788163,-1,-1.0
1,12:03:14.756839,12:03:23.812698,1,-1.0
1,12:03:14.756839,12:03:24.000487,1,-1.0
1,12:03:14.756839,12:03:24.162259,1,-1.0
1,12:03:14.756839,12:03:24.345441,1,-1.0
1,12:03:14.756839,12:03:25.852130,-1,-1.0
1,12:03:14.756839,12:03:26.017395,-1,-1.0
1,12:03:14.756839,12:03:26.181456,-1,-1.0
1,12:03:14.756839,12:03:26.333038,-1,-1.0
1,12:03:14.756839,12:03:27.770553,1,-1.0
1,12:03:14.756839,12:03:27.941181,1,-1.0
1,12:03:14.756839,12:03:28.118405,1,-1.0
1,12:03:14.756839,12:03:28.288366,1,-1.0
1,12:03:14.756839,12:03:28.559866,1,-1.0
1,12:03:14.756839,12:03:29.428294,-1,-1.0
1,12:03:14.756839,12:03:29.581734,-1,-1.0
1,12:03:14.756839,12:03:29.758887,-1,-1.0
1,12:03:14.756839,12:03:29.924945,-1,-1.0
1,12:03:14.756839,12:03:31.080865,1,-1.0
1,12:03:14.756839,12:03:31.245727,1,-1.0
1,12:03:14.756839,12:03:31.401022,1,-1.0
1,12:03:14.756839,12:03:31.565387,1,-1.0
1,12:03:14.756839,12:03:31.742263,1,-1.0
1,12:03:14.756839,12:03:32.665506,-1,-1.0
1,12:03:14.756839,12:03:32.821734,-1,-1.0
1,12:03:14.756839,12:03:32.996714,-1,-1.0
1,12:03:14.756839,12:03:33.154023,-1,-1.0
1,12:03:14.756839,12:03:34.662695,1,-1.0
1,12:03:14.756839,12:03:34.805452,1,-1.0
1,12:03:14.756839,12:03:34.961306,1,-1.0
1,12:03:14.756839,12:03:35.125236,1,-1.0
1,12:03:14.756839,12:03:35.269810,1,-1.0
1,12:03:14.756839,12:03:35.498225,1,-1.0
1,12:03:14.756839,12:03:35.890417,-1,-1.0
1,12:03:14.756839,12:03:36.056116,-1,-1.0
1,12:03:14.756839,12:03:36.243425,-1,-1.0
1,12:03:14.756839,12:03:36.407050,-1,-1.0
1,12:03:14.756839,12:03:36.573295,-1,-1.0
1,12:03:14.756839,12:03:36.758588,-1,-1.0
1,12:03:14.756839,12:03:37.113911,1,-1.0
1,12:03:14.756839,12:03:37.295713,1,-1.0
1,12:03:14.756839,12:03:37.449676,1,-1.0
1,12:03:14.756839,12:03:37.585937,1,-1.0
1,12:03:14.756839,12:03:37.752647,1,-1.0
1,12:03:14.756839,12:03:38.221890,-1,-1.0
1,12:03:14.756839,12:03:38.395998,-1,-1.0
1,12:03:14.756839,12:03:38.565007,-1,-1.0
1,12:03:14.756839,12:03:38.718202,-1,-1.0
1,12:03:14.756839,12:03:38.852136,1,-1.0
1,12:03:14.756839,12:03:39.039499,1,-1.0
1,12:03:14.756839,12:03:39.497018,1,-1.0
1,12:03:14.756839,12:03:39.674241,1,-1.0
1,12:03:14.756839,12:03:39.839113,1,-1.0
1,12:03:14.756839,12:03:40.005576,1,-1.0
1,12:03:14.756839,12:03:40.160678,1,-1.0
1,12:03:14.756839,12:03:40.664067,-1,-1.0
1,12:03:14.756839,12:03:40.842767,1,-1.0
1,12:03:14.756839,12:03:40.998433,1,-1.0
1,12:03:14.756839,12:03:41.152767,1,-1.0
1,12:03:14.756839,12:03:41.319281,1,-1.0
1,12:03:14.756839,12:03:41.693773,-1,-1.0
1,12:03:14.756839,12:03:41.868989,1,-1.0
1,12:03:14.756839,12:03:42.024442,1,-1.0
1,12:03:14.756839,12:03:42.188353,1,-1.0
1,12:03:14.756839,12:03:42.440233,-1,-1.0
1,12:03:14.756839,12:03:42.630271,-1,-1.0
1,12:03:14.756839,12:03:42.795656,1,-1.0
1,12:03:14.756839,12:03:42.950151,1,-1.0
1,12:03:14.756839,12:03:43.095255,1,-1.0
1,12:03:14.756839,12:03:43.278262,-1,-1.0
1,12:03:14.756839,12:03:43.453976,1,-1.0
1,12:03:14.756839,12:03:43.609154,1,-1.0
1,12:03:14.756839,12:03:43.806819,1,-1.0
1,12:03:14.756839,12:03:43.991115,-1,-1.0
1,12:03:14.756839,12:03:44.128212,-1,-1.0
1,12:03:14.756839,12:03:44.293265,1,-1.0
1,12:03:14.756839,12:03:44.438114,1,-1.0
1,12:03:14.756839,12:03:44.580970,1,-1.0
1,12:03:14.756839,12:03:44.725298,1,-1.0
1,12:03:14.756839,12:03:44.908192,-1,-1.0
1,12:03:14.756839,12:03:45.080676,1,-1.0
1,12:03:14.756839,12:03:45.246960,1,-1.0
1,12:03:14.756839,12:03:45.400388,1,-1.0
1,12:03:14.756839,12:03:45.638976,-1,-1.0
1,12:03:14.756839,12:03:45.762916,1,-1.0
1,12:03:14.756839,12:03:45.906965,1,-1.0
1,12:03:14.756839,12:03:46.042597,1,-1.0
1,12:03:14.756839,12:03:46.184330,1,-1.0
1,12:03:14.756839,12:03:46.359928,-1,-1.0
1,12:03:14.756839,12:03:46.534188,1,-1.0
1,12:03:14.756839,12:03:46.680983,1,-1.0
1,12:03:14.756839,12:03:46.886831,-1,-1.0
1,12:03:14.756839,12:03:47.039471,1,-1.0
1,12:03:14.756839,12:03:47.245718,1,-1.0
1,12:03:14.756839,12:03:47.402141,1,-1.0
