Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:07:08.254632,16:07:08.699197,-1,-1.0
1,16:07:08.254632,16:07:08.925621,-1,-1.0
1,16:07:08.254632,16:07:09.833151,1,-1.0
1,16:07:08.254632,16:07:10.016807,1,-1.0
1,16:07:08.254632,16:07:10.211035,1,-1.0
1,16:07:08.254632,16:07:10.987271,-1,-1.0
1,16:07:08.254632,16:07:11.171777,-1,-1.0
1,16:07:08.254632,16:07:11.366279,-1,-1.0
1,16:07:08.254632,16:07:11.571569,-1,-1.0
1,16:07:08.254632,16:07:12.389005,1,-1.0
1,16:07:08.254632,16:07:12.563750,1,-1.0
1,16:07:08.254632,16:07:12.780752,1,-1.0
1,16:07:08.254632,16:07:12.974745,1,-1.0
1,16:07:08.254632,16:07:13.498776,-1,-1.0
1,16:07:08.254632,16:07:13.712559,-1,-1.0
1,16:07:08.254632,16:07:13.907556,-1,-1.0
1,16:07:08.254632,16:07:14.095656,-1,-1.0
1,16:07:08.254632,16:07:14.290175,-1,-1.0
1,16:07:08.254632,16:07:14.495999,-1,-1.0
1,16:07:08.254632,16:07:15.233096,-1,-1.0
1,16:07:08.254632,16:07:15.409220,-1,-1.0
1,16:07:08.254632,16:07:15.615474,-1,-1.0
1,16:07:08.254632,16:07:15.829679,-1,-1.0
1,16:07:08.254632,16:07:16.260113,-1,-1.0
1,16:07:08.254632,16:07:17.337861,1,-1.0
1,16:07:08.254632,16:07:17.523281,1,-1.0
1,16:07:08.254632,16:07:17.699142,1,-1.0
1,16:07:08.254632,16:07:17.893802,1,-1.0
1,16:07:08.254632,16:07:18.087575,1,-1.0
1,16:07:08.254632,16:07:19.110268,-1,-1.0
1,16:07:08.254632,16:07:19.304547,-1,-1.0
1,16:07:08.254632,16:07:19.487717,-1,-1.0
1,16:07:08.254632,16:07:19.712249,-1,-1.0
