Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:00:37.123267,12:00:38.974459,-1,-1.0
1,12:00:37.123267,12:00:39.331612,-1,-1.0
1,12:00:37.123267,12:00:40.074920,-1,-1.0
1,12:00:37.123267,12:00:40.417273,-1,-1.0
1,12:00:37.123267,12:00:40.742236,-1,-1.0
1,12:00:37.123267,12:00:41.790584,-1,-1.0
1,12:00:37.123267,12:00:42.116430,-1,-1.0
1,12:00:37.123267,12:00:42.747400,-1,-1.0
1,12:00:37.123267,12:00:43.074966,1,-1.0
1,12:00:37.123267,12:00:43.566611,-1,-1.0
1,12:00:37.123267,12:00:43.837499,-1,-1.0
1,12:00:37.123267,12:00:44.142248,-1,-1.0
1,12:00:37.123267,12:00:44.484917,-1,-1.0
1,12:00:37.123267,12:00:44.851871,1,-1.0
1,12:00:37.123267,12:00:45.417389,-1,-1.0
1,12:00:37.123267,12:00:45.720073,-1,-1.0
1,12:00:37.123267,12:00:46.057224,-1,-1.0
1,12:00:37.123267,12:00:46.372242,-1,-1.0
1,12:00:37.123267,12:00:46.686354,-1,-1.0
1,12:00:37.123267,12:00:46.972404,1,-1.0
1,12:00:37.123267,12:00:47.287419,1,-1.0
1,12:00:37.123267,12:00:47.537069,-1,-1.0
1,12:00:37.123267,12:00:47.818664,-1,-1.0
1,12:00:37.123267,12:00:48.118456,-1,-1.0
1,12:00:37.123267,12:00:48.411531,-1,-1.0
1,12:00:37.123267,12:00:48.755802,-1,-1.0
1,12:00:37.123267,12:00:49.111376,-1,-1.0
1,12:00:37.123267,12:00:49.411099,1,-1.0
1,12:00:37.123267,12:00:49.743104,1,-1.0
1,12:00:37.123267,12:00:50.109827,1,-1.0
1,12:00:37.123267,12:00:50.420214,1,-1.0
1,12:00:37.123267,12:00:50.731602,1,-1.0
1,12:00:37.123267,12:00:51.027587,-1,-1.0
1,12:00:37.123267,12:00:51.311689,-1,-1.0
1,12:00:37.123267,12:00:51.634004,-1,-1.0
1,12:00:37.123267,12:00:51.936752,-1,-1.0
1,12:00:37.123267,12:00:52.243577,-1,-1.0
1,12:00:37.123267,12:00:52.576357,1,-1.0
1,12:00:37.123267,12:00:52.920190,1,-1.0
1,12:00:37.123267,12:00:53.214681,1,-1.0
1,12:00:37.123267,12:00:53.516488,1,-1.0
1,12:00:37.123267,12:00:53.799885,1,-1.0
1,12:00:37.123267,12:00:54.124745,1,-1.0
1,12:00:37.123267,12:00:54.449549,1,-1.0
1,12:00:37.123267,12:00:54.778119,-1,-1.0
1,12:00:37.123267,12:00:55.038668,-1,-1.0
1,12:00:37.123267,12:00:55.340287,-1,-1.0
1,12:00:37.123267,12:00:55.624639,-1,-1.0
1,12:00:37.123267,12:00:55.941208,-1,-1.0
1,12:00:37.123267,12:00:56.299439,1,-1.0
1,12:00:37.123267,12:00:56.598904,1,-1.0
1,12:00:37.123267,12:00:56.866276,1,-1.0
1,12:00:37.123267,12:00:57.170223,1,-1.0
1,12:00:37.123267,12:00:57.475300,1,-1.0
1,12:00:37.123267,12:00:57.771102,1,-1.0
1,12:00:37.123267,12:00:58.104249,1,-1.0
1,12:00:37.123267,12:00:58.331910,-1,-1.0
1,12:00:37.123267,12:00:58.622581,-1,-1.0
1,12:00:37.123267,12:00:58.900126,-1,-1.0
1,12:00:37.123267,12:00:59.193236,-1,-1.0
1,12:00:37.123267,12:00:59.527020,-1,-1.0
1,12:00:37.123267,12:00:59.817454,-1,-1.0
1,12:00:37.123267,12:01:00.100325,1,-1.0
1,12:00:37.123267,12:01:00.310477,1,-1.0
1,12:00:37.123267,12:01:00.602337,1,-1.0
1,12:00:37.123267,12:01:00.916339,1,-1.0
1,12:00:37.123267,12:01:01.230706,1,-1.0
1,12:00:37.123267,12:01:01.545895,1,-1.0
1,12:00:37.123267,12:01:01.820525,-1,-1.0
1,12:00:37.123267,12:01:02.097173,-1,-1.0
1,12:00:37.123267,12:01:02.389157,-1,-1.0
1,12:00:37.123267,12:01:02.690720,-1,-1.0
1,12:00:37.123267,12:01:02.971116,-1,-1.0
1,12:00:37.123267,12:01:03.282766,-1,-1.0
1,12:00:37.123267,12:01:03.598551,-1,-1.0
1,12:00:37.123267,12:01:03.763471,1,-1.0
1,12:00:37.123267,12:01:03.993337,1,-1.0
1,12:00:37.123267,12:01:04.190513,1,-1.0
1,12:00:37.123267,12:01:04.448247,1,-1.0
1,12:00:37.123267,12:01:04.688847,1,-1.0
1,12:00:37.123267,12:01:04.909000,-1,-1.0
1,12:00:37.123267,12:01:05.127645,-1,-1.0
1,12:00:37.123267,12:01:05.324768,-1,-1.0
1,12:00:37.123267,12:01:05.554814,-1,-1.0
1,12:00:37.123267,12:01:05.761923,-1,-1.0
1,12:00:37.123267,12:01:06.120957,1,-1.0
1,12:00:37.123267,12:01:06.294795,1,-1.0
1,12:00:37.123267,12:01:06.451415,1,-1.0
1,12:00:37.123267,12:01:06.607634,1,-1.0
1,12:00:37.123267,12:01:06.773833,1,-1.0
1,12:00:37.123267,12:01:06.958372,1,-1.0
1,12:00:37.123267,12:01:07.190918,-1,-1.0
1,12:00:37.123267,12:01:07.324269,-1,-1.0
1,12:00:37.123267,12:01:07.458793,-1,-1.0
1,12:00:37.123267,12:01:07.593291,-1,-1.0
1,12:00:37.123267,12:01:07.693861,-1,-1.0
1,12:00:37.123267,12:01:07.840705,-1,-1.0
1,12:00:37.123267,12:01:07.953405,-1,-1.0
1,12:00:37.123267,12:01:08.192256,-1,-1.0
1,12:00:37.123267,12:01:08.359879,1,-1.0
1,12:00:37.123267,12:01:08.514106,1,-1.0
1,12:00:37.123267,12:01:08.683858,1,-1.0
1,12:00:37.123267,12:01:08.830434,1,-1.0
1,12:00:37.123267,12:01:08.965471,1,-1.0
1,12:00:37.123267,12:01:09.231012,-1,-1.0
1,12:00:37.123267,12:01:09.386378,-1,-1.0
1,12:00:37.123267,12:01:09.544668,-1,-1.0
1,12:00:37.123267,12:01:09.691254,-1,-1.0
1,12:00:37.123267,12:01:11.256236,1,-1.0
1,12:00:37.123267,12:01:11.429924,1,-1.0
1,12:00:37.123267,12:01:11.574783,1,-1.0
1,12:00:37.123267,12:01:11.740031,1,-1.0
1,12:00:37.123267,12:01:11.891577,1,-1.0
1,12:00:37.123267,12:01:12.118300,1,-1.0
1,12:00:37.123267,12:01:12.364433,-1,-1.0
1,12:00:37.123267,12:01:12.540145,-1,-1.0
1,12:00:37.123267,12:01:12.704488,-1,-1.0
1,12:00:37.123267,12:01:12.827078,-1,-1.0
1,12:00:37.123267,12:01:13.012964,-1,-1.0
1,12:00:37.123267,12:01:13.339370,1,-1.0
1,12:00:37.123267,12:01:13.519151,1,-1.0
1,12:00:37.123267,12:01:13.693288,1,-1.0
1,12:00:37.123267,12:01:13.841390,1,-1.0
1,12:00:37.123267,12:01:14.004558,1,-1.0
1,12:00:37.123267,12:01:14.157508,1,-1.0
1,12:00:37.123267,12:01:14.438709,-1,-1.0
1,12:00:37.123267,12:01:14.616482,-1,-1.0
1,12:00:37.123267,12:01:17.687860,1,-1.0
1,12:00:37.123267,12:01:17.834456,1,-1.0
1,12:00:37.123267,12:01:18.000436,1,-1.0
1,12:00:37.123267,12:01:18.174855,1,-1.0
1,12:00:37.123267,12:01:18.341484,1,-1.0
1,12:00:37.123267,12:01:18.526471,1,-1.0
1,12:00:37.123267,12:01:18.797213,-1,-1.0
1,12:00:37.123267,12:01:18.949801,-1,-1.0
1,12:00:37.123267,12:01:19.092402,-1,-1.0
1,12:00:37.123267,12:01:19.244837,-1,-1.0
1,12:00:37.123267,12:01:19.444838,-1,-1.0
1,12:00:37.123267,12:01:20.016953,1,-1.0
1,12:00:37.123267,12:01:20.181956,1,-1.0
1,12:00:37.123267,12:01:20.335341,1,-1.0
1,12:00:37.123267,12:01:20.480892,1,-1.0
