Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:03:30.598250,00:03:35.375370,1,-1.0
1,00:03:30.598250,00:03:35.565061,1,-1.0
1,00:03:30.598250,00:03:35.795954,1,-1.0
1,00:03:30.598250,00:03:36.024677,1,-1.0
1,00:03:30.598250,00:03:37.027818,-1,-1.0
1,00:03:30.598250,00:03:37.213876,-1,-1.0
1,00:03:30.598250,00:03:37.625575,-1,-1.0
1,00:03:30.598250,00:03:37.841956,-1,-1.0
1,00:03:30.598250,00:03:38.056297,-1,-1.0
1,00:03:30.598250,00:03:38.945961,-1,-1.0
1,00:03:30.598250,00:03:39.154385,-1,-1.0
1,00:03:30.598250,00:03:39.352790,1,-1.0
1,00:03:30.598250,00:03:39.549228,1,-1.0
1,00:03:30.598250,00:03:40.497698,-1,-1.0
1,00:03:30.598250,00:03:40.674577,1,-1.0
1,00:03:30.598250,00:03:40.859318,1,-1.0
1,00:03:30.598250,00:03:41.060605,1,-1.0
1,00:03:30.598250,00:03:42.594669,-1,-1.0
1,00:03:30.598250,00:03:42.940889,1,-1.0
1,00:03:30.598250,00:03:43.456542,-1,-1.0
1,00:03:30.598250,00:03:43.663793,-1,-1.0
1,00:03:30.598250,00:03:43.873442,-1,-1.0
1,00:03:30.598250,00:03:44.069717,1,-1.0
1,00:03:30.598250,00:03:44.279227,1,-1.0
1,00:03:30.598250,00:03:44.497495,1,-1.0
1,00:03:30.598250,00:03:44.768456,-1,-1.0
1,00:03:30.598250,00:03:44.965500,-1,-1.0
1,00:03:30.598250,00:03:45.165187,-1,-1.0
1,00:03:30.598250,00:03:45.384421,-1,-1.0
1,00:03:30.598250,00:03:45.602130,-1,-1.0
1,00:03:30.598250,00:03:45.917030,1,-1.0
1,00:03:30.598250,00:03:46.112498,1,-1.0
1,00:03:30.598250,00:03:46.320689,1,-1.0
1,00:03:30.598250,00:03:46.519142,1,-1.0
1,00:03:30.598250,00:03:46.712972,1,-1.0
1,00:03:30.598250,00:03:46.910741,1,-1.0
1,00:03:30.598250,00:03:47.113233,-1,-1.0
1,00:03:30.598250,00:03:47.269249,-1,-1.0
1,00:03:30.598250,00:03:47.433397,-1,-1.0
1,00:03:30.598250,00:03:47.618911,-1,-1.0
1,00:03:30.598250,00:03:47.815478,-1,-1.0
1,00:03:30.598250,00:03:48.001201,-1,-1.0
1,00:03:30.598250,00:03:48.197802,1,-1.0
1,00:03:30.598250,00:03:48.333822,1,-1.0
1,00:03:30.598250,00:03:48.477734,1,-1.0
1,00:03:30.598250,00:03:48.634761,1,-1.0
1,00:03:30.598250,00:03:48.795511,1,-1.0
1,00:03:30.598250,00:03:48.951510,1,-1.0
1,00:03:30.598250,00:03:49.178167,-1,-1.0
1,00:03:30.598250,00:03:49.349265,-1,-1.0
1,00:03:30.598250,00:03:49.515277,-1,-1.0
1,00:03:30.598250,00:03:49.691971,1,-1.0
1,00:03:30.598250,00:03:49.847895,-1,-1.0
1,00:03:30.598250,00:03:50.097058,1,-1.0
1,00:03:30.598250,00:03:50.293553,1,-1.0
1,00:03:30.598250,00:03:50.459350,1,-1.0
1,00:03:30.598250,00:03:50.646950,1,-1.0
1,00:03:30.598250,00:03:50.825905,1,-1.0
1,00:03:30.598250,00:03:51.013399,1,-1.0
1,00:03:30.598250,00:03:51.201897,1,-1.0
1,00:03:30.598250,00:03:51.438580,-1,-1.0
1,00:03:30.598250,00:03:51.615975,-1,-1.0
1,00:03:30.598250,00:03:51.809308,-1,-1.0
1,00:03:30.598250,00:03:51.974154,-1,-1.0
1,00:03:30.598250,00:03:52.171834,-1,-1.0
1,00:03:30.598250,00:03:52.348971,-1,-1.0
1,00:03:30.598250,00:03:52.533728,1,-1.0
1,00:03:30.598250,00:03:52.708886,1,-1.0
1,00:03:30.598250,00:03:52.876110,1,-1.0
1,00:03:30.598250,00:03:53.065067,1,-1.0
1,00:03:30.598250,00:03:53.251724,1,-1.0
1,00:03:30.598250,00:03:53.436714,1,-1.0
1,00:03:30.598250,00:03:53.611984,-1,-1.0
1,00:03:30.598250,00:03:53.807952,-1,-1.0
1,00:03:30.598250,00:03:53.988727,1,-1.0
1,00:03:30.598250,00:03:54.176260,1,-1.0
1,00:03:30.598250,00:03:54.387834,-1,-1.0
1,00:03:30.598250,00:03:54.576635,-1,-1.0
1,00:03:30.598250,00:03:54.796569,1,-1.0
1,00:03:30.598250,00:03:55.001751,1,-1.0
1,00:03:30.598250,00:03:55.212237,1,-1.0
1,00:03:30.598250,00:03:55.419281,1,-1.0
1,00:03:30.598250,00:03:59.566254,1,-1.0
1,00:03:30.598250,00:03:59.686350,1,-1.0
1,00:03:30.598250,00:03:59.859755,1,-1.0
1,00:03:30.598250,00:04:00.075619,1,-1.0
1,00:03:30.598250,00:04:00.299156,1,-1.0
1,00:03:30.598250,00:04:00.526832,1,-1.0
1,00:03:30.598250,00:04:00.819516,-1,-1.0
1,00:03:30.598250,00:04:01.002878,-1,-1.0
1,00:03:30.598250,00:04:01.211852,-1,-1.0
1,00:03:30.598250,00:04:01.430673,-1,-1.0
1,00:03:30.598250,00:04:01.690855,1,-1.0
1,00:03:30.598250,00:04:01.879082,1,-1.0
