Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:57:16.588263,11:57:18.127646,1,-1.0
1,11:57:16.588263,11:57:18.290630,1,-1.0
1,11:57:16.588263,11:57:18.463922,1,-1.0
1,11:57:16.588263,11:57:18.647468,1,-1.0
1,11:57:16.588263,11:57:18.810894,1,-1.0
1,11:57:16.588263,11:57:18.951590,1,-1.0
1,11:57:16.588263,11:57:19.104154,1,-1.0
1,11:57:16.588263,11:57:19.236557,1,-1.0
1,11:57:16.588263,11:57:19.369828,1,-1.0
1,11:57:16.588263,11:57:19.522834,1,-1.0
1,11:57:16.588263,11:57:19.887876,-1,-1.0
1,11:57:16.588263,11:57:20.074435,-1,-1.0
1,11:57:16.588263,11:57:20.227602,-1,-1.0
1,11:57:16.588263,11:57:20.579179,-1,-1.0
1,11:57:16.588263,11:57:20.745855,-1,-1.0
1,11:57:16.588263,11:57:20.888593,-1,-1.0
1,11:57:16.588263,11:57:21.126011,1,-1.0
1,11:57:16.588263,11:57:21.247416,1,-1.0
1,11:57:16.588263,11:57:21.391080,1,-1.0
1,11:57:16.588263,11:57:21.534302,1,-1.0
1,11:57:16.588263,11:57:21.665910,1,-1.0
1,11:57:16.588263,11:57:21.790247,1,-1.0
1,11:57:16.588263,11:57:22.059249,-1,-1.0
1,11:57:16.588263,11:57:22.222509,-1,-1.0
1,11:57:16.588263,11:57:22.377170,-1,-1.0
1,11:57:16.588263,11:57:22.533219,-1,-1.0
1,11:57:16.588263,11:57:22.687937,-1,-1.0
1,11:57:16.588263,11:57:22.830719,-1,-1.0
1,11:57:16.588263,11:57:24.559986,1,-1.0
1,11:57:16.588263,11:57:24.723850,1,-1.0
1,11:57:16.588263,11:57:24.865016,1,-1.0
1,11:57:16.588263,11:57:25.018903,1,-1.0
1,11:57:16.588263,11:57:25.163254,1,-1.0
1,11:57:16.588263,11:57:25.306114,1,-1.0
1,11:57:16.588263,11:57:25.461849,1,-1.0
1,11:57:16.588263,11:57:25.623837,1,-1.0
1,11:57:16.588263,11:57:25.734853,1,-1.0
1,11:57:16.588263,11:57:26.538889,-1,-1.0
1,11:57:16.588263,11:57:26.705343,-1,-1.0
1,11:57:16.588263,11:57:26.847180,-1,-1.0
1,11:57:16.588263,11:57:27.005785,-1,-1.0
1,11:57:16.588263,11:57:27.148856,-1,-1.0
1,11:57:16.588263,11:57:27.294623,-1,-1.0
1,11:57:16.588263,11:57:27.447026,-1,-1.0
1,11:57:16.588263,11:57:27.648864,1,-1.0
1,11:57:16.588263,11:57:27.848761,-1,-1.0
1,11:57:16.588263,11:57:28.013727,1,-1.0
