Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:59:56.329566,11:59:57.800263,-1,-1.0
1,11:59:56.329566,11:59:59.208386,-1,-1.0
1,11:59:56.329566,11:59:59.665493,-1,-1.0
1,11:59:56.329566,12:00:00.377098,-1,-1.0
1,11:59:56.329566,12:00:01.311303,1,-1.0
1,11:59:56.329566,12:00:01.485698,1,-1.0
1,11:59:56.329566,12:00:01.737418,1,-1.0
1,11:59:56.329566,12:00:01.922599,1,-1.0
1,11:59:56.329566,12:00:05.996525,1,-1.0
1,11:59:56.329566,12:00:06.186336,1,-1.0
1,11:59:56.329566,12:00:06.383784,1,-1.0
1,11:59:56.329566,12:00:06.560553,1,-1.0
1,11:59:56.329566,12:00:06.724448,1,-1.0
1,11:59:56.329566,12:00:06.987564,1,-1.0
1,11:59:56.329566,12:00:09.835102,1,-1.0
1,11:59:56.329566,12:00:10.012406,1,-1.0
1,11:59:56.329566,12:00:10.189611,1,-1.0
1,11:59:56.329566,12:00:10.363697,1,-1.0
1,11:59:56.329566,12:00:10.532688,1,-1.0
1,11:59:56.329566,12:00:15.642933,1,-1.0
1,11:59:56.329566,12:00:15.832398,1,-1.0
1,11:59:56.329566,12:00:16.167389,1,-1.0
1,11:59:56.329566,12:00:16.354507,1,-1.0
1,11:59:56.329566,12:00:16.529461,1,-1.0
1,11:59:56.329566,12:00:18.435430,-1,-1.0
1,11:59:56.329566,12:00:18.608970,-1,-1.0
1,11:59:56.329566,12:00:18.787777,-1,-1.0
1,11:59:56.329566,12:00:18.969711,-1,-1.0
1,11:59:56.329566,12:00:21.926348,1,-1.0
1,11:59:56.329566,12:00:22.090728,1,-1.0
1,11:59:56.329566,12:00:22.267476,1,-1.0
1,11:59:56.329566,12:00:23.768072,1,-1.0
1,11:59:56.329566,12:00:23.952039,1,-1.0
1,11:59:56.329566,12:00:24.084989,1,-1.0
1,11:59:56.329566,12:00:24.302526,1,-1.0
1,11:59:56.329566,12:00:24.439733,1,-1.0
1,11:59:56.329566,12:00:24.753528,1,-1.0
1,11:59:56.329566,12:00:26.850332,-1,-1.0
1,11:59:56.329566,12:00:27.024473,-1,-1.0
1,11:59:56.329566,12:00:27.180683,-1,-1.0
1,11:59:56.329566,12:00:27.325650,-1,-1.0
1,11:59:56.329566,12:00:27.726800,1,-1.0
1,11:59:56.329566,12:00:27.896327,1,-1.0
1,11:59:56.329566,12:00:28.064546,1,-1.0
1,11:59:56.329566,12:00:28.238150,1,-1.0
1,11:59:56.329566,12:00:28.424460,1,-1.0
1,11:59:56.329566,12:00:28.651588,1,-1.0
1,11:59:56.329566,12:00:29.179488,-1,-1.0
1,11:59:56.329566,12:00:29.334056,-1,-1.0
1,11:59:56.329566,12:00:29.511030,-1,-1.0
1,11:59:56.329566,12:00:29.678613,-1,-1.0
1,11:59:56.329566,12:00:29.844812,-1,-1.0
1,11:59:56.329566,12:00:30.009556,-1,-1.0
1,11:59:56.329566,12:00:30.373498,1,-1.0
1,11:59:56.329566,12:00:30.541282,1,-1.0
1,11:59:56.329566,12:00:30.734328,1,-1.0
1,11:59:56.329566,12:00:30.909678,1,-1.0
