Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:02:24.817820,00:02:26.396001,-1,-1.0
1,00:02:24.817820,00:02:26.619703,-1,-1.0
1,00:02:24.817820,00:02:28.754729,-1,-1.0
1,00:02:24.817820,00:02:28.974003,-1,-1.0
1,00:02:24.817820,00:02:29.173834,1,-1.0
1,00:02:24.817820,00:02:31.276702,1,-1.0
1,00:02:24.817820,00:02:31.492463,1,-1.0
1,00:02:24.817820,00:02:31.657349,1,-1.0
1,00:02:24.817820,00:02:32.541636,-1,-1.0
1,00:02:24.817820,00:02:32.794931,1,-1.0
1,00:02:24.817820,00:02:32.992870,1,-1.0
1,00:02:24.817820,00:02:33.857236,-1,-1.0
1,00:02:24.817820,00:02:34.064504,-1,-1.0
1,00:02:24.817820,00:02:34.263017,1,-1.0
1,00:02:24.817820,00:02:34.472435,1,-1.0
1,00:02:24.817820,00:02:34.678779,1,-1.0
1,00:02:24.817820,00:02:34.949325,-1,-1.0
1,00:02:24.817820,00:02:35.168776,-1,-1.0
1,00:02:24.817820,00:02:35.377239,1,-1.0
1,00:02:24.817820,00:02:35.607760,1,-1.0
1,00:02:24.817820,00:02:36.025866,-1,-1.0
1,00:02:24.817820,00:02:36.370207,-1,-1.0
1,00:02:24.817820,00:02:36.558967,-1,-1.0
1,00:02:24.817820,00:02:36.735919,1,-1.0
1,00:02:24.817820,00:02:36.967707,1,-1.0
1,00:02:24.817820,00:02:37.177759,1,-1.0
1,00:02:24.817820,00:02:37.425703,-1,-1.0
1,00:02:24.817820,00:02:37.622403,-1,-1.0
1,00:02:24.817820,00:02:37.809992,-1,-1.0
1,00:02:24.817820,00:02:38.020937,1,-1.0
1,00:02:24.817820,00:02:38.236309,-1,-1.0
1,00:02:24.817820,00:02:38.466042,-1,-1.0
1,00:02:24.817820,00:02:38.631403,1,-1.0
1,00:02:24.817820,00:02:38.832933,1,-1.0
1,00:02:24.817820,00:02:39.030166,1,-1.0
1,00:02:24.817820,00:02:39.247311,1,-1.0
1,00:02:24.817820,00:02:39.447533,1,-1.0
1,00:02:24.817820,00:02:39.676945,1,-1.0
1,00:02:24.817820,00:02:39.838064,-1,-1.0
1,00:02:24.817820,00:02:40.048050,-1,-1.0
1,00:02:24.817820,00:02:40.267837,-1,-1.0
1,00:02:24.817820,00:02:40.462146,1,-1.0
1,00:02:24.817820,00:02:40.657624,1,-1.0
1,00:02:24.817820,00:02:40.876244,-1,-1.0
1,00:02:24.817820,00:02:41.083721,1,-1.0
1,00:02:24.817820,00:02:41.292911,1,-1.0
1,00:02:24.817820,00:02:41.497314,1,-1.0
1,00:02:24.817820,00:02:41.693796,1,-1.0
1,00:02:24.817820,00:02:41.997537,-1,-1.0
1,00:02:24.817820,00:02:42.247542,-1,-1.0
1,00:02:24.817820,00:02:42.457397,-1,-1.0
1,00:02:24.817820,00:02:42.663086,1,-1.0
1,00:02:24.817820,00:02:42.885331,-1,-1.0
1,00:02:24.817820,00:02:43.088714,-1,-1.0
1,00:02:24.817820,00:02:43.347099,-1,-1.0
1,00:02:24.817820,00:02:43.574172,-1,-1.0
1,00:02:24.817820,00:02:43.782305,-1,-1.0
1,00:02:24.817820,00:02:44.031206,1,-1.0
1,00:02:24.817820,00:02:44.243250,1,-1.0
1,00:02:24.817820,00:02:44.482635,1,-1.0
1,00:02:24.817820,00:02:44.843027,-1,-1.0
1,00:02:24.817820,00:02:45.083151,-1,-1.0
1,00:02:24.817820,00:02:45.306640,1,-1.0
1,00:02:24.817820,00:02:45.532898,1,-1.0
1,00:02:24.817820,00:02:45.751972,1,-1.0
1,00:02:24.817820,00:02:45.971963,1,-1.0
1,00:02:24.817820,00:02:46.211111,-1,-1.0
1,00:02:24.817820,00:02:46.380848,1,-1.0
1,00:02:24.817820,00:02:46.608610,1,-1.0
1,00:02:24.817820,00:02:46.825756,1,-1.0
1,00:02:24.817820,00:02:47.065383,1,-1.0
1,00:02:24.817820,00:02:47.337214,-1,-1.0
1,00:02:24.817820,00:02:47.554092,1,-1.0
1,00:02:24.817820,00:02:47.816021,1,-1.0
1,00:02:24.817820,00:02:48.023115,1,-1.0
1,00:02:24.817820,00:02:48.411474,-1,-1.0
1,00:02:24.817820,00:02:48.629625,1,-1.0
1,00:02:24.817820,00:02:48.858846,1,-1.0
1,00:02:24.817820,00:02:49.087740,1,-1.0
1,00:02:24.817820,00:02:49.327136,1,-1.0
1,00:02:24.817820,00:02:49.650625,-1,-1.0
1,00:02:24.817820,00:02:49.879956,-1,-1.0
1,00:02:24.817820,00:02:50.076604,1,-1.0
1,00:02:24.817820,00:02:50.317911,1,-1.0
