Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:00:38.601144,00:00:43.311975,1,-1.0
1,00:00:38.601144,00:00:43.498413,1,-1.0
1,00:00:38.601144,00:00:43.761217,1,-1.0
1,00:00:38.601144,00:00:44.003863,1,-1.0
1,00:00:38.601144,00:00:44.255155,1,-1.0
1,00:00:38.601144,00:00:44.474924,1,-1.0
1,00:00:38.601144,00:00:47.634053,1,-1.0
1,00:00:38.601144,00:00:47.841830,1,-1.0
1,00:00:38.601144,00:00:48.019493,1,-1.0
1,00:00:38.601144,00:00:48.225925,1,-1.0
1,00:00:38.601144,00:00:48.400693,1,-1.0
1,00:00:38.601144,00:00:48.608149,1,-1.0
1,00:00:38.601144,00:00:48.805632,1,-1.0
1,00:00:38.601144,00:00:49.031439,1,-1.0
1,00:00:38.601144,00:00:49.238805,1,-1.0
1,00:00:38.601144,00:00:49.424211,1,-1.0
1,00:00:38.601144,00:00:49.630919,1,-1.0
1,00:00:38.601144,00:00:49.858510,1,-1.0
1,00:00:38.601144,00:00:50.046010,1,-1.0
1,00:00:38.601144,00:00:50.263196,1,-1.0
1,00:00:38.601144,00:00:50.490381,1,-1.0
1,00:00:38.601144,00:00:50.708795,1,-1.0
1,00:00:38.601144,00:00:50.983017,1,-1.0
1,00:00:38.601144,00:00:51.202381,1,-1.0
1,00:00:38.601144,00:00:51.423843,1,-1.0
1,00:00:38.601144,00:00:51.617389,1,-1.0
1,00:00:38.601144,00:00:51.842972,1,-1.0
1,00:00:38.601144,00:00:52.050528,1,-1.0
1,00:00:38.601144,00:00:52.293990,1,-1.0
1,00:00:38.601144,00:00:52.515760,1,-1.0
1,00:00:38.601144,00:00:52.748439,1,-1.0
1,00:00:38.601144,00:00:52.967455,1,-1.0
1,00:00:38.601144,00:00:53.220701,1,-1.0
1,00:00:38.601144,00:00:53.440632,1,-1.0
1,00:00:38.601144,00:00:53.638284,1,-1.0
1,00:00:38.601144,00:01:09.077282,-1,-1.0
1,00:00:38.601144,00:01:09.252090,-1,-1.0
1,00:00:38.601144,00:01:09.459514,-1,-1.0
1,00:00:38.601144,00:01:09.651372,-1,-1.0
1,00:00:38.601144,00:01:09.848093,-1,-1.0
1,00:00:38.601144,00:01:12.408756,-1,-1.0
1,00:00:38.601144,00:01:12.588324,-1,-1.0
1,00:00:38.601144,00:01:12.781183,-1,-1.0
1,00:00:38.601144,00:01:12.944882,-1,-1.0
1,00:00:38.601144,00:01:13.225628,-1,-1.0
1,00:00:38.601144,00:01:13.438550,1,-1.0
1,00:00:38.601144,00:01:13.659823,1,-1.0
1,00:00:38.601144,00:01:13.868729,1,-1.0
1,00:00:38.601144,00:01:14.116445,1,-1.0
