Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:54:25.649726,15:54:26.944969,1,-1.0
1,15:54:25.649726,15:54:27.149175,1,-1.0
1,15:54:25.649726,15:54:27.354659,1,-1.0
1,15:54:25.649726,15:54:27.559108,1,-1.0
1,15:54:25.649726,15:54:27.734731,1,-1.0
1,15:54:25.649726,15:54:28.750762,-1,-1.0
1,15:54:25.649726,15:54:28.953718,-1,-1.0
1,15:54:25.649726,15:54:29.136424,-1,-1.0
1,15:54:25.649726,15:54:29.390609,-1,-1.0
1,15:54:25.649726,15:54:31.965238,-1,-1.0
1,15:54:25.649726,15:54:32.160959,-1,-1.0
1,15:54:25.649726,15:54:32.364540,-1,-1.0
1,15:54:25.649726,15:54:32.559706,1,-1.0
1,15:54:25.649726,15:54:32.775764,1,-1.0
1,15:54:25.649726,15:54:33.620706,-1,-1.0
1,15:54:25.649726,15:54:33.818842,-1,-1.0
1,15:54:25.649726,15:54:34.026308,-1,-1.0
1,15:54:25.649726,15:54:34.242599,1,-1.0
1,15:54:25.649726,15:54:34.444784,1,-1.0
1,15:54:25.649726,15:54:36.604280,-1,-1.0
1,15:54:25.649726,15:54:36.808541,1,-1.0
1,15:54:25.649726,15:54:37.001662,1,-1.0
1,15:54:25.649726,15:54:37.225014,1,-1.0
1,15:54:25.649726,15:54:37.433770,1,-1.0
1,15:54:25.649726,15:54:37.650911,1,-1.0
1,15:54:25.649726,15:54:37.878277,1,-1.0
1,15:54:25.649726,15:54:38.106302,1,-1.0
1,15:54:25.649726,15:54:39.764074,-1,-1.0
1,15:54:25.649726,15:54:39.948662,-1,-1.0
1,15:54:25.649726,15:54:40.141246,-1,-1.0
1,15:54:25.649726,15:54:40.328899,-1,-1.0
1,15:54:25.649726,15:54:40.946552,-1,-1.0
1,15:54:25.649726,15:54:41.108888,1,-1.0
1,15:54:25.649726,15:54:41.358159,1,-1.0
1,15:54:25.649726,15:54:41.826431,1,-1.0
1,15:54:25.649726,15:54:42.053905,1,-1.0
1,15:54:25.649726,15:54:42.849928,-1,-1.0
1,15:54:25.649726,15:54:43.045808,-1,-1.0
1,15:54:25.649726,15:54:43.251609,-1,-1.0
1,15:54:25.649726,15:54:43.457025,-1,-1.0
