Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:29:08.488504,15:29:09.923128,1,-1.0
1,15:29:08.488504,15:29:10.109000,1,-1.0
1,15:29:08.488504,15:29:10.306624,1,-1.0
1,15:29:08.488504,15:29:10.538671,-1,-1.0
1,15:29:08.488504,15:29:10.716136,-1,-1.0
1,15:29:08.488504,15:29:10.908338,-1,-1.0
1,15:29:08.488504,15:29:11.183228,-1,-1.0
1,15:29:08.488504,15:29:11.384086,1,-1.0
1,15:29:08.488504,15:29:11.773169,-1,-1.0
1,15:29:08.488504,15:29:11.993645,1,-1.0
1,15:29:08.488504,15:29:12.158404,-1,-1.0
1,15:29:08.488504,15:29:12.411710,-1,-1.0
1,15:29:08.488504,15:29:12.598634,1,-1.0
1,15:29:08.488504,15:29:12.938193,1,-1.0
1,15:29:08.488504,15:29:13.114081,1,-1.0
1,15:29:08.488504,15:29:13.442021,-1,-1.0
1,15:29:08.488504,15:29:13.642041,1,-1.0
1,15:29:08.488504,15:29:13.831046,-1,-1.0
1,15:29:08.488504,15:29:14.073207,1,-1.0
1,15:29:08.488504,15:29:14.260932,-1,-1.0
1,15:29:08.488504,15:29:14.440396,-1,-1.0
1,15:29:08.488504,15:29:14.620867,1,-1.0
1,15:29:08.488504,15:29:14.807798,-1,-1.0
1,15:29:08.488504,15:29:15.003434,1,-1.0
1,15:29:08.488504,15:29:15.279589,-1,-1.0
1,15:29:08.488504,15:29:15.476176,1,-1.0
1,15:29:08.488504,15:29:15.687971,1,-1.0
1,15:29:08.488504,15:29:15.995617,-1,-1.0
1,15:29:08.488504,15:29:16.161757,1,-1.0
1,15:29:08.488504,15:29:16.370893,-1,-1.0
1,15:29:08.488504,15:29:16.592075,1,-1.0
1,15:29:08.488504,15:29:16.788509,1,-1.0
1,15:29:08.488504,15:29:17.741717,1,-1.0
1,15:29:08.488504,15:29:17.916876,1,-1.0
1,15:29:08.488504,15:29:18.098226,1,-1.0
1,15:29:08.488504,15:29:18.506168,1,-1.0
1,15:29:08.488504,15:29:18.693054,-1,-1.0
1,15:29:08.488504,15:29:18.870787,1,-1.0
1,15:29:08.488504,15:29:19.113126,1,-1.0
1,15:29:08.488504,15:29:19.300127,1,-1.0
1,15:29:08.488504,15:29:19.510309,1,-1.0
1,15:29:08.488504,15:29:19.861641,1,-1.0
1,15:29:08.488504,15:29:20.038892,-1,-1.0
1,15:29:08.488504,15:29:20.248887,1,-1.0
1,15:29:08.488504,15:29:20.464022,1,-1.0
1,15:29:08.488504,15:29:20.670512,1,-1.0
1,15:29:08.488504,15:29:20.892020,1,-1.0
1,15:29:08.488504,15:29:21.950535,1,-1.0
1,15:29:08.488504,15:29:22.140319,1,-1.0
1,15:29:08.488504,15:29:22.391974,-1,-1.0
1,15:29:08.488504,15:29:22.578889,1,-1.0
1,15:29:08.488504,15:29:22.788431,-1,-1.0
1,15:29:08.488504,15:29:23.003551,1,-1.0
1,15:29:08.488504,15:29:23.334009,1,-1.0
1,15:29:08.488504,15:29:23.491938,1,-1.0
1,15:29:08.488504,15:29:23.766308,1,-1.0
1,15:29:08.488504,15:29:23.973090,1,-1.0
1,15:29:08.488504,15:29:25.532616,-1,-1.0
1,15:29:08.488504,15:29:25.785412,-1,-1.0
1,15:29:08.488504,15:29:25.977853,1,-1.0
1,15:29:08.488504,15:29:26.154706,1,-1.0
1,15:29:08.488504,15:29:26.354717,1,-1.0
1,15:29:08.488504,15:29:26.551962,1,-1.0
1,15:29:08.488504,15:29:27.303400,-1,-1.0
1,15:29:08.488504,15:29:27.482951,-1,-1.0
1,15:29:08.488504,15:29:27.670980,1,-1.0
1,15:29:08.488504,15:29:27.868564,1,-1.0
1,15:29:08.488504,15:29:28.209919,-1,-1.0
1,15:29:08.488504,15:29:28.449738,1,-1.0
1,15:29:08.488504,15:29:28.681508,1,-1.0
1,15:29:08.488504,15:29:28.879682,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
