Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:31:32.716146,15:31:53.667000,-1,-1.0
1,15:31:32.716146,15:31:55.460847,-1,-1.0
1,15:31:32.716146,15:31:56.885684,-1,-1.0
1,15:31:32.716146,15:31:57.634729,1,-1.0
1,15:31:32.716146,15:31:59.434154,1,-1.0
1,15:31:32.716146,15:31:59.752876,1,-1.0
1,15:31:32.716146,15:32:02.329175,-1,-1.0
1,15:31:32.716146,15:32:02.515236,-1,-1.0
1,15:31:32.716146,15:32:02.700970,1,-1.0
1,15:31:32.716146,15:32:02.877807,1,-1.0
1,15:31:32.716146,15:32:03.089786,-1,-1.0
1,15:31:32.716146,15:32:03.298559,1,-1.0
1,15:31:32.716146,15:32:03.529760,1,-1.0
1,15:31:32.716146,15:32:03.717351,1,-1.0
1,15:31:32.716146,15:32:03.960916,1,-1.0
1,15:31:32.716146,15:32:04.193753,1,-1.0
1,15:31:32.716146,15:32:04.425126,1,-1.0
1,15:31:32.716146,15:32:04.658477,1,-1.0
1,15:31:32.716146,15:32:04.876876,1,-1.0
1,15:31:32.716146,15:32:05.086995,1,-1.0
1,15:31:32.716146,15:32:05.304627,1,-1.0
1,15:31:32.716146,15:32:05.513413,1,-1.0
1,15:31:32.716146,15:32:05.811445,1,-1.0
1,15:31:32.716146,15:32:06.064835,1,-1.0
1,15:31:32.716146,15:32:06.285208,1,-1.0
1,15:31:32.716146,15:32:06.518152,1,-1.0
1,15:31:32.716146,15:32:06.794894,-1,-1.0
1,15:31:32.716146,15:32:06.985225,-1,-1.0
1,15:31:32.716146,15:32:07.163491,-1,-1.0
1,15:31:32.716146,15:32:07.354420,-1,-1.0
1,15:31:32.716146,15:32:07.543005,-1,-1.0
1,15:31:32.716146,15:32:07.733750,-1,-1.0
1,15:31:32.716146,15:32:07.942995,-1,-1.0
1,15:31:32.716146,15:32:08.172911,-1,-1.0
1,15:31:32.716146,15:32:16.727205,-1,-1.0
1,15:31:32.716146,15:32:16.915760,-1,-1.0
1,15:31:32.716146,15:32:17.115196,-1,-1.0
1,15:31:32.716146,15:32:17.281763,-1,-1.0
