Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:48:45.433316,23:48:47.787945,1,-1.0
1,23:48:45.433316,23:48:48.006415,1,-1.0
1,23:48:45.433316,23:48:48.182243,1,-1.0
1,23:48:45.433316,23:48:48.378927,1,-1.0
1,23:48:45.433316,23:48:48.586849,1,-1.0
1,23:48:45.433316,23:48:48.785656,1,-1.0
1,23:48:45.433316,23:48:49.369056,-1,-1.0
1,23:48:45.433316,23:48:49.762357,-1,-1.0
1,23:48:45.433316,23:48:49.992237,-1,-1.0
1,23:48:45.433316,23:48:50.170902,-1,-1.0
1,23:48:45.433316,23:48:50.391326,-1,-1.0
1,23:48:45.433316,23:48:53.760101,1,-1.0
1,23:48:45.433316,23:48:53.937688,1,-1.0
1,23:48:45.433316,23:48:54.133188,1,-1.0
1,23:48:45.433316,23:48:54.311012,1,-1.0
1,23:48:45.433316,23:48:54.498689,1,-1.0
1,23:48:45.433316,23:48:54.660804,-1,-1.0
1,23:48:45.433316,23:48:54.825250,-1,-1.0
1,23:48:45.433316,23:48:55.005222,1,-1.0
1,23:48:45.433316,23:48:55.168472,1,-1.0
1,23:48:45.433316,23:48:55.385862,-1,-1.0
1,23:48:45.433316,23:48:55.571149,1,-1.0
1,23:48:45.433316,23:48:55.747603,1,-1.0
1,23:48:45.433316,23:48:55.966107,1,-1.0
1,23:48:45.433316,23:48:56.173457,-1,-1.0
1,23:48:45.433316,23:48:56.363254,-1,-1.0
1,23:48:45.433316,23:48:56.549835,-1,-1.0
1,23:48:45.433316,23:48:56.723601,1,-1.0
1,23:48:45.433316,23:48:56.904394,1,-1.0
1,23:48:45.433316,23:48:57.121115,1,-1.0
1,23:48:45.433316,23:48:57.242170,-1,-1.0
1,23:48:45.433316,23:48:57.423027,1,-1.0
1,23:48:45.433316,23:48:57.601414,1,-1.0
1,23:48:45.433316,23:48:57.766266,1,-1.0
1,23:48:45.433316,23:48:58.005132,-1,-1.0
1,23:48:45.433316,23:48:58.201078,-1,-1.0
1,23:48:45.433316,23:48:58.388183,-1,-1.0
1,23:48:45.433316,23:48:58.565217,1,-1.0
1,23:48:45.433316,23:48:58.751313,1,-1.0
1,23:48:45.433316,23:48:58.979085,-1,-1.0
1,23:48:45.433316,23:48:59.171603,-1,-1.0
1,23:48:45.433316,23:48:59.361083,-1,-1.0
1,23:48:45.433316,23:48:59.580147,1,-1.0
1,23:48:45.433316,23:48:59.764351,1,-1.0
1,23:48:45.433316,23:48:59.984878,1,-1.0
1,23:48:45.433316,23:49:00.190104,-1,-1.0
1,23:48:45.433316,23:49:00.399086,-1,-1.0
1,23:48:45.433316,23:49:00.582801,-1,-1.0
1,23:48:45.433316,23:49:00.781593,1,-1.0
1,23:48:45.433316,23:49:00.981210,1,-1.0
1,23:48:45.433316,23:49:01.240560,-1,-1.0
1,23:48:45.433316,23:49:01.479706,-1,-1.0
1,23:48:45.433316,23:49:01.687662,-1,-1.0
1,23:48:45.433316,23:49:01.937400,1,-1.0
1,23:48:45.433316,23:49:02.132232,1,-1.0
1,23:48:45.433316,23:49:02.685725,-1,-1.0
1,23:48:45.433316,23:49:02.892909,1,-1.0
1,23:48:45.433316,23:49:03.097910,-1,-1.0
1,23:48:45.433316,23:49:03.298082,1,-1.0
1,23:48:45.433316,23:49:03.493070,1,-1.0
1,23:48:45.433316,23:49:03.706176,1,-1.0
1,23:48:45.433316,23:49:03.935395,-1,-1.0
1,23:48:45.433316,23:49:04.134836,-1,-1.0
1,23:48:45.433316,23:49:04.333254,1,-1.0
1,23:48:45.433316,23:49:04.536848,1,-1.0
1,23:48:45.433316,23:49:04.733371,1,-1.0
1,23:48:45.433316,23:49:04.931867,1,-1.0
1,23:48:45.433316,23:49:05.150046,-1,-1.0
1,23:48:45.433316,23:49:05.349062,-1,-1.0
1,23:48:45.433316,23:49:05.553324,1,-1.0
1,23:48:45.433316,23:49:05.771669,-1,-1.0
1,23:48:45.433316,23:49:05.971278,1,-1.0
1,23:48:45.433316,23:49:06.161213,1,-1.0
1,23:48:45.433316,23:49:06.391165,-1,-1.0
1,23:48:45.433316,23:49:06.591342,-1,-1.0
1,23:48:45.433316,23:49:06.788953,1,-1.0
1,23:48:45.433316,23:49:07.005289,1,-1.0
1,23:48:45.433316,23:49:07.193203,1,-1.0
1,23:48:45.433316,23:49:07.432926,-1,-1.0
1,23:48:45.433316,23:49:07.639822,-1,-1.0
1,23:48:45.433316,23:49:07.831733,1,-1.0
1,23:48:45.433316,23:49:08.028677,1,-1.0
1,23:48:45.433316,23:49:08.236700,1,-1.0
1,23:48:45.433316,23:49:08.414800,1,-1.0
1,23:48:45.433316,23:49:08.657844,-1,-1.0
1,23:48:45.433316,23:49:08.854661,-1,-1.0
1,23:48:45.433316,23:49:09.054183,1,-1.0
1,23:48:45.433316,23:49:09.249246,1,-1.0
1,23:48:45.433316,23:49:09.435677,1,-1.0
1,23:48:45.433316,23:49:09.642718,1,-1.0
1,23:48:45.433316,23:49:09.873493,-1,-1.0
1,23:48:45.433316,23:49:10.058797,-1,-1.0
1,23:48:45.433316,23:49:10.256376,1,-1.0
1,23:48:45.433316,23:49:10.443133,1,-1.0
1,23:48:45.433316,23:49:10.616348,1,-1.0
1,23:48:45.433316,23:49:10.805463,1,-1.0
1,23:48:45.433316,23:49:11.004583,-1,-1.0
1,23:48:45.433316,23:49:11.200450,1,-1.0
1,23:48:45.433316,23:49:11.396211,1,-1.0
1,23:48:45.433316,23:49:11.594813,1,-1.0
1,23:48:45.433316,23:49:11.781616,1,-1.0
1,23:48:45.433316,23:49:11.986768,-1,-1.0
1,23:48:45.433316,23:49:12.186082,1,-1.0
1,23:48:45.433316,23:49:12.388714,1,-1.0
1,23:48:45.433316,23:49:12.585274,1,-1.0
1,23:48:45.433316,23:49:12.803965,1,-1.0
1,23:48:45.433316,23:49:13.030920,-1,-1.0
1,23:48:45.433316,23:49:13.246998,-1,-1.0
1,23:48:45.433316,23:49:13.443889,1,-1.0
1,23:48:45.433316,23:49:13.628350,1,-1.0
1,23:48:45.433316,23:49:13.837537,1,-1.0
1,23:48:45.433316,23:49:14.023388,1,-1.0
1,23:48:45.433316,23:49:14.233346,1,-1.0
1,23:48:45.433316,23:49:14.505817,1,-1.0
1,23:48:45.433316,23:49:14.690625,1,-1.0
1,23:48:45.433316,23:49:14.901976,1,-1.0
1,23:48:45.433316,23:49:15.112868,1,-1.0
1,23:48:45.433316,23:49:15.300692,1,-1.0
1,23:48:45.433316,23:49:15.496062,-1,-1.0
1,23:48:45.433316,23:49:15.691846,1,-1.0
1,23:48:45.433316,23:49:15.898918,1,-1.0
1,23:48:45.433316,23:49:16.105944,1,-1.0
1,23:48:45.433316,23:49:16.323842,1,-1.0
1,23:48:45.433316,23:49:16.542891,-1,-1.0
1,23:48:45.433316,23:49:16.709547,1,-1.0
1,23:48:45.433316,23:49:16.942594,1,-1.0
1,23:48:45.433316,23:49:17.097732,1,-1.0
1,23:48:45.433316,23:49:17.351859,-1,-1.0
1,23:48:45.433316,23:49:17.549610,1,-1.0
1,23:48:45.433316,23:49:17.759816,1,-1.0
1,23:48:45.433316,23:49:17.990954,1,-1.0
1,23:48:45.433316,23:49:18.254795,1,-1.0
