Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:15:04.343255,12:15:08.836221,1,-1.0
1,12:15:04.343255,12:15:10.224238,1,-1.0
1,12:15:04.343255,12:15:12.734399,-1,-1.0
1,12:15:04.343255,12:15:14.486466,1,-1.0
1,12:15:04.343255,12:15:15.554318,1,-1.0
1,12:15:04.343255,12:15:16.166766,1,-1.0
1,12:15:04.343255,12:15:16.644735,1,-1.0
1,12:15:04.343255,12:15:16.998299,1,-1.0
1,12:15:04.343255,12:15:17.331051,1,-1.0
1,12:15:04.343255,12:15:18.205854,1,-1.0
1,12:15:04.343255,12:15:18.796892,1,-1.0
1,12:15:04.343255,12:15:19.104383,1,-1.0
1,12:15:04.343255,12:15:19.237052,1,-1.0
