Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:03:28.725748,16:03:29.426683,-1,-1.0
1,16:03:28.725748,16:03:29.641037,-1,-1.0
1,16:03:28.725748,16:03:29.845758,1,-1.0
1,16:03:28.725748,16:03:30.038098,1,-1.0
1,16:03:28.725748,16:03:30.234118,1,-1.0
1,16:03:28.725748,16:03:30.440719,1,-1.0
1,16:03:28.725748,16:03:30.728065,-1,-1.0
1,16:03:28.725748,16:03:30.943035,-1,-1.0
1,16:03:28.725748,16:03:31.153589,-1,-1.0
1,16:03:28.725748,16:03:31.348804,1,-1.0
1,16:03:28.725748,16:03:31.563317,-1,-1.0
1,16:03:28.725748,16:03:31.769930,-1,-1.0
1,16:03:28.725748,16:03:31.974886,-1,-1.0
1,16:03:28.725748,16:03:32.209652,1,-1.0
1,16:03:28.725748,16:03:32.415019,1,-1.0
1,16:03:28.725748,16:03:32.620329,1,-1.0
1,16:03:28.725748,16:03:32.813501,-1,-1.0
1,16:03:28.725748,16:03:33.039865,-1,-1.0
1,16:03:28.725748,16:03:33.364669,-1,-1.0
1,16:03:28.725748,16:03:33.549932,-1,-1.0
1,16:03:28.725748,16:03:33.763637,-1,-1.0
1,16:03:28.725748,16:03:33.956516,-1,-1.0
1,16:03:28.725748,16:03:34.181239,-1,-1.0
1,16:03:28.725748,16:03:34.436230,1,-1.0
1,16:03:28.725748,16:03:34.653514,-1,-1.0
1,16:03:28.725748,16:03:34.868931,-1,-1.0
1,16:03:28.725748,16:03:35.074514,-1,-1.0
1,16:03:28.725748,16:03:35.290116,-1,-1.0
1,16:03:28.725748,16:03:35.748093,-1,-1.0
1,16:03:28.725748,16:03:35.974560,-1,-1.0
1,16:03:28.725748,16:03:37.668812,-1,-1.0
1,16:03:28.725748,16:03:37.863579,1,-1.0
1,16:03:28.725748,16:03:38.058854,1,-1.0
1,16:03:28.725748,16:03:38.253322,1,-1.0
1,16:03:28.725748,16:03:38.458147,1,-1.0
1,16:03:28.725748,16:03:38.884060,-1,-1.0
1,16:03:28.725748,16:03:39.068230,-1,-1.0
1,16:03:28.725748,16:03:39.264272,1,-1.0
1,16:03:28.725748,16:03:39.458502,-1,-1.0
1,16:03:28.725748,16:03:39.653959,-1,-1.0
1,16:03:28.725748,16:03:39.859933,-1,-1.0
1,16:03:28.725748,16:03:40.231150,1,-1.0
