Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:48:27.474876,15:48:31.522463,-1,-1.0
1,15:48:27.474876,15:48:31.738890,-1,-1.0
1,15:48:27.474876,15:48:31.903867,1,-1.0
1,15:48:27.474876,15:48:32.070756,1,-1.0
1,15:48:27.474876,15:48:32.261864,1,-1.0
1,15:48:27.474876,15:48:32.437418,1,-1.0
1,15:48:27.474876,15:48:32.634339,1,-1.0
1,15:48:27.474876,15:48:32.820973,1,-1.0
1,15:48:27.474876,15:48:33.011205,1,-1.0
1,15:48:27.474876,15:48:33.187552,1,-1.0
1,15:48:27.474876,15:48:33.395199,1,-1.0
1,15:48:27.474876,15:48:33.627595,1,-1.0
1,15:48:27.474876,15:48:33.831056,1,-1.0
1,15:48:27.474876,15:48:34.027425,1,-1.0
1,15:48:27.474876,15:48:34.213812,1,-1.0
1,15:48:27.474876,15:48:34.414373,1,-1.0
1,15:48:27.474876,15:48:35.551567,-1,-1.0
1,15:48:27.474876,15:48:35.751745,-1,-1.0
1,15:48:27.474876,15:48:35.874958,-1,-1.0
1,15:48:27.474876,15:48:35.999711,-1,-1.0
1,15:48:27.474876,15:48:36.110207,-1,-1.0
1,15:48:27.474876,15:48:36.222856,-1,-1.0
1,15:48:27.474876,15:48:36.348216,-1,-1.0
1,15:48:27.474876,15:48:36.484394,-1,-1.0
1,15:48:27.474876,15:48:36.596525,-1,-1.0
1,15:48:27.474876,15:48:37.975952,1,-1.0
1,15:48:27.474876,15:48:38.162759,1,-1.0
1,15:48:27.474876,15:48:38.347388,1,-1.0
1,15:48:27.474876,15:48:39.473769,-1,-1.0
1,15:48:27.474876,15:48:39.641482,-1,-1.0
1,15:48:27.474876,15:48:39.790064,-1,-1.0
1,15:48:27.474876,15:48:39.925879,-1,-1.0
1,15:48:27.474876,15:48:40.070645,1,-1.0
1,15:48:27.474876,15:48:40.237270,1,-1.0
1,15:48:27.474876,15:48:40.413440,1,-1.0
1,15:48:27.474876,15:48:40.570811,1,-1.0
1,15:48:27.474876,15:48:40.770549,1,-1.0
1,15:48:27.474876,15:48:40.938742,-1,-1.0
1,15:48:27.474876,15:48:41.073681,-1,-1.0
1,15:48:27.474876,15:48:42.746371,1,-1.0
1,15:48:27.474876,15:48:42.977100,1,-1.0
1,15:48:27.474876,15:48:43.262990,-1,-1.0
1,15:48:27.474876,15:48:43.397233,-1,-1.0
1,15:48:27.474876,15:48:43.605925,-1,-1.0
1,15:48:27.474876,15:48:43.794608,1,-1.0
1,15:48:27.474876,15:48:44.000895,1,-1.0
1,15:48:27.474876,15:48:44.203847,1,-1.0
1,15:48:27.474876,15:48:44.467312,1,-1.0
1,15:48:27.474876,15:48:45.068325,-1,-1.0
1,15:48:27.474876,15:48:45.257420,-1,-1.0
1,15:48:27.474876,15:48:45.454927,-1,-1.0
1,15:48:27.474876,15:48:45.641057,-1,-1.0
1,15:48:27.474876,15:48:45.945943,-1,-1.0
1,15:48:27.474876,15:48:46.152588,1,-1.0
1,15:48:27.474876,15:48:46.426606,1,-1.0
1,15:48:27.474876,15:48:56.674420,1,-1.0
1,15:48:27.474876,15:48:56.907987,1,-1.0
1,15:48:27.474876,15:48:57.117506,1,-1.0
1,15:48:27.474876,15:48:57.370187,-1,-1.0
1,15:48:27.474876,15:48:57.604214,-1,-1.0
1,15:48:27.474876,15:48:57.820891,-1,-1.0
1,15:48:27.474876,15:48:58.162206,1,-1.0
1,15:48:27.474876,15:48:58.373139,1,-1.0
1,15:48:27.474876,15:48:58.606496,1,-1.0
1,15:48:27.474876,15:48:58.823372,1,-1.0
1,15:48:27.474876,15:48:59.809674,1,-1.0
1,15:48:27.474876,15:49:00.003490,1,-1.0
1,15:48:27.474876,15:49:00.201355,1,-1.0
1,15:48:27.474876,15:49:00.497451,-1,-1.0
1,15:48:27.474876,15:49:00.707370,-1,-1.0
1,15:48:27.474876,15:49:00.951970,-1,-1.0
1,15:48:27.474876,15:49:01.884040,-1,-1.0
1,15:48:27.474876,15:49:03.070982,-1,-1.0
1,15:48:27.474876,15:49:03.227508,-1,-1.0
1,15:48:27.474876,15:49:03.373170,-1,-1.0
1,15:48:27.474876,15:49:03.564935,-1,-1.0
1,15:48:27.474876,15:49:03.773001,-1,-1.0
1,15:48:27.474876,15:49:03.951127,-1,-1.0
1,15:48:27.474876,15:49:04.171729,1,-1.0
1,15:48:27.474876,15:49:04.379327,1,-1.0
1,15:48:27.474876,15:49:04.567136,1,-1.0
1,15:48:27.474876,15:49:04.778353,1,-1.0
