Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:49:38.900669,23:49:45.637458,1,-1.0
1,23:49:38.900669,23:49:45.844502,1,-1.0
1,23:49:38.900669,23:49:52.559578,1,-1.0
1,23:49:38.900669,23:49:52.755732,1,-1.0
1,23:49:38.900669,23:49:52.943709,1,-1.0
1,23:49:38.900669,23:49:54.736747,1,-1.0
1,23:49:38.900669,23:50:07.509069,-1,-1.0
1,23:49:38.900669,23:50:07.728003,-1,-1.0
1,23:49:38.900669,23:50:07.924917,-1,-1.0
1,23:49:38.900669,23:50:08.130430,-1,-1.0
1,23:49:38.900669,23:50:08.316244,-1,-1.0
1,23:49:38.900669,23:50:08.513290,-1,-1.0
1,23:49:38.900669,23:50:08.701920,-1,-1.0
1,23:49:38.900669,23:50:08.889118,-1,-1.0
1,23:49:38.900669,23:50:09.095064,1,-1.0
1,23:49:38.900669,23:50:09.292995,1,-1.0
1,23:49:38.900669,23:50:09.502154,1,-1.0
1,23:49:38.900669,23:50:09.697665,-1,-1.0
1,23:49:38.900669,23:50:09.894032,-1,-1.0
1,23:49:38.900669,23:50:10.100141,-1,-1.0
1,23:49:38.900669,23:50:10.275782,-1,-1.0
1,23:49:38.900669,23:50:10.477900,1,-1.0
1,23:49:38.900669,23:50:10.684440,1,-1.0
1,23:49:38.900669,23:50:10.874814,1,-1.0
1,23:49:38.900669,23:50:11.104224,-1,-1.0
1,23:49:38.900669,23:50:11.301318,-1,-1.0
1,23:49:38.900669,23:50:11.543208,-1,-1.0
1,23:49:38.900669,23:50:11.739443,1,-1.0
1,23:49:38.900669,23:50:11.934404,1,-1.0
1,23:49:38.900669,23:50:12.131078,1,-1.0
1,23:49:38.900669,23:50:12.327594,1,-1.0
1,23:49:38.900669,23:50:12.567674,-1,-1.0
1,23:49:38.900669,23:50:12.754618,1,-1.0
1,23:49:38.900669,23:50:12.945692,1,-1.0
1,23:49:38.900669,23:50:13.139071,1,-1.0
1,23:49:38.900669,23:50:13.335265,-1,-1.0
1,23:49:38.900669,23:50:13.529305,1,-1.0
1,23:49:38.900669,23:50:13.866436,-1,-1.0
1,23:49:38.900669,23:50:14.057758,-1,-1.0
1,23:49:38.900669,23:50:14.236272,-1,-1.0
1,23:49:38.900669,23:50:14.430800,-1,-1.0
1,23:49:38.900669,23:50:14.628323,-1,-1.0
1,23:49:38.900669,23:50:14.835403,-1,-1.0
1,23:49:38.900669,23:50:15.032846,-1,-1.0
1,23:49:38.900669,23:50:15.276329,-1,-1.0
1,23:49:38.900669,23:50:15.460444,-1,-1.0
1,23:49:38.900669,23:50:15.667736,-1,-1.0
1,23:49:38.900669,23:50:15.876975,1,-1.0
1,23:49:38.900669,23:50:16.083223,1,-1.0
1,23:49:38.900669,23:50:16.346082,-1,-1.0
1,23:49:38.900669,23:50:16.542542,1,-1.0
1,23:49:38.900669,23:50:16.750997,1,-1.0
1,23:49:38.900669,23:50:16.972800,-1,-1.0
1,23:49:38.900669,23:50:17.170023,-1,-1.0
1,23:49:38.900669,23:50:17.378286,-1,-1.0
1,23:49:38.900669,23:50:17.593676,-1,-1.0
1,23:49:38.900669,23:50:17.790317,1,-1.0
1,23:49:38.900669,23:50:18.006592,1,-1.0
1,23:49:38.900669,23:50:18.192497,-1,-1.0
1,23:49:38.900669,23:50:18.380490,1,-1.0
1,23:49:38.900669,23:50:18.589395,1,-1.0
1,23:49:38.900669,23:50:18.755087,-1,-1.0
1,23:49:38.900669,23:50:18.973714,-1,-1.0
1,23:49:38.900669,23:50:19.181594,-1,-1.0
1,23:49:38.900669,23:50:19.392450,1,-1.0
1,23:49:38.900669,23:50:19.600979,1,-1.0
