Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:12:33.372494,12:12:34.807959,1,-1.0
1,12:12:33.372494,12:12:35.465191,1,-1.0
1,12:12:33.372494,12:12:35.654050,1,-1.0
1,12:12:33.372494,12:12:35.816653,1,-1.0
1,12:12:33.372494,12:12:35.985234,1,-1.0
1,12:12:33.372494,12:12:36.162918,1,-1.0
1,12:12:33.372494,12:12:36.338266,1,-1.0
1,12:12:33.372494,12:12:36.522641,1,-1.0
1,12:12:33.372494,12:12:36.695408,1,-1.0
1,12:12:33.372494,12:12:36.862170,1,-1.0
1,12:12:33.372494,12:12:37.038237,1,-1.0
1,12:12:33.372494,12:12:37.575448,1,-1.0
1,12:12:33.372494,12:12:37.918825,1,-1.0
1,12:12:33.372494,12:12:38.167992,1,-1.0
1,12:12:33.372494,12:12:38.462168,1,-1.0
1,12:12:33.372494,12:12:38.731996,1,-1.0
1,12:12:33.372494,12:12:39.680251,1,-1.0
1,12:12:33.372494,12:12:39.848176,1,-1.0
1,12:12:33.372494,12:12:40.014790,1,-1.0
1,12:12:33.372494,12:12:40.169142,1,-1.0
1,12:12:33.372494,12:12:40.324966,1,-1.0
1,12:12:33.372494,12:12:40.785312,1,-1.0
1,12:12:33.372494,12:12:40.953235,1,-1.0
1,12:12:33.372494,12:12:41.131254,1,-1.0
1,12:12:33.372494,12:12:41.307880,1,-1.0
1,12:12:33.372494,12:12:41.454979,1,-1.0
1,12:12:33.372494,12:12:42.603011,1,-1.0
1,12:12:33.372494,12:12:42.773328,1,-1.0
1,12:12:33.372494,12:12:42.939146,1,-1.0
1,12:12:33.372494,12:12:43.103950,1,-1.0
1,12:12:33.372494,12:12:43.276552,1,-1.0
1,12:12:33.372494,12:12:43.748844,1,-1.0
1,12:12:33.372494,12:12:43.893645,1,-1.0
1,12:12:33.372494,12:12:44.081813,1,-1.0
1,12:12:33.372494,12:12:44.223836,1,-1.0
1,12:12:33.372494,12:12:44.357924,1,-1.0
1,12:12:33.372494,12:12:44.502298,1,-1.0
1,12:12:33.372494,12:12:44.602497,1,-1.0
1,12:12:33.372494,12:12:44.767716,1,-1.0
1,12:12:33.372494,12:12:45.169516,1,-1.0
1,12:12:33.372494,12:12:45.344982,1,-1.0
1,12:12:33.372494,12:12:45.503925,1,-1.0
1,12:12:33.372494,12:12:45.660043,1,-1.0
1,12:12:33.372494,12:12:45.815430,1,-1.0
1,12:12:33.372494,12:12:45.960798,1,-1.0
1,12:12:33.372494,12:12:46.128951,1,-1.0
1,12:12:33.372494,12:12:46.358851,1,-1.0
1,12:12:33.372494,12:12:46.523541,1,-1.0
1,12:12:33.372494,12:12:46.680833,1,-1.0
1,12:12:33.372494,12:12:46.815048,1,-1.0
1,12:12:33.372494,12:12:46.970685,1,-1.0
1,12:12:33.372494,12:12:47.116558,1,-1.0
1,12:12:33.372494,12:12:47.484287,1,-1.0
1,12:12:33.372494,12:12:47.650318,1,-1.0
1,12:12:33.372494,12:12:47.825633,1,-1.0
1,12:12:33.372494,12:12:48.000199,1,-1.0
1,12:12:33.372494,12:12:48.176557,1,-1.0
1,12:12:33.372494,12:12:48.332174,1,-1.0
1,12:12:33.372494,12:12:48.520285,1,-1.0
1,12:12:33.372494,12:12:49.228821,-1,-1.0
1,12:12:33.372494,12:12:49.405233,-1,-1.0
1,12:12:33.372494,12:12:49.572745,-1,-1.0
1,12:12:33.372494,12:12:49.951154,-1,-1.0
1,12:12:33.372494,12:12:50.136716,-1,-1.0
1,12:12:33.372494,12:12:50.300259,-1,-1.0
1,12:12:33.372494,12:12:50.465710,-1,-1.0
1,12:12:33.372494,12:12:50.651621,-1,-1.0
1,12:12:33.372494,12:12:50.805068,-1,-1.0
1,12:12:33.372494,12:12:50.976872,-1,-1.0
1,12:12:33.372494,12:12:51.144730,-1,-1.0
1,12:12:33.372494,12:12:51.312019,-1,-1.0
1,12:12:33.372494,12:12:51.489957,-1,-1.0
1,12:12:33.372494,12:12:51.654674,-1,-1.0
1,12:12:33.372494,12:12:52.312210,1,-1.0
1,12:12:33.372494,12:12:52.476752,1,-1.0
1,12:12:33.372494,12:12:52.645501,1,-1.0
1,12:12:33.372494,12:12:52.801839,1,-1.0
1,12:12:33.372494,12:12:52.955082,1,-1.0
