Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:33:46.251888,15:33:48.542728,1,-1.0
1,15:33:46.251888,15:33:48.787689,1,-1.0
1,15:33:46.251888,15:33:49.021525,1,-1.0
1,15:33:46.251888,15:33:49.247708,1,-1.0
1,15:33:46.251888,15:33:49.452833,1,-1.0
1,15:33:46.251888,15:33:49.670231,1,-1.0
1,15:33:46.251888,15:33:54.336852,1,-1.0
1,15:33:46.251888,15:33:54.561538,1,-1.0
1,15:33:46.251888,15:33:54.766227,1,-1.0
1,15:33:46.251888,15:33:54.990984,1,-1.0
1,15:33:46.251888,15:33:55.205279,1,-1.0
1,15:33:46.251888,15:33:56.407704,-1,-1.0
1,15:33:46.251888,15:33:56.603319,-1,-1.0
1,15:33:46.251888,15:33:56.820750,-1,-1.0
1,15:33:46.251888,15:33:57.005434,-1,-1.0
1,15:33:46.251888,15:33:57.220833,-1,-1.0
1,15:33:46.251888,15:33:57.428011,-1,-1.0
1,15:33:46.251888,15:34:00.266290,1,-1.0
1,15:33:46.251888,15:34:00.502441,1,-1.0
1,15:33:46.251888,15:34:00.747996,1,-1.0
1,15:33:46.251888,15:34:00.986039,1,-1.0
1,15:33:46.251888,15:34:01.202056,1,-1.0
1,15:33:46.251888,15:34:01.417568,1,-1.0
1,15:33:46.251888,15:34:01.824850,-1,-1.0
1,15:33:46.251888,15:34:01.999886,-1,-1.0
1,15:33:46.251888,15:34:02.242829,-1,-1.0
1,15:33:46.251888,15:34:02.446316,-1,-1.0
1,15:33:46.251888,15:34:02.641013,-1,-1.0
1,15:33:46.251888,15:34:02.835938,-1,-1.0
1,15:33:46.251888,15:34:03.071598,-1,-1.0
1,15:33:46.251888,15:34:03.886236,-1,-1.0
1,15:33:46.251888,15:34:04.132170,-1,-1.0
1,15:33:46.251888,15:34:04.347623,-1,-1.0
1,15:33:46.251888,15:34:04.591531,1,-1.0
1,15:33:46.251888,15:34:04.809192,1,-1.0
1,15:33:46.251888,15:34:05.531849,-1,-1.0
1,15:33:46.251888,15:34:05.726377,-1,-1.0
1,15:33:46.251888,15:34:05.972961,-1,-1.0
1,15:33:46.251888,15:34:06.203384,-1,-1.0
1,15:33:46.251888,15:34:06.406633,-1,-1.0
1,15:33:46.251888,15:34:07.729492,-1,-1.0
1,15:33:46.251888,15:34:08.125215,1,-1.0
1,15:33:46.251888,15:34:08.332409,1,-1.0
1,15:33:46.251888,15:34:08.536662,1,-1.0
1,15:33:46.251888,15:34:08.774402,-1,-1.0
1,15:33:46.251888,15:34:08.960977,-1,-1.0
1,15:33:46.251888,15:34:09.167423,-1,-1.0
1,15:33:46.251888,15:34:09.359500,1,-1.0
1,15:33:46.251888,15:34:09.752063,-1,-1.0
1,15:33:46.251888,15:34:09.954899,1,-1.0
1,15:33:46.251888,15:34:10.155489,1,-1.0
1,15:33:46.251888,15:34:10.361301,1,-1.0
1,15:33:46.251888,15:34:10.567720,1,-1.0
1,15:33:46.251888,15:34:10.733478,1,-1.0
1,15:33:46.251888,15:34:11.044216,-1,-1.0
1,15:33:46.251888,15:34:11.230093,-1,-1.0
1,15:33:46.251888,15:34:11.446192,-1,-1.0
1,15:33:46.251888,15:34:11.663395,-1,-1.0
1,15:33:46.251888,15:34:11.868886,1,-1.0
1,15:33:46.251888,15:34:12.375788,-1,-1.0
1,15:33:46.251888,15:34:12.579259,1,-1.0
1,15:33:46.251888,15:34:12.783206,1,-1.0
1,15:33:46.251888,15:34:12.990699,1,-1.0
1,15:33:46.251888,15:34:13.237994,1,-1.0
1,15:33:46.251888,15:34:13.442275,1,-1.0
1,15:33:46.251888,15:34:13.731769,-1,-1.0
1,15:33:46.251888,15:34:13.948273,-1,-1.0
1,15:33:46.251888,15:34:14.186670,-1,-1.0
1,15:33:46.251888,15:34:14.401390,-1,-1.0
1,15:33:46.251888,15:34:14.608137,1,-1.0
1,15:33:46.251888,15:34:14.826830,1,-1.0
1,15:33:46.251888,15:34:15.146584,-1,-1.0
1,15:33:46.251888,15:34:15.359321,1,-1.0
1,15:33:46.251888,15:34:15.564947,1,-1.0
1,15:33:46.251888,15:34:15.789144,1,-1.0
1,15:33:46.251888,15:34:15.993934,1,-1.0
1,15:33:46.251888,15:34:16.189153,1,-1.0
1,15:33:46.251888,15:34:16.415372,-1,-1.0
1,15:33:46.251888,15:34:16.632039,-1,-1.0
1,15:33:46.251888,15:34:16.878724,1,-1.0
1,15:33:46.251888,15:34:17.094567,1,-1.0
1,15:33:46.251888,15:34:17.307535,1,-1.0
1,15:33:46.251888,15:34:17.555143,-1,-1.0
1,15:33:46.251888,15:34:17.761610,1,-1.0
1,15:33:46.251888,15:34:17.976741,1,-1.0
