Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:14:07.748726,12:14:08.771447,1,-1.0
1,12:14:07.748726,12:14:09.123685,1,-1.0
1,12:14:07.748726,12:14:09.560658,1,-1.0
1,12:14:07.748726,12:14:10.325550,1,-1.0
1,12:14:07.748726,12:14:10.739434,1,-1.0
1,12:14:07.748726,12:14:11.078972,1,-1.0
1,12:14:07.748726,12:14:11.515523,1,-1.0
1,12:14:07.748726,12:14:11.834803,1,-1.0
1,12:14:07.748726,12:14:12.102436,1,-1.0
1,12:14:07.748726,12:14:12.368803,1,-1.0
1,12:14:07.748726,12:14:12.659443,1,-1.0
1,12:14:07.748726,12:14:12.973014,1,-1.0
1,12:14:07.748726,12:14:13.622789,1,-1.0
1,12:14:07.748726,12:14:13.862780,1,-1.0
1,12:14:07.748726,12:14:14.150707,1,-1.0
1,12:14:07.748726,12:14:14.379035,1,-1.0
1,12:14:07.748726,12:14:14.575588,1,-1.0
1,12:14:07.748726,12:14:14.778854,1,-1.0
1,12:14:07.748726,12:14:14.984951,1,-1.0
1,12:14:07.748726,12:14:15.153792,1,-1.0
1,12:14:07.748726,12:14:15.338805,1,-1.0
1,12:14:07.748726,12:14:15.644048,1,-1.0
1,12:14:07.748726,12:14:15.807795,1,-1.0
1,12:14:07.748726,12:14:15.984221,1,-1.0
1,12:14:07.748726,12:14:16.159631,1,-1.0
1,12:14:07.748726,12:14:16.325424,1,-1.0
1,12:14:07.748726,12:14:16.689159,1,-1.0
1,12:14:07.748726,12:14:16.875396,1,-1.0
1,12:14:07.748726,12:14:17.040448,1,-1.0
1,12:14:07.748726,12:14:17.203742,1,-1.0
1,12:14:07.748726,12:14:17.399436,1,-1.0
1,12:14:07.748726,12:14:18.049494,1,-1.0
1,12:14:07.748726,12:14:18.225074,1,-1.0
1,12:14:07.748726,12:14:18.410922,1,-1.0
1,12:14:07.748726,12:14:18.584281,1,-1.0
1,12:14:07.748726,12:14:18.748419,1,-1.0
1,12:14:07.748726,12:14:18.978362,1,-1.0
1,12:14:07.748726,12:14:20.205641,1,-1.0
1,12:14:07.748726,12:14:20.671894,1,-1.0
1,12:14:07.748726,12:14:21.025493,1,-1.0
1,12:14:07.748726,12:14:21.669192,1,-1.0
1,12:14:07.748726,12:14:21.855848,1,-1.0
1,12:14:07.748726,12:14:22.053620,1,-1.0
