Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:59:58.264915,23:59:59.541557,-1,-1.0
1,23:59:58.264915,23:59:59.736394,-1,-1.0
1,23:59:58.264915,00:00:01.308431,-1,-1.0
1,23:59:58.264915,00:00:01.513891,-1,-1.0
1,23:59:58.264915,00:00:01.712914,-1,-1.0
1,23:59:58.264915,00:00:02.856386,-1,-1.0
1,23:59:58.264915,00:00:03.063387,-1,-1.0
1,23:59:58.264915,00:00:03.311551,-1,-1.0
1,23:59:58.264915,00:00:03.536577,1,-1.0
1,23:59:58.264915,00:00:03.721877,1,-1.0
1,23:59:58.264915,00:00:04.182751,-1,-1.0
1,23:59:58.264915,00:00:04.391441,-1,-1.0
1,23:59:58.264915,00:00:04.598522,-1,-1.0
1,23:59:58.264915,00:00:04.829904,1,-1.0
1,23:59:58.264915,00:00:06.036729,-1,-1.0
1,23:59:58.264915,00:00:06.243913,1,-1.0
1,23:59:58.264915,00:00:06.474632,1,-1.0
1,23:59:58.264915,00:00:06.671076,1,-1.0
1,23:59:58.264915,00:00:06.866420,1,-1.0
1,23:59:58.264915,00:00:11.038937,1,-1.0
1,23:59:58.264915,00:00:11.214499,1,-1.0
1,23:59:58.264915,00:00:11.446518,1,-1.0
1,23:59:58.264915,00:00:11.649666,1,-1.0
1,23:59:58.264915,00:00:11.837939,1,-1.0
1,23:59:58.264915,00:00:12.056618,1,-1.0
1,23:59:58.264915,00:00:15.848814,1,-1.0
1,23:59:58.264915,00:00:16.014807,1,-1.0
1,23:59:58.264915,00:00:16.234372,1,-1.0
1,23:59:58.264915,00:00:16.441879,1,-1.0
1,23:59:58.264915,00:00:16.650963,1,-1.0
1,23:59:58.264915,00:00:17.313252,-1,-1.0
1,23:59:58.264915,00:00:17.533871,-1,-1.0
1,23:59:58.264915,00:00:17.736184,-1,-1.0
1,23:59:58.264915,00:00:17.945328,-1,-1.0
1,23:59:58.264915,00:00:18.184104,-1,-1.0
1,23:59:58.264915,00:00:18.455042,-1,-1.0
1,23:59:58.264915,00:00:18.704493,1,-1.0
1,23:59:58.264915,00:00:18.871594,1,-1.0
1,23:59:58.264915,00:00:19.069059,1,-1.0
1,23:59:58.264915,00:00:19.279435,1,-1.0
1,23:59:58.264915,00:00:19.479321,1,-1.0
1,23:59:58.264915,00:00:19.889890,-1,-1.0
1,23:59:58.264915,00:00:20.098116,-1,-1.0
1,23:59:58.264915,00:00:20.305851,-1,-1.0
1,23:59:58.264915,00:00:20.525813,-1,-1.0
1,23:59:58.264915,00:00:20.743696,-1,-1.0
1,23:59:58.264915,00:00:20.953095,-1,-1.0
1,23:59:58.264915,00:00:21.246776,1,-1.0
1,23:59:58.264915,00:00:21.446150,1,-1.0
1,23:59:58.264915,00:00:21.656734,1,-1.0
1,23:59:58.264915,00:00:21.868816,1,-1.0
1,23:59:58.264915,00:00:22.079749,1,-1.0
1,23:59:58.264915,00:00:22.672410,-1,-1.0
1,23:59:58.264915,00:00:22.881322,-1,-1.0
1,23:59:58.264915,00:00:23.088164,-1,-1.0
1,23:59:58.264915,00:00:23.498502,-1,-1.0
1,23:59:58.264915,00:00:23.718891,-1,-1.0
1,23:59:58.264915,00:00:23.926533,1,-1.0
1,23:59:58.264915,00:00:24.113396,1,-1.0
1,23:59:58.264915,00:00:24.302175,1,-1.0
1,23:59:58.264915,00:00:24.508909,1,-1.0
1,23:59:58.264915,00:00:24.719579,1,-1.0
1,23:59:58.264915,00:00:24.906329,1,-1.0
1,23:59:58.264915,00:00:25.201389,-1,-1.0
1,23:59:58.264915,00:00:25.396146,-1,-1.0
1,23:59:58.264915,00:00:25.603891,-1,-1.0
1,23:59:58.264915,00:00:25.799096,-1,-1.0
1,23:59:58.264915,00:00:25.997685,-1,-1.0
1,23:59:58.264915,00:00:26.184595,-1,-1.0
1,23:59:58.264915,00:00:26.361380,1,-1.0
1,23:59:58.264915,00:00:26.548837,1,-1.0
1,23:59:58.264915,00:00:26.722291,1,-1.0
1,23:59:58.264915,00:00:26.931126,1,-1.0
1,23:59:58.264915,00:00:27.142607,1,-1.0
1,23:59:58.264915,00:00:27.320304,1,-1.0
1,23:59:58.264915,00:00:27.506553,-1,-1.0
1,23:59:58.264915,00:00:27.673971,1,-1.0
1,23:59:58.264915,00:00:27.882167,1,-1.0
1,23:59:58.264915,00:00:28.089239,-1,-1.0
1,23:59:58.264915,00:00:28.277853,-1,-1.0
1,23:59:58.264915,00:00:28.498927,-1,-1.0
1,23:59:58.264915,00:00:28.727657,1,-1.0
1,23:59:58.264915,00:00:28.890949,1,-1.0
1,23:59:58.264915,00:00:29.110959,1,-1.0
1,23:59:58.264915,00:00:29.320399,1,-1.0
1,23:59:58.264915,00:00:29.528818,1,-1.0
1,23:59:58.264915,00:00:29.737557,1,-1.0
1,23:59:58.264915,00:00:29.937820,-1,-1.0
1,23:59:58.264915,00:00:30.132758,1,-1.0
1,23:59:58.264915,00:00:30.404798,-1,-1.0
1,23:59:58.264915,00:00:30.591508,-1,-1.0
