Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:12:39.063268,16:12:39.080780,1,-1.0
1,16:12:39.063268,16:12:39.241817,1,-1.0
1,16:12:39.063268,16:12:39.388329,1,-1.0
1,16:12:39.063268,16:12:39.560597,1,-1.0
1,16:12:39.063268,16:12:39.715233,1,-1.0
1,16:12:39.063268,16:12:39.826424,1,-1.0
1,16:12:39.063268,16:12:40.116806,1,-1.0
1,16:12:39.063268,16:12:40.280320,-1,-1.0
1,16:12:39.063268,16:12:40.453132,-1,-1.0
1,16:12:39.063268,16:12:40.624366,-1,-1.0
1,16:12:39.063268,16:12:40.807559,-1,-1.0
1,16:12:39.063268,16:12:40.951033,-1,-1.0
1,16:12:39.063268,16:12:41.283519,1,-1.0
1,16:12:39.063268,16:12:41.341768,-1,-1.0
1,16:12:39.063268,16:12:41.411400,1,-1.0
1,16:12:39.063268,16:12:41.523567,-1,-1.0
1,16:12:39.063268,16:12:41.591885,-1,-1.0
1,16:12:39.063268,16:12:41.651494,1,-1.0
1,16:12:39.063268,16:12:41.760879,-1,-1.0
1,16:12:39.063268,16:12:41.893114,1,-1.0
1,16:12:39.063268,16:12:42.013457,-1,-1.0
1,16:12:39.063268,16:12:42.115294,1,-1.0
1,16:12:39.063268,16:12:42.236210,-1,-1.0
1,16:12:39.063268,16:12:42.367155,1,-1.0
1,16:12:39.063268,16:12:42.499742,-1,-1.0
1,16:12:39.063268,16:12:42.600803,-1,-1.0
1,16:12:39.063268,16:12:42.721157,-1,-1.0
1,16:12:39.063268,16:12:42.843104,-1,-1.0
1,16:12:39.063268,16:12:42.987041,1,-1.0
1,16:12:39.063268,16:12:43.098784,1,-1.0
1,16:12:39.063268,16:12:43.230896,1,-1.0
1,16:12:39.063268,16:12:43.351635,1,-1.0
1,16:12:39.063268,16:12:43.461519,1,-1.0
1,16:12:39.063268,16:12:43.645647,-1,-1.0
1,16:12:39.063268,16:12:43.794876,-1,-1.0
1,16:12:39.063268,16:12:43.950441,-1,-1.0
1,16:12:39.063268,16:12:44.091626,-1,-1.0
1,16:12:39.063268,16:12:44.235284,-1,-1.0
1,16:12:39.063268,16:12:44.367380,-1,-1.0
1,16:12:39.063268,16:12:44.553160,-1,-1.0
1,16:12:39.063268,16:12:44.673879,1,-1.0
1,16:12:39.063268,16:12:44.794074,1,-1.0
1,16:12:39.063268,16:12:44.929202,1,-1.0
1,16:12:39.063268,16:12:45.070141,1,-1.0
1,16:12:39.063268,16:12:45.170875,1,-1.0
1,16:12:39.063268,16:12:45.343102,-1,-1.0
1,16:12:39.063268,16:12:45.433231,-1,-1.0
1,16:12:39.063268,16:12:45.655147,-1,-1.0
1,16:12:39.063268,16:12:45.673230,-1,-1.0
1,16:12:39.063268,16:12:45.773695,-1,-1.0
1,16:12:39.063268,16:12:46.022069,-1,-1.0
1,16:12:39.063268,16:12:46.163067,-1,-1.0
1,16:12:39.063268,16:12:46.284995,-1,-1.0
1,16:12:39.063268,16:12:46.424749,1,-1.0
1,16:12:39.063268,16:12:46.568943,1,-1.0
1,16:12:39.063268,16:12:46.619021,-1,-1.0
1,16:12:39.063268,16:12:46.759911,-1,-1.0
