Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:56:03.604046,15:56:05.913449,-1,-1.0
1,15:56:03.604046,15:56:06.025809,-1,-1.0
1,15:56:03.604046,15:56:06.232613,1,-1.0
1,15:56:03.604046,15:56:06.435093,1,-1.0
1,15:56:03.604046,15:56:07.368761,-1,-1.0
1,15:56:03.604046,15:56:07.582141,1,-1.0
1,15:56:03.604046,15:56:07.820179,1,-1.0
1,15:56:03.604046,15:56:08.014857,1,-1.0
1,15:56:03.604046,15:56:08.788042,1,-1.0
1,15:56:03.604046,15:56:08.993103,1,-1.0
1,15:56:03.604046,15:56:09.175763,1,-1.0
1,15:56:03.604046,15:56:09.329955,1,-1.0
1,15:56:03.604046,15:56:09.922453,-1,-1.0
1,15:56:03.604046,15:56:10.149892,1,-1.0
1,15:56:03.604046,15:56:10.363308,1,-1.0
1,15:56:03.604046,15:56:10.546119,-1,-1.0
1,15:56:03.604046,15:56:10.753342,-1,-1.0
1,15:56:03.604046,15:56:11.435948,1,-1.0
1,15:56:03.604046,15:56:11.609402,-1,-1.0
1,15:56:03.604046,15:56:11.771712,-1,-1.0
1,15:56:03.604046,15:56:11.948727,-1,-1.0
1,15:56:03.604046,15:56:12.123370,-1,-1.0
1,15:56:03.604046,15:56:12.541986,-1,-1.0
1,15:56:03.604046,15:56:12.760965,-1,-1.0
1,15:56:03.604046,15:56:12.975868,-1,-1.0
1,15:56:03.604046,15:56:13.171322,1,-1.0
1,15:56:03.604046,15:56:14.063379,1,-1.0
1,15:56:03.604046,15:56:14.208332,1,-1.0
1,15:56:03.604046,15:56:14.391746,-1,-1.0
1,15:56:03.604046,15:56:14.691784,-1,-1.0
1,15:56:03.604046,15:56:14.883238,1,-1.0
1,15:56:03.604046,15:56:15.008563,1,-1.0
1,15:56:03.604046,15:56:15.151699,1,-1.0
1,15:56:03.604046,15:56:15.304312,-1,-1.0
1,15:56:03.604046,15:56:15.444589,1,-1.0
1,15:56:03.604046,15:56:15.910346,-1,-1.0
1,15:56:03.604046,15:56:16.102875,-1,-1.0
1,15:56:03.604046,15:56:16.278536,-1,-1.0
1,15:56:03.604046,15:56:16.472273,-1,-1.0
1,15:56:03.604046,15:56:16.665984,-1,-1.0
1,15:56:03.604046,15:56:17.200055,-1,-1.0
1,15:56:03.604046,15:56:17.321594,-1,-1.0
1,15:56:03.604046,15:56:17.507017,1,-1.0
1,15:56:03.604046,15:56:17.661548,1,-1.0
1,15:56:03.604046,15:56:17.970673,1,-1.0
1,15:56:03.604046,15:56:18.469634,-1,-1.0
1,15:56:03.604046,15:56:18.675020,-1,-1.0
1,15:56:03.604046,15:56:18.848884,-1,-1.0
1,15:56:03.604046,15:56:19.042494,-1,-1.0
1,15:56:03.604046,15:56:19.236199,-1,-1.0
1,15:56:03.604046,15:56:19.429464,-1,-1.0
1,15:56:03.604046,15:56:19.708523,1,-1.0
1,15:56:03.604046,15:56:19.862179,1,-1.0
1,15:56:03.604046,15:56:20.387456,1,-1.0
1,15:56:03.604046,15:56:20.529708,1,-1.0
