Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:43:16.073351,15:43:17.038640,1,-1.0
1,15:43:16.073351,15:43:17.287653,1,-1.0
1,15:43:16.073351,15:43:19.596846,1,-1.0
1,15:43:16.073351,15:43:19.823679,1,-1.0
1,15:43:16.073351,15:43:21.862324,-1,-1.0
1,15:43:16.073351,15:43:22.112617,-1,-1.0
1,15:43:16.073351,15:43:22.346812,-1,-1.0
1,15:43:16.073351,15:43:22.573243,-1,-1.0
1,15:43:16.073351,15:43:22.787652,-1,-1.0
1,15:43:16.073351,15:43:23.023908,-1,-1.0
1,15:43:16.073351,15:43:23.594959,-1,-1.0
1,15:43:16.073351,15:43:23.821785,-1,-1.0
1,15:43:16.073351,15:43:24.025449,-1,-1.0
1,15:43:16.073351,15:43:24.241564,-1,-1.0
1,15:43:16.073351,15:43:24.989946,-1,-1.0
1,15:43:16.073351,15:43:25.192685,1,-1.0
1,15:43:16.073351,15:43:25.428358,1,-1.0
1,15:43:16.073351,15:43:25.643109,1,-1.0
1,15:43:16.073351,15:43:25.990830,-1,-1.0
1,15:43:16.073351,15:43:26.613794,-1,-1.0
1,15:43:16.073351,15:43:26.860136,-1,-1.0
1,15:43:16.073351,15:43:29.224619,1,-1.0
1,15:43:16.073351,15:43:29.420547,1,-1.0
1,15:43:16.073351,15:43:29.625286,1,-1.0
1,15:43:16.073351,15:43:29.820080,1,-1.0
1,15:43:16.073351,15:43:30.005351,1,-1.0
1,15:43:16.073351,15:43:31.354292,-1,-1.0
1,15:43:16.073351,15:43:31.536425,-1,-1.0
1,15:43:16.073351,15:43:31.722061,-1,-1.0
1,15:43:16.073351,15:43:31.928243,1,-1.0
1,15:43:16.073351,15:43:32.163488,1,-1.0
1,15:43:16.073351,15:43:32.433405,-1,-1.0
1,15:43:16.073351,15:43:32.815155,1,-1.0
1,15:43:16.073351,15:43:33.019004,1,-1.0
1,15:43:16.073351,15:43:33.235015,1,-1.0
1,15:43:16.073351,15:43:33.443313,1,-1.0
1,15:43:16.073351,15:43:33.638012,1,-1.0
1,15:43:16.073351,15:43:33.843939,-1,-1.0
1,15:43:16.073351,15:43:34.234684,1,-1.0
1,15:43:16.073351,15:43:34.463595,1,-1.0
1,15:43:16.073351,15:43:34.649585,1,-1.0
1,15:43:16.073351,15:43:34.854878,1,-1.0
1,15:43:16.073351,15:43:35.059055,-1,-1.0
1,15:43:16.073351,15:43:35.264474,-1,-1.0
1,15:43:16.073351,15:43:35.561709,1,-1.0
1,15:43:16.073351,15:43:35.796640,1,-1.0
1,15:43:16.073351,15:43:36.012462,1,-1.0
1,15:43:16.073351,15:43:36.246440,1,-1.0
1,15:43:16.073351,15:43:36.451768,-1,-1.0
1,15:43:16.073351,15:43:37.816550,1,-1.0
1,15:43:16.073351,15:43:38.031374,1,-1.0
1,15:43:16.073351,15:43:38.217679,-1,-1.0
1,15:43:16.073351,15:43:38.421125,-1,-1.0
1,15:43:16.073351,15:43:38.627685,-1,-1.0
1,15:43:16.073351,15:43:38.819878,-1,-1.0
1,15:43:16.073351,15:43:39.110492,1,-1.0
1,15:43:16.073351,15:43:39.313972,1,-1.0
1,15:43:16.073351,15:43:39.507368,-1,-1.0
1,15:43:16.073351,15:43:39.703385,-1,-1.0
1,15:43:16.073351,15:43:39.897507,-1,-1.0
1,15:43:16.073351,15:43:40.144558,1,-1.0
1,15:43:16.073351,15:43:40.371144,1,-1.0
1,15:43:16.073351,15:43:40.543902,-1,-1.0
1,15:43:16.073351,15:43:40.750249,-1,-1.0
1,15:43:16.073351,15:43:40.955257,-1,-1.0
1,15:43:16.073351,15:43:41.160156,1,-1.0
1,15:43:16.073351,15:43:41.439132,-1,-1.0
1,15:43:16.073351,15:43:41.653119,1,-1.0
1,15:43:16.073351,15:43:41.817636,1,-1.0
1,15:43:16.073351,15:43:42.043200,-1,-1.0
1,15:43:16.073351,15:43:42.256391,-1,-1.0
1,15:43:16.073351,15:43:42.448593,-1,-1.0
1,15:43:16.073351,15:43:42.644653,-1,-1.0
1,15:43:16.073351,15:43:42.841669,-1,-1.0
1,15:43:16.073351,15:43:43.045551,1,-1.0
1,15:43:16.073351,15:43:47.990957,1,-1.0
1,15:43:16.073351,15:43:48.194916,1,-1.0
1,15:43:16.073351,15:43:48.380815,-1,-1.0
1,15:43:16.073351,15:43:48.564674,1,-1.0
1,15:43:16.073351,15:43:48.769326,1,-1.0
1,15:43:16.073351,15:43:49.613260,-1,-1.0
1,15:43:16.073351,15:43:49.799360,-1,-1.0
1,15:43:16.073351,15:43:49.974464,-1,-1.0
1,15:43:16.073351,15:43:50.157666,-1,-1.0
1,15:43:16.073351,15:43:50.364297,-1,-1.0
1,15:43:16.073351,15:43:51.009957,1,-1.0
1,15:43:16.073351,15:43:51.232845,1,-1.0
1,15:43:16.073351,15:43:51.427575,1,-1.0
1,15:43:16.073351,15:43:51.666434,1,-1.0
1,15:43:16.073351,15:43:51.883099,1,-1.0
1,15:43:16.073351,15:43:52.144986,1,-1.0
1,15:43:16.073351,15:43:52.654190,-1,-1.0
1,15:43:16.073351,15:43:52.850496,-1,-1.0
1,15:43:16.073351,15:43:53.046167,-1,-1.0
1,15:43:16.073351,15:43:53.263388,-1,-1.0
1,15:43:16.073351,15:43:53.499379,-1,-1.0
1,15:43:16.073351,15:43:53.714459,-1,-1.0
1,15:43:16.073351,15:43:53.920211,-1,-1.0
1,15:43:16.073351,15:43:54.251195,1,-1.0
1,15:43:16.073351,15:43:54.456996,-1,-1.0
1,15:43:16.073351,15:43:54.661786,1,-1.0
1,15:43:16.073351,15:43:54.876515,1,-1.0
1,15:43:16.073351,15:43:55.101261,1,-1.0
1,15:43:16.073351,15:43:55.328238,-1,-1.0
1,15:43:16.073351,15:43:55.901033,-1,-1.0
1,15:43:16.073351,15:43:56.094331,-1,-1.0
1,15:43:16.073351,15:43:56.302080,-1,-1.0
1,15:43:16.073351,15:43:56.506527,-1,-1.0
1,15:43:16.073351,15:43:56.700540,-1,-1.0
1,15:43:16.073351,15:43:56.904397,-1,-1.0
1,15:43:16.073351,15:43:57.014643,-1,-1.0
1,15:43:16.073351,15:43:57.189630,1,-1.0
1,15:43:16.073351,15:43:57.384418,-1,-1.0
1,15:43:16.073351,15:43:57.587783,1,-1.0
1,15:43:16.073351,15:43:57.802101,1,-1.0
1,15:43:16.073351,15:43:57.996756,1,-1.0
1,15:43:16.073351,15:43:58.335044,-1,-1.0
1,15:43:16.073351,15:43:58.517613,-1,-1.0
1,15:43:16.073351,15:43:58.709417,-1,-1.0
1,15:43:16.073351,15:43:58.916342,-1,-1.0
1,15:43:16.073351,15:43:59.117964,-1,-1.0
1,15:43:16.073351,15:43:59.322531,-1,-1.0
1,15:43:16.073351,15:43:59.877130,-1,-1.0
1,15:43:16.073351,15:44:00.070836,1,-1.0
1,15:43:16.073351,15:44:00.267603,1,-1.0
1,15:43:16.073351,15:44:00.474630,1,-1.0
1,15:43:16.073351,15:44:00.703574,1,-1.0
1,15:43:16.073351,15:44:00.918392,1,-1.0
1,15:43:16.073351,15:44:01.240047,-1,-1.0
1,15:43:16.073351,15:44:01.434708,-1,-1.0
1,15:43:16.073351,15:44:01.620388,-1,-1.0
1,15:43:16.073351,15:44:01.835057,-1,-1.0
1,15:43:16.073351,15:44:02.040591,-1,-1.0
1,15:43:16.073351,15:44:02.268698,-1,-1.0
1,15:43:16.073351,15:44:02.671345,-1,-1.0
1,15:43:16.073351,15:44:02.854856,1,-1.0
1,15:43:16.073351,15:44:03.061874,1,-1.0
1,15:43:16.073351,15:44:03.267548,1,-1.0
1,15:43:16.073351,15:44:03.469569,1,-1.0
1,15:43:16.073351,15:44:03.674215,1,-1.0
1,15:43:16.073351,15:44:03.868457,1,-1.0
1,15:43:16.073351,15:44:04.187714,-1,-1.0
1,15:43:16.073351,15:44:04.373148,-1,-1.0
1,15:43:16.073351,15:44:04.597910,-1,-1.0
1,15:43:16.073351,15:44:04.814550,-1,-1.0
1,15:43:16.073351,15:44:05.018969,-1,-1.0
1,15:43:16.073351,15:44:05.243561,1,-1.0
1,15:43:16.073351,15:44:05.564059,1,-1.0
1,15:43:16.073351,15:44:05.767649,1,-1.0
1,15:43:16.073351,15:44:05.984524,1,-1.0
1,15:43:16.073351,15:44:06.221085,1,-1.0
1,15:43:16.073351,15:44:06.428900,1,-1.0
1,15:43:16.073351,15:44:06.643543,1,-1.0
1,15:43:16.073351,15:44:06.836731,1,-1.0
1,15:43:16.073351,15:44:07.040606,-1,-1.0
1,15:43:16.073351,15:44:07.255096,-1,-1.0
1,15:43:16.073351,15:44:07.461462,-1,-1.0
1,15:43:16.073351,15:44:07.687778,-1,-1.0
1,15:43:16.073351,15:44:07.933013,-1,-1.0
1,15:43:16.073351,15:44:08.158629,1,-1.0
1,15:43:16.073351,15:44:09.901427,1,-1.0
1,15:43:16.073351,15:44:10.087714,1,-1.0
1,15:43:16.073351,15:44:10.310483,1,-1.0
1,15:43:16.073351,15:44:10.514724,1,-1.0
1,15:43:16.073351,15:44:10.740903,1,-1.0
1,15:43:16.073351,15:44:14.296869,1,-1.0
1,15:43:16.073351,15:44:14.478166,1,-1.0
1,15:43:16.073351,15:44:14.714504,1,-1.0
1,15:43:16.073351,15:44:14.933198,1,-1.0
1,15:43:16.073351,15:44:15.146411,1,-1.0
1,15:43:16.073351,15:44:15.528210,-1,-1.0
1,15:43:16.073351,15:44:15.733205,-1,-1.0
1,15:43:16.073351,15:44:15.917276,-1,-1.0
1,15:43:16.073351,15:44:16.133540,-1,-1.0
1,15:43:16.073351,15:44:16.350898,-1,-1.0
1,15:43:16.073351,15:44:16.544574,-1,-1.0
1,15:43:16.073351,15:44:16.769276,-1,-1.0
1,15:43:16.073351,15:44:17.027385,1,-1.0
1,15:43:16.073351,15:44:17.235160,1,-1.0
1,15:43:16.073351,15:44:17.440916,1,-1.0
1,15:43:16.073351,15:44:17.604568,1,-1.0
1,15:43:16.073351,15:44:17.766344,1,-1.0
1,15:43:16.073351,15:44:17.930703,1,-1.0
1,15:43:16.073351,15:44:18.102658,1,-1.0
1,15:43:16.073351,15:44:18.297202,-1,-1.0
1,15:43:16.073351,15:44:18.474170,-1,-1.0
1,15:43:16.073351,15:44:19.584811,-1,-1.0
1,15:43:16.073351,15:44:19.694615,1,-1.0
1,15:43:16.073351,15:44:19.826592,1,-1.0
1,15:43:16.073351,15:44:19.957524,1,-1.0
1,15:43:16.073351,15:44:20.087955,1,-1.0
1,15:43:16.073351,15:44:20.221454,1,-1.0
1,15:43:16.073351,15:44:20.344674,1,-1.0
1,15:43:16.073351,15:44:20.478078,1,-1.0
1,15:43:16.073351,15:44:20.691235,-1,-1.0
1,15:43:16.073351,15:44:20.854155,-1,-1.0
1,15:43:16.073351,15:44:21.029227,-1,-1.0
1,15:43:16.073351,15:44:21.190748,-1,-1.0
1,15:43:16.073351,15:44:21.364456,-1,-1.0
