Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:30:40.421302,15:30:51.700484,-1,-1.0
1,15:30:40.421302,15:30:59.872460,-1,-1.0
1,15:30:40.421302,15:31:01.702924,-1,-1.0
1,15:30:40.421302,15:31:03.052866,1,-1.0
1,15:30:40.421302,15:31:09.562491,-1,-1.0
1,15:30:40.421302,15:31:09.817568,1,-1.0
1,15:30:40.421302,15:31:10.052065,-1,-1.0
1,15:30:40.421302,15:31:10.327988,1,-1.0
1,15:30:40.421302,15:31:10.839719,1,-1.0
1,15:30:40.421302,15:31:11.084140,1,-1.0
1,15:30:40.421302,15:31:11.291671,1,-1.0
1,15:30:40.421302,15:31:13.494926,-1,-1.0
1,15:30:40.421302,15:31:13.758650,-1,-1.0
1,15:30:40.421302,15:31:13.976279,-1,-1.0
1,15:30:40.421302,15:31:14.178167,-1,-1.0
1,15:30:40.421302,15:31:14.491837,1,-1.0
1,15:30:40.421302,15:31:14.700567,1,-1.0
1,15:30:40.421302,15:31:14.899471,1,-1.0
1,15:30:40.421302,15:31:15.172992,-1,-1.0
1,15:30:40.421302,15:31:15.329272,-1,-1.0
1,15:30:40.421302,15:31:15.602472,-1,-1.0
1,15:30:40.421302,15:31:15.822948,1,-1.0
1,15:30:40.421302,15:31:16.059981,1,-1.0
1,15:30:40.421302,15:31:17.923469,1,-1.0
1,15:30:40.421302,15:31:18.110351,1,-1.0
1,15:30:40.421302,15:31:18.309565,1,-1.0
1,15:30:40.421302,15:31:18.517886,-1,-1.0
1,15:30:40.421302,15:31:18.706085,-1,-1.0
1,15:30:40.421302,15:31:18.902694,-1,-1.0
1,15:30:40.421302,15:31:19.135439,1,-1.0
1,15:30:40.421302,15:31:19.324909,1,-1.0
1,15:30:40.421302,15:31:19.520029,1,-1.0
1,15:30:40.421302,15:31:19.707744,-1,-1.0
1,15:30:40.421302,15:31:19.906273,-1,-1.0
1,15:30:40.421302,15:31:20.110088,-1,-1.0
1,15:30:40.421302,15:31:20.257684,1,-1.0
1,15:30:40.421302,15:31:20.464479,1,-1.0
1,15:30:40.421302,15:31:20.664951,1,-1.0
1,15:30:40.421302,15:31:20.898149,1,-1.0
1,15:30:40.421302,15:31:21.126755,1,-1.0
1,15:30:40.421302,15:31:21.307450,1,-1.0
1,15:30:40.421302,15:31:21.507476,1,-1.0
1,15:30:40.421302,15:31:21.847931,-1,-1.0
1,15:30:40.421302,15:31:22.055872,-1,-1.0
1,15:30:40.421302,15:31:22.252321,-1,-1.0
1,15:30:40.421302,15:31:22.459986,-1,-1.0
1,15:30:40.421302,15:31:22.947806,-1,-1.0
1,15:30:40.421302,15:31:23.157598,1,-1.0
1,15:30:40.421302,15:31:23.322959,1,-1.0
1,15:30:40.421302,15:31:23.545469,1,-1.0
1,15:30:40.421302,15:31:23.731348,1,-1.0
1,15:30:40.421302,15:31:23.928480,1,-1.0
1,15:30:40.421302,15:31:24.125092,1,-1.0
1,15:30:40.421302,15:31:24.317637,1,-1.0
1,15:30:40.421302,15:31:24.535760,1,-1.0
1,15:30:40.421302,15:31:24.733357,1,-1.0
1,15:30:40.421302,15:31:24.989023,1,-1.0
