Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:51:39.471102,23:51:53.929111,1,-1.0
1,23:51:39.471102,23:51:54.556404,1,-1.0
1,23:51:39.471102,23:51:55.169406,1,-1.0
1,23:51:39.471102,23:51:55.568004,1,-1.0
1,23:51:39.471102,23:51:56.091671,1,-1.0
1,23:51:39.471102,23:51:56.717523,1,-1.0
1,23:51:39.471102,23:51:57.021775,1,-1.0
1,23:51:39.471102,23:51:57.505829,-1,-1.0
1,23:51:39.471102,23:51:57.717925,-1,-1.0
1,23:51:39.471102,23:51:57.916681,-1,-1.0
1,23:51:39.471102,23:51:58.125195,-1,-1.0
1,23:51:39.471102,23:51:58.951152,-1,-1.0
1,23:51:39.471102,23:51:59.147163,-1,-1.0
1,23:51:39.471102,23:51:59.325660,-1,-1.0
1,23:51:39.471102,23:51:59.512696,-1,-1.0
1,23:51:39.471102,23:51:59.700745,-1,-1.0
1,23:51:39.471102,23:52:11.617803,1,-1.0
1,23:51:39.471102,23:52:11.813283,1,-1.0
1,23:51:39.471102,23:52:11.993705,1,-1.0
1,23:51:39.471102,23:52:12.180340,1,-1.0
1,23:51:39.471102,23:52:12.365956,1,-1.0
1,23:51:39.471102,23:52:12.571093,1,-1.0
1,23:51:39.471102,23:52:12.863324,-1,-1.0
1,23:51:39.471102,23:52:13.040738,-1,-1.0
1,23:51:39.471102,23:52:13.228509,-1,-1.0
1,23:51:39.471102,23:52:13.412957,-1,-1.0
1,23:51:39.471102,23:52:13.643313,-1,-1.0
1,23:51:39.471102,23:52:13.999218,1,-1.0
1,23:51:39.471102,23:52:14.185108,1,-1.0
1,23:51:39.471102,23:52:14.382871,1,-1.0
1,23:51:39.471102,23:52:14.589478,1,-1.0
1,23:51:39.471102,23:52:14.766501,-1,-1.0
1,23:51:39.471102,23:52:14.963044,-1,-1.0
1,23:51:39.471102,23:52:15.171266,-1,-1.0
1,23:51:39.471102,23:52:15.405699,1,-1.0
1,23:51:39.471102,23:52:15.607022,1,-1.0
1,23:51:39.471102,23:52:15.802002,1,-1.0
1,23:51:39.471102,23:52:16.008979,1,-1.0
1,23:51:39.471102,23:52:16.208907,1,-1.0
1,23:51:39.471102,23:52:16.450735,-1,-1.0
1,23:51:39.471102,23:52:16.657516,-1,-1.0
1,23:51:39.471102,23:52:16.854400,-1,-1.0
1,23:51:39.471102,23:52:17.062649,-1,-1.0
1,23:51:39.471102,23:52:17.265115,-1,-1.0
1,23:51:39.471102,23:52:17.472767,-1,-1.0
1,23:51:39.471102,23:52:17.703959,-1,-1.0
1,23:51:39.471102,23:52:18.172060,-1,-1.0
1,23:51:39.471102,23:52:18.378291,1,-1.0
1,23:51:39.471102,23:52:18.606860,1,-1.0
1,23:51:39.471102,23:52:18.805561,1,-1.0
1,23:51:39.471102,23:52:19.032139,1,-1.0
1,23:51:39.471102,23:52:19.232401,1,-1.0
1,23:51:39.471102,23:52:19.460348,1,-1.0
1,23:51:39.471102,23:52:19.681707,1,-1.0
1,23:51:39.471102,23:52:19.909015,-1,-1.0
1,23:51:39.471102,23:52:20.118944,-1,-1.0
1,23:51:39.471102,23:52:20.316691,-1,-1.0
1,23:51:39.471102,23:52:20.501598,-1,-1.0
1,23:51:39.471102,23:52:20.711689,1,-1.0
1,23:51:39.471102,23:52:20.929181,1,-1.0
1,23:51:39.471102,23:52:41.785614,-1,-1.0
1,23:51:39.471102,23:52:41.974148,-1,-1.0
1,23:51:39.471102,23:52:42.161916,1,-1.0
1,23:51:39.471102,23:52:42.358797,1,-1.0
1,23:51:39.471102,23:52:42.546793,1,-1.0
1,23:51:39.471102,23:52:42.733597,1,-1.0
1,23:51:39.471102,23:52:42.932750,1,-1.0
1,23:51:39.471102,23:52:43.137093,-1,-1.0
1,23:51:39.471102,23:52:43.325772,1,-1.0
1,23:51:39.471102,23:52:43.541373,1,-1.0
1,23:51:39.471102,23:52:43.750595,-1,-1.0
1,23:51:39.471102,23:52:43.940407,-1,-1.0
1,23:51:39.471102,23:52:44.149520,1,-1.0
1,23:51:39.471102,23:52:44.348616,1,-1.0
1,23:51:39.471102,23:52:44.567889,1,-1.0
1,23:51:39.471102,23:52:44.765838,-1,-1.0
1,23:51:39.471102,23:52:44.973997,-1,-1.0
1,23:51:39.471102,23:52:45.162231,1,-1.0
1,23:51:39.471102,23:52:45.357592,1,-1.0
1,23:51:39.471102,23:52:45.551152,-1,-1.0
1,23:51:39.471102,23:52:45.775050,1,-1.0
1,23:51:39.471102,23:52:45.961872,1,-1.0
1,23:51:39.471102,23:52:46.167986,-1,-1.0
1,23:51:39.471102,23:52:46.368773,-1,-1.0
1,23:51:39.471102,23:52:46.568165,-1,-1.0
1,23:51:39.471102,23:52:46.892012,1,-1.0
1,23:51:39.471102,23:52:47.098920,1,-1.0
1,23:51:39.471102,23:52:47.295556,1,-1.0
