Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:09:07.480479,23:09:09.180256,-1,-1.0
1,23:09:07.480479,23:09:11.529600,1,-1.0
1,23:09:07.480479,23:09:11.774302,1,-1.0
1,23:09:07.480479,23:09:12.009264,1,-1.0
1,23:09:07.480479,23:09:12.233128,1,-1.0
1,23:09:07.480479,23:09:12.445994,1,-1.0
1,23:09:07.480479,23:09:12.667965,1,-1.0
1,23:09:07.480479,23:09:12.923939,1,-1.0
1,23:09:07.480479,23:09:13.161667,1,-1.0
1,23:09:07.480479,23:09:13.448302,1,-1.0
1,23:09:07.480479,23:09:13.741315,-1,-1.0
1,23:09:07.480479,23:09:13.984047,-1,-1.0
1,23:09:07.480479,23:09:14.197088,-1,-1.0
1,23:09:07.480479,23:09:14.391795,-1,-1.0
1,23:09:07.480479,23:09:14.617885,-1,-1.0
1,23:09:07.480479,23:09:14.831544,-1,-1.0
1,23:09:07.480479,23:09:15.037429,1,-1.0
1,23:09:07.480479,23:09:15.261537,1,-1.0
1,23:09:07.480479,23:09:15.486246,1,-1.0
1,23:09:07.480479,23:09:15.690760,1,-1.0
1,23:09:07.480479,23:09:15.893642,1,-1.0
1,23:09:07.480479,23:09:16.119054,1,-1.0
1,23:09:07.480479,23:09:16.314325,1,-1.0
1,23:09:07.480479,23:09:16.507076,1,-1.0
1,23:09:07.480479,23:09:16.682525,1,-1.0
1,23:09:07.480479,23:09:16.886052,1,-1.0
1,23:09:07.480479,23:09:17.092558,1,-1.0
1,23:09:07.480479,23:09:17.275324,1,-1.0
1,23:09:07.480479,23:09:17.457793,1,-1.0
1,23:09:07.480479,23:09:17.650321,1,-1.0
1,23:09:07.480479,23:09:17.843685,1,-1.0
1,23:09:07.480479,23:09:18.025642,1,-1.0
1,23:09:07.480479,23:09:18.231215,1,-1.0
1,23:09:07.480479,23:09:18.423942,1,-1.0
1,23:09:07.480479,23:09:18.619098,1,-1.0
1,23:09:07.480479,23:09:18.820898,1,-1.0
1,23:09:07.480479,23:09:19.016374,1,-1.0
1,23:09:07.480479,23:09:19.208612,1,-1.0
1,23:09:07.480479,23:09:19.397712,1,-1.0
1,23:09:07.480479,23:09:19.601516,1,-1.0
1,23:09:07.480479,23:09:19.795588,1,-1.0
1,23:09:07.480479,23:09:19.999439,1,-1.0
1,23:09:07.480479,23:09:20.202627,1,-1.0
1,23:09:07.480479,23:09:20.395291,1,-1.0
1,23:09:07.480479,23:09:20.589446,1,-1.0
1,23:09:07.480479,23:09:20.792360,1,-1.0
1,23:09:07.480479,23:09:21.007862,1,-1.0
1,23:09:07.480479,23:09:21.190877,1,-1.0
1,23:09:07.480479,23:09:21.394194,1,-1.0
1,23:09:07.480479,23:09:21.606539,1,-1.0
1,23:09:07.480479,23:09:21.841152,1,-1.0
1,23:09:07.480479,23:09:22.033983,1,-1.0
1,23:09:07.480479,23:09:22.278633,-1,-1.0
1,23:09:07.480479,23:09:22.438493,-1,-1.0
1,23:09:07.480479,23:09:22.611290,-1,-1.0
1,23:09:07.480479,23:09:22.794449,-1,-1.0
1,23:09:07.480479,23:09:22.975394,-1,-1.0
1,23:09:07.480479,23:09:23.137837,-1,-1.0
1,23:09:07.480479,23:09:23.322750,-1,-1.0
1,23:09:07.480479,23:09:23.516720,-1,-1.0
1,23:09:07.480479,23:09:23.689338,-1,-1.0
1,23:09:07.480479,23:09:23.884166,-1,-1.0
