Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:05:39.216751,12:05:56.841331,-1,-1.0
1,12:05:39.216751,12:05:57.124136,-1,-1.0
1,12:05:39.216751,12:05:57.345443,1,-1.0
1,12:05:39.216751,12:06:00.656947,1,-1.0
1,12:05:39.216751,12:06:00.834178,1,-1.0
1,12:05:39.216751,12:06:01.042153,1,-1.0
1,12:05:39.216751,12:06:01.228539,1,-1.0
1,12:05:39.216751,12:06:01.428651,1,-1.0
1,12:05:39.216751,12:06:02.141111,-1,-1.0
1,12:05:39.216751,12:06:02.328704,-1,-1.0
1,12:05:39.216751,12:06:02.483711,-1,-1.0
1,12:05:39.216751,12:06:02.639129,-1,-1.0
1,12:05:39.216751,12:06:03.428795,1,-1.0
1,12:05:39.216751,12:06:03.581625,1,-1.0
1,12:05:39.216751,12:06:03.733196,1,-1.0
1,12:05:39.216751,12:06:03.897601,1,-1.0
1,12:05:39.216751,12:06:04.052234,1,-1.0
1,12:05:39.216751,12:06:05.145269,1,-1.0
1,12:05:39.216751,12:06:05.588753,-1,-1.0
1,12:05:39.216751,12:06:05.754355,-1,-1.0
1,12:05:39.216751,12:06:05.931325,-1,-1.0
1,12:05:39.216751,12:06:06.075978,-1,-1.0
1,12:05:39.216751,12:06:06.241531,-1,-1.0
1,12:05:39.216751,12:06:06.716619,1,-1.0
1,12:05:39.216751,12:06:06.892509,1,-1.0
1,12:05:39.216751,12:06:07.039753,1,-1.0
1,12:05:39.216751,12:06:07.194091,1,-1.0
1,12:05:39.216751,12:06:07.348064,1,-1.0
1,12:05:39.216751,12:06:07.490124,1,-1.0
1,12:05:39.216751,12:06:08.787322,-1,-1.0
1,12:05:39.216751,12:06:08.943977,-1,-1.0
1,12:05:39.216751,12:06:09.108910,-1,-1.0
1,12:05:39.216751,12:06:09.252288,-1,-1.0
1,12:05:39.216751,12:06:09.671906,-1,-1.0
1,12:05:39.216751,12:06:09.837082,1,-1.0
1,12:05:39.216751,12:06:09.996206,1,-1.0
1,12:05:39.216751,12:06:10.152230,1,-1.0
1,12:05:39.216751,12:06:10.301257,1,-1.0
1,12:05:39.216751,12:06:10.447876,1,-1.0
1,12:05:39.216751,12:06:10.836418,-1,-1.0
1,12:05:39.216751,12:06:10.981293,-1,-1.0
1,12:05:39.216751,12:06:11.136981,-1,-1.0
1,12:05:39.216751,12:06:11.281198,-1,-1.0
1,12:05:39.216751,12:06:11.430205,1,-1.0
1,12:05:39.216751,12:06:11.723921,-1,-1.0
1,12:05:39.216751,12:06:11.861551,1,-1.0
1,12:05:39.216751,12:06:12.020024,1,-1.0
1,12:05:39.216751,12:06:12.176193,1,-1.0
1,12:05:39.216751,12:06:12.381428,1,-1.0
1,12:05:39.216751,12:06:12.608648,-1,-1.0
1,12:05:39.216751,12:06:12.774640,-1,-1.0
1,12:05:39.216751,12:06:12.928532,1,-1.0
1,12:05:39.216751,12:06:13.070966,1,-1.0
1,12:05:39.216751,12:06:13.216319,1,-1.0
1,12:05:39.216751,12:06:13.496096,-1,-1.0
1,12:05:39.216751,12:06:13.662114,1,-1.0
1,12:05:39.216751,12:06:13.807080,1,-1.0
1,12:05:39.216751,12:06:13.981102,1,-1.0
1,12:05:39.216751,12:06:14.268783,-1,-1.0
1,12:05:39.216751,12:06:14.435202,-1,-1.0
1,12:05:39.216751,12:06:14.591531,-1,-1.0
1,12:05:39.216751,12:06:14.744564,-1,-1.0
1,12:05:39.216751,12:06:14.886969,1,-1.0
1,12:05:39.216751,12:06:15.253815,-1,-1.0
1,12:05:39.216751,12:06:15.397253,-1,-1.0
1,12:05:39.216751,12:06:15.552298,-1,-1.0
1,12:05:39.216751,12:06:15.707456,1,-1.0
1,12:05:39.216751,12:06:15.874027,1,-1.0
1,12:05:39.216751,12:06:16.031879,1,-1.0
1,12:05:39.216751,12:06:16.250132,-1,-1.0
1,12:05:39.216751,12:06:16.403327,-1,-1.0
1,12:05:39.216751,12:06:16.557321,-1,-1.0
1,12:05:39.216751,12:06:16.690954,1,-1.0
1,12:05:39.216751,12:06:16.813087,1,-1.0
1,12:05:39.216751,12:06:17.123196,-1,-1.0
1,12:05:39.216751,12:06:17.278486,-1,-1.0
1,12:05:39.216751,12:06:17.435322,1,-1.0
1,12:05:39.216751,12:06:17.601357,1,-1.0
1,12:05:39.216751,12:06:17.739910,1,-1.0
1,12:05:39.216751,12:06:18.014142,-1,-1.0
1,12:05:39.216751,12:06:18.184672,-1,-1.0
1,12:05:39.216751,12:06:18.341210,-1,-1.0
1,12:05:39.216751,12:06:18.485480,1,-1.0
1,12:05:39.216751,12:06:18.632614,1,-1.0
1,12:05:39.216751,12:06:18.768100,1,-1.0
1,12:05:39.216751,12:06:19.060658,-1,-1.0
1,12:05:39.216751,12:06:19.228174,-1,-1.0
1,12:05:39.216751,12:06:19.383410,1,-1.0
1,12:05:39.216751,12:06:19.551640,1,-1.0
1,12:05:39.216751,12:06:19.772489,1,-1.0
1,12:05:39.216751,12:06:20.786687,-1,-1.0
1,12:05:39.216751,12:06:20.965019,-1,-1.0
1,12:05:39.216751,12:06:21.104317,1,-1.0
1,12:05:39.216751,12:06:21.237925,1,-1.0
1,12:05:39.216751,12:06:21.379817,1,-1.0
1,12:05:39.216751,12:06:21.522879,1,-1.0
1,12:05:39.216751,12:06:21.762759,-1,-1.0
1,12:05:39.216751,12:06:21.918443,1,-1.0
1,12:05:39.216751,12:06:22.095912,1,-1.0
1,12:05:39.216751,12:06:22.228602,1,-1.0
1,12:05:39.216751,12:06:22.574392,-1,-1.0
1,12:05:39.216751,12:06:22.729891,-1,-1.0
1,12:05:39.216751,12:06:22.888599,1,-1.0
1,12:05:39.216751,12:06:23.041331,1,-1.0
1,12:05:39.216751,12:06:23.166610,1,-1.0
1,12:05:39.216751,12:06:23.471031,-1,-1.0
1,12:05:39.216751,12:06:23.625344,-1,-1.0
1,12:05:39.216751,12:06:23.798637,1,-1.0
1,12:05:39.216751,12:06:23.976390,1,-1.0
1,12:05:39.216751,12:06:24.152289,-1,-1.0
1,12:05:39.216751,12:06:26.894412,1,-1.0
1,12:05:39.216751,12:06:27.047152,1,-1.0
1,12:05:39.216751,12:06:27.188984,1,-1.0
1,12:05:39.216751,12:06:27.331299,1,-1.0
1,12:05:39.216751,12:06:27.636927,1,-1.0
1,12:05:39.216751,12:06:27.802002,1,-1.0
1,12:05:39.216751,12:06:27.968582,1,-1.0
1,12:05:39.216751,12:06:29.127963,-1,-1.0
1,12:05:39.216751,12:06:29.309836,-1,-1.0
1,12:05:39.216751,12:06:29.485173,1,-1.0
1,12:05:39.216751,12:06:29.639076,1,-1.0
1,12:05:39.216751,12:06:30.016319,-1,-1.0
1,12:05:39.216751,12:06:30.171171,-1,-1.0
1,12:05:39.216751,12:06:30.336422,1,-1.0
1,12:05:39.216751,12:06:30.514049,1,-1.0
1,12:05:39.216751,12:06:30.924054,1,-1.0
1,12:05:39.216751,12:06:31.215364,-1,-1.0
1,12:05:39.216751,12:06:31.435234,-1,-1.0
1,12:05:39.216751,12:06:31.578696,1,-1.0
1,12:05:39.216751,12:06:31.738826,1,-1.0
1,12:05:39.216751,12:06:31.912699,1,-1.0
1,12:05:39.216751,12:06:32.110188,1,-1.0
1,12:05:39.216751,12:06:32.424020,1,-1.0
1,12:05:39.216751,12:06:32.621570,1,-1.0
1,12:05:39.216751,12:06:32.800810,1,-1.0
1,12:05:39.216751,12:06:32.978263,1,-1.0
1,12:05:39.216751,12:06:33.303469,-1,-1.0
1,12:05:39.216751,12:06:33.479862,1,-1.0
1,12:05:39.216751,12:06:33.637257,1,-1.0
1,12:05:39.216751,12:06:33.792135,1,-1.0
