Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:04:10.152872,00:04:11.796871,-1,-1.0
1,00:04:10.152872,00:04:11.943141,-1,-1.0
1,00:04:10.152872,00:04:12.043473,1,-1.0
1,00:04:10.152872,00:04:12.179424,1,-1.0
1,00:04:10.152872,00:04:12.291250,1,-1.0
1,00:04:10.152872,00:04:12.839084,-1,-1.0
1,00:04:10.152872,00:04:13.038303,-1,-1.0
1,00:04:10.152872,00:04:13.193219,-1,-1.0
1,00:04:10.152872,00:04:13.272091,1,-1.0
1,00:04:10.152872,00:04:13.429262,1,-1.0
1,00:04:10.152872,00:04:14.165054,1,-1.0
1,00:04:10.152872,00:04:14.427101,1,-1.0
1,00:04:10.152872,00:04:14.636933,-1,-1.0
1,00:04:10.152872,00:04:14.791832,-1,-1.0
1,00:04:10.152872,00:04:14.914575,-1,-1.0
1,00:04:10.152872,00:04:15.030142,1,-1.0
1,00:04:10.152872,00:04:15.162945,1,-1.0
1,00:04:10.152872,00:04:15.401831,1,-1.0
1,00:04:10.152872,00:04:15.599167,-1,-1.0
1,00:04:10.152872,00:04:15.766026,-1,-1.0
1,00:04:10.152872,00:04:15.868711,1,-1.0
1,00:04:10.152872,00:04:16.006133,-1,-1.0
1,00:04:10.152872,00:04:16.126099,1,-1.0
1,00:04:10.152872,00:04:16.239006,1,-1.0
1,00:04:10.152872,00:04:16.428605,-1,-1.0
1,00:04:10.152872,00:04:16.562577,-1,-1.0
1,00:04:10.152872,00:04:16.642839,1,-1.0
1,00:04:10.152872,00:04:16.766811,1,-1.0
1,00:04:10.152872,00:04:16.892316,1,-1.0
1,00:04:10.152872,00:04:17.004763,-1,-1.0
1,00:04:10.152872,00:04:17.119138,-1,-1.0
1,00:04:10.152872,00:04:17.223930,1,-1.0
1,00:04:10.152872,00:04:17.346131,1,-1.0
1,00:04:10.152872,00:04:17.466463,1,-1.0
1,00:04:10.152872,00:04:17.665825,-1,-1.0
1,00:04:10.152872,00:04:17.809753,-1,-1.0
1,00:04:10.152872,00:04:17.922003,-1,-1.0
1,00:04:10.152872,00:04:18.034660,1,-1.0
1,00:04:10.152872,00:04:18.168018,1,-1.0
1,00:04:10.152872,00:04:18.293202,1,-1.0
1,00:04:10.152872,00:04:18.468318,-1,-1.0
1,00:04:10.152872,00:04:18.612120,-1,-1.0
1,00:04:10.152872,00:04:18.817885,-1,-1.0
1,00:04:10.152872,00:04:18.964878,1,-1.0
1,00:04:10.152872,00:04:19.078928,1,-1.0
1,00:04:10.152872,00:04:19.191705,1,-1.0
1,00:04:10.152872,00:04:19.357735,-1,-1.0
1,00:04:10.152872,00:04:19.492009,-1,-1.0
1,00:04:10.152872,00:04:19.591891,1,-1.0
1,00:04:10.152872,00:04:19.731628,1,-1.0
1,00:04:10.152872,00:04:19.866035,1,-1.0
1,00:04:10.152872,00:04:20.191070,-1,-1.0
1,00:04:10.152872,00:04:20.388803,-1,-1.0
1,00:04:10.152872,00:04:20.510416,-1,-1.0
1,00:04:10.152872,00:04:20.642914,1,-1.0
1,00:04:10.152872,00:04:20.773746,1,-1.0
1,00:04:10.152872,00:04:20.895980,1,-1.0
1,00:04:10.152872,00:04:21.133535,-1,-1.0
1,00:04:10.152872,00:04:21.235947,-1,-1.0
1,00:04:10.152872,00:04:21.399807,-1,-1.0
1,00:04:10.152872,00:04:21.566306,1,-1.0
1,00:04:10.152872,00:04:21.679561,1,-1.0
1,00:04:10.152872,00:04:21.813244,1,-1.0
1,00:04:10.152872,00:04:21.929533,1,-1.0
1,00:04:10.152872,00:04:22.083882,-1,-1.0
1,00:04:10.152872,00:04:22.272407,-1,-1.0
1,00:04:10.152872,00:04:22.406212,1,-1.0
1,00:04:10.152872,00:04:22.539274,1,-1.0
