Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:06:40.174333,12:06:42.226632,1,-1.0
1,12:06:40.174333,12:06:42.597267,1,-1.0
1,12:06:40.174333,12:06:42.889173,1,-1.0
1,12:06:40.174333,12:06:43.200855,1,-1.0
1,12:06:40.174333,12:06:43.503830,1,-1.0
1,12:06:40.174333,12:06:43.817426,1,-1.0
1,12:06:40.174333,12:06:44.176716,1,-1.0
1,12:06:40.174333,12:06:49.362327,1,-1.0
1,12:06:40.174333,12:06:49.696502,1,-1.0
1,12:06:40.174333,12:06:49.965414,1,-1.0
1,12:06:40.174333,12:06:50.183916,1,-1.0
1,12:06:40.174333,12:06:50.448424,1,-1.0
1,12:06:40.174333,12:06:50.666299,1,-1.0
1,12:06:40.174333,12:06:50.833035,1,-1.0
1,12:06:40.174333,12:06:50.975469,1,-1.0
1,12:06:40.174333,12:06:51.111224,1,-1.0
1,12:06:40.174333,12:06:51.265135,1,-1.0
1,12:06:40.174333,12:06:51.410373,1,-1.0
1,12:06:40.174333,12:06:51.555495,1,-1.0
1,12:06:40.174333,12:06:51.693011,1,-1.0
1,12:06:40.174333,12:06:51.837035,1,-1.0
1,12:06:40.174333,12:06:51.972795,1,-1.0
1,12:06:40.174333,12:06:52.117377,1,-1.0
1,12:06:40.174333,12:06:52.250333,1,-1.0
1,12:06:40.174333,12:06:52.395260,1,-1.0
1,12:06:40.174333,12:06:52.549982,1,-1.0
1,12:06:40.174333,12:06:52.703231,1,-1.0
1,12:06:40.174333,12:06:52.828332,1,-1.0
1,12:06:40.174333,12:06:52.952772,1,-1.0
1,12:06:40.174333,12:06:53.077405,1,-1.0
1,12:06:40.174333,12:06:53.197871,1,-1.0
1,12:06:40.174333,12:06:53.332517,1,-1.0
1,12:06:40.174333,12:06:53.477396,1,-1.0
1,12:06:40.174333,12:06:54.076098,-1,-1.0
1,12:06:40.174333,12:06:54.212062,-1,-1.0
1,12:06:40.174333,12:06:54.377014,-1,-1.0
1,12:06:40.174333,12:06:54.521747,-1,-1.0
1,12:06:40.174333,12:06:54.677681,-1,-1.0
1,12:06:40.174333,12:06:54.883849,-1,-1.0
1,12:06:40.174333,12:06:55.037691,-1,-1.0
1,12:06:40.174333,12:06:55.327526,1,-1.0
1,12:06:40.174333,12:06:55.483740,1,-1.0
1,12:06:40.174333,12:06:55.627288,1,-1.0
1,12:06:40.174333,12:06:55.750367,1,-1.0
1,12:06:40.174333,12:06:55.960923,1,-1.0
1,12:06:40.174333,12:06:56.127378,1,-1.0
1,12:06:40.174333,12:06:56.272562,1,-1.0
1,12:06:40.174333,12:06:56.396022,1,-1.0
1,12:06:40.174333,12:06:56.506422,1,-1.0
1,12:06:40.174333,12:06:56.651885,1,-1.0
1,12:06:40.174333,12:06:56.786638,1,-1.0
1,12:06:40.174333,12:06:56.919007,1,-1.0
1,12:06:40.174333,12:06:57.063503,1,-1.0
1,12:06:40.174333,12:06:57.207501,1,-1.0
1,12:06:40.174333,12:06:57.363370,1,-1.0
1,12:06:40.174333,12:06:57.527177,1,-1.0
1,12:06:40.174333,12:06:57.987533,1,-1.0
1,12:06:40.174333,12:06:58.153950,1,-1.0
1,12:06:40.174333,12:06:58.323611,1,-1.0
1,12:06:40.174333,12:06:58.469275,1,-1.0
1,12:06:40.174333,12:06:59.522026,-1,-1.0
1,12:06:40.174333,12:06:59.891981,1,-1.0
1,12:06:40.174333,12:07:00.026280,1,-1.0
1,12:06:40.174333,12:07:00.202651,1,-1.0
1,12:06:40.174333,12:07:00.367711,1,-1.0
1,12:06:40.174333,12:07:00.502200,1,-1.0
1,12:06:40.174333,12:07:00.826087,-1,-1.0
1,12:06:40.174333,12:07:01.009559,-1,-1.0
1,12:06:40.174333,12:07:01.173000,-1,-1.0
1,12:06:40.174333,12:07:01.349565,-1,-1.0
1,12:06:40.174333,12:07:01.503903,-1,-1.0
1,12:06:40.174333,12:07:01.691385,-1,-1.0
