Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:39:33.090622,15:39:34.214333,1,-1.0
1,15:39:33.090622,15:39:34.448814,1,-1.0
1,15:39:33.090622,15:39:34.650759,1,-1.0
1,15:39:33.090622,15:39:34.826495,1,-1.0
1,15:39:33.090622,15:39:35.030162,1,-1.0
1,15:39:33.090622,15:39:35.203361,1,-1.0
1,15:39:33.090622,15:39:35.396147,1,-1.0
1,15:39:33.090622,15:39:35.610771,1,-1.0
1,15:39:33.090622,15:39:37.518628,1,-1.0
1,15:39:33.090622,15:39:37.756013,1,-1.0
1,15:39:33.090622,15:39:38.150534,1,-1.0
1,15:39:33.090622,15:39:38.386934,1,-1.0
1,15:39:33.090622,15:39:41.748684,-1,-1.0
1,15:39:33.090622,15:39:41.922594,-1,-1.0
1,15:39:33.090622,15:39:42.128617,-1,-1.0
1,15:39:33.090622,15:39:42.324599,-1,-1.0
1,15:39:33.090622,15:39:42.520563,-1,-1.0
1,15:39:33.090622,15:39:42.723278,-1,-1.0
1,15:39:33.090622,15:39:42.938452,-1,-1.0
1,15:39:33.090622,15:39:43.142190,-1,-1.0
1,15:39:33.090622,15:39:43.346725,-1,-1.0
1,15:39:33.090622,15:39:43.560860,-1,-1.0
1,15:39:33.090622,15:39:43.744062,1,-1.0
1,15:39:33.090622,15:39:46.302082,-1,-1.0
1,15:39:33.090622,15:39:46.516981,1,-1.0
1,15:39:33.090622,15:39:46.731911,1,-1.0
1,15:39:33.090622,15:39:46.937007,1,-1.0
1,15:39:33.090622,15:39:47.121768,1,-1.0
1,15:39:33.090622,15:39:47.305771,1,-1.0
1,15:39:33.090622,15:39:47.499771,1,-1.0
1,15:39:33.090622,15:39:47.674017,1,-1.0
1,15:39:33.090622,15:39:48.635096,-1,-1.0
1,15:39:33.090622,15:39:48.842223,-1,-1.0
1,15:39:33.090622,15:39:49.036469,-1,-1.0
1,15:39:33.090622,15:39:49.219972,1,-1.0
1,15:39:33.090622,15:39:49.414685,1,-1.0
1,15:39:33.090622,15:39:49.608344,1,-1.0
1,15:39:33.090622,15:39:49.812315,1,-1.0
1,15:39:33.090622,15:39:50.004905,1,-1.0
1,15:39:33.090622,15:39:50.220386,1,-1.0
1,15:39:33.090622,15:39:50.927442,-1,-1.0
1,15:39:33.090622,15:39:51.110627,1,-1.0
1,15:39:33.090622,15:39:51.294827,1,-1.0
1,15:39:33.090622,15:39:51.475669,1,-1.0
1,15:39:33.090622,15:39:51.690347,-1,-1.0
1,15:39:33.090622,15:39:51.863141,-1,-1.0
1,15:39:33.090622,15:39:52.069001,1,-1.0
1,15:39:33.090622,15:39:52.808342,-1,-1.0
1,15:39:33.090622,15:39:52.992571,1,-1.0
1,15:39:33.090622,15:39:53.200378,1,-1.0
1,15:39:33.090622,15:39:53.382055,1,-1.0
1,15:39:33.090622,15:39:53.557073,1,-1.0
1,15:39:33.090622,15:39:53.759611,-1,-1.0
1,15:39:33.090622,15:39:53.946302,-1,-1.0
1,15:39:33.090622,15:39:54.140657,-1,-1.0
1,15:39:33.090622,15:39:54.318199,1,-1.0
1,15:39:33.090622,15:39:55.210142,-1,-1.0
1,15:39:33.090622,15:39:55.393289,-1,-1.0
1,15:39:33.090622,15:39:55.556669,-1,-1.0
1,15:39:33.090622,15:39:55.742147,-1,-1.0
1,15:39:33.090622,15:39:55.946400,-1,-1.0
1,15:39:33.090622,15:39:56.138275,-1,-1.0
1,15:39:33.090622,15:39:56.341997,1,-1.0
1,15:39:33.090622,15:39:56.863205,1,-1.0
1,15:39:33.090622,15:39:57.035387,1,-1.0
1,15:39:33.090622,15:39:57.250400,1,-1.0
1,15:39:33.090622,15:39:57.448078,1,-1.0
1,15:39:33.090622,15:39:57.683304,1,-1.0
1,15:39:33.090622,15:39:57.887482,-1,-1.0
1,15:39:33.090622,15:39:58.101038,-1,-1.0
1,15:39:33.090622,15:40:01.352200,1,-1.0
1,15:39:33.090622,15:40:01.640012,1,-1.0
1,15:39:33.090622,15:40:01.838720,1,-1.0
1,15:39:33.090622,15:40:02.095895,1,-1.0
1,15:39:33.090622,15:40:06.212338,-1,-1.0
1,15:39:33.090622,15:40:06.427025,1,-1.0
1,15:39:33.090622,15:40:06.610298,1,-1.0
1,15:39:33.090622,15:40:06.803685,1,-1.0
1,15:39:33.090622,15:40:06.987777,-1,-1.0
1,15:39:33.090622,15:40:07.182957,-1,-1.0
1,15:39:33.090622,15:40:07.380650,-1,-1.0
1,15:39:33.090622,15:40:07.586160,-1,-1.0
1,15:39:33.090622,15:40:08.567980,-1,-1.0
1,15:39:33.090622,15:40:08.774045,1,-1.0
1,15:39:33.090622,15:40:08.977387,1,-1.0
1,15:39:33.090622,15:40:09.202009,1,-1.0
1,15:39:33.090622,15:40:09.417041,1,-1.0
1,15:39:33.090622,15:40:09.621964,1,-1.0
1,15:39:33.090622,15:40:14.320943,-1,-1.0
1,15:39:33.090622,15:40:14.517381,-1,-1.0
1,15:39:33.090622,15:40:14.712654,-1,-1.0
1,15:39:33.090622,15:40:15.492366,1,-1.0
1,15:39:33.090622,15:40:15.675989,1,-1.0
1,15:39:33.090622,15:40:15.879947,-1,-1.0
1,15:39:33.090622,15:40:16.093421,1,-1.0
1,15:39:33.090622,15:40:16.285860,1,-1.0
1,15:39:33.090622,15:40:16.507504,1,-1.0
1,15:39:33.090622,15:40:16.859124,-1,-1.0
1,15:39:33.090622,15:40:17.187796,1,-1.0
1,15:39:33.090622,15:40:17.380332,1,-1.0
1,15:39:33.090622,15:40:17.562534,1,-1.0
1,15:39:33.090622,15:40:17.756754,1,-1.0
1,15:39:33.090622,15:40:17.939097,-1,-1.0
1,15:39:33.090622,15:40:18.123258,-1,-1.0
1,15:39:33.090622,15:40:18.365786,-1,-1.0
1,15:39:33.090622,15:40:19.261910,1,-1.0
1,15:39:33.090622,15:40:19.426699,1,-1.0
1,15:39:33.090622,15:40:19.600962,1,-1.0
1,15:39:33.090622,15:40:19.789762,1,-1.0
1,15:39:33.090622,15:40:19.983243,1,-1.0
1,15:39:33.090622,15:40:20.165574,-1,-1.0
1,15:39:33.090622,15:40:20.351958,-1,-1.0
1,15:39:33.090622,15:40:20.535667,1,-1.0
1,15:39:33.090622,15:40:21.010984,-1,-1.0
1,15:39:33.090622,15:40:21.258146,-1,-1.0
1,15:39:33.090622,15:40:21.423412,-1,-1.0
1,15:39:33.090622,15:40:21.640884,-1,-1.0
1,15:39:33.090622,15:40:21.856019,-1,-1.0
1,15:39:33.090622,15:40:22.071099,-1,-1.0
1,15:39:33.090622,15:40:22.308667,-1,-1.0
1,15:39:33.090622,15:40:27.206062,1,-1.0
1,15:39:33.090622,15:40:27.411047,1,-1.0
1,15:39:33.090622,15:40:27.619837,1,-1.0
1,15:39:33.090622,15:40:27.833301,1,-1.0
1,15:39:33.090622,15:40:28.805394,1,-1.0
1,15:39:33.090622,15:40:29.035047,1,-1.0
1,15:39:33.090622,15:40:29.256762,1,-1.0
1,15:39:33.090622,15:40:29.471867,1,-1.0
1,15:39:33.090622,15:40:29.681887,1,-1.0
1,15:39:33.090622,15:40:29.883515,1,-1.0
1,15:39:33.090622,15:40:30.089147,1,-1.0
1,15:39:33.090622,15:40:30.323267,1,-1.0
1,15:39:33.090622,15:40:30.570301,1,-1.0
1,15:39:33.090622,15:40:30.753144,1,-1.0
1,15:39:33.090622,15:40:30.945500,1,-1.0
1,15:39:33.090622,15:40:31.139698,-1,-1.0
1,15:39:33.090622,15:40:31.331844,-1,-1.0
1,15:39:33.090622,15:40:31.525460,-1,-1.0
1,15:39:33.090622,15:40:31.739347,-1,-1.0
1,15:39:33.090622,15:40:31.967335,-1,-1.0
1,15:39:33.090622,15:40:32.276945,1,-1.0
1,15:39:33.090622,15:40:32.460663,1,-1.0
1,15:39:33.090622,15:40:32.664700,1,-1.0
1,15:39:33.090622,15:40:32.890219,1,-1.0
1,15:39:33.090622,15:40:33.106049,-1,-1.0
1,15:39:33.090622,15:40:33.290704,-1,-1.0
1,15:39:33.090622,15:40:34.020370,1,-1.0
1,15:39:33.090622,15:40:34.246579,1,-1.0
1,15:39:33.090622,15:40:34.460057,1,-1.0
1,15:39:33.090622,15:40:34.676860,1,-1.0
1,15:39:33.090622,15:40:34.893228,1,-1.0
1,15:39:33.090622,15:40:35.098089,-1,-1.0
1,15:39:33.090622,15:40:35.303444,-1,-1.0
1,15:39:33.090622,15:40:35.517223,-1,-1.0
1,15:39:33.090622,15:40:35.753201,-1,-1.0
1,15:39:33.090622,15:40:36.769489,1,-1.0
1,15:39:33.090622,15:40:36.982333,1,-1.0
1,15:39:33.090622,15:40:37.179587,1,-1.0
1,15:39:33.090622,15:40:37.413056,-1,-1.0
1,15:39:33.090622,15:40:37.628250,-1,-1.0
1,15:39:33.090622,15:40:37.852313,-1,-1.0
1,15:39:33.090622,15:40:38.068968,1,-1.0
1,15:39:33.090622,15:40:38.284469,1,-1.0
1,15:39:33.090622,15:40:38.497414,1,-1.0
1,15:39:33.090622,15:40:38.838629,-1,-1.0
1,15:39:33.090622,15:40:39.043497,-1,-1.0
1,15:39:33.090622,15:40:39.238005,-1,-1.0
1,15:39:33.090622,15:40:39.453787,-1,-1.0
1,15:39:33.090622,15:40:39.656699,1,-1.0
1,15:39:33.090622,15:40:39.870299,-1,-1.0
1,15:39:33.090622,15:40:40.086394,-1,-1.0
1,15:39:33.090622,15:40:40.305432,-1,-1.0
1,15:39:33.090622,15:40:40.508663,-1,-1.0
