Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:53:58.328508,15:54:00.138098,-1,-1.0
1,15:53:58.328508,15:54:00.312104,-1,-1.0
1,15:53:58.328508,15:54:00.465734,1,-1.0
1,15:53:58.328508,15:54:00.691845,1,-1.0
1,15:53:58.328508,15:54:01.800911,-1,-1.0
1,15:53:58.328508,15:54:02.012192,1,-1.0
1,15:53:58.328508,15:54:02.176682,1,-1.0
1,15:53:58.328508,15:54:02.391861,-1,-1.0
1,15:53:58.328508,15:54:02.592077,-1,-1.0
1,15:53:58.328508,15:54:03.102757,1,-1.0
1,15:53:58.328508,15:54:03.270688,1,-1.0
1,15:53:58.328508,15:54:03.445799,-1,-1.0
1,15:53:58.328508,15:54:03.609423,-1,-1.0
1,15:53:58.328508,15:54:03.813836,-1,-1.0
1,15:53:58.328508,15:54:07.054880,-1,-1.0
1,15:53:58.328508,15:54:07.238145,-1,-1.0
1,15:53:58.328508,15:54:07.579411,-1,-1.0
1,15:53:58.328508,15:54:07.784651,-1,-1.0
1,15:53:58.328508,15:54:07.968608,-1,-1.0
1,15:53:58.328508,15:54:08.171933,-1,-1.0
1,15:53:58.328508,15:54:08.367625,-1,-1.0
1,15:53:58.328508,15:54:09.480688,-1,-1.0
1,15:53:58.328508,15:54:09.675341,1,-1.0
1,15:53:58.328508,15:54:09.879494,1,-1.0
1,15:53:58.328508,15:54:10.061431,1,-1.0
1,15:53:58.328508,15:54:10.852595,-1,-1.0
1,15:53:58.328508,15:54:11.026264,-1,-1.0
1,15:53:58.328508,15:54:11.187455,-1,-1.0
1,15:53:58.328508,15:54:11.349687,-1,-1.0
1,15:53:58.328508,15:54:11.474680,-1,-1.0
1,15:53:58.328508,15:54:11.669025,1,-1.0
1,15:53:58.328508,15:54:12.039924,-1,-1.0
1,15:53:58.328508,15:54:12.233442,1,-1.0
1,15:53:58.328508,15:54:12.429367,1,-1.0
1,15:53:58.328508,15:54:12.642888,1,-1.0
1,15:53:58.328508,15:54:12.847604,1,-1.0
1,15:53:58.328508,15:54:13.451749,-1,-1.0
1,15:53:58.328508,15:54:13.583693,-1,-1.0
1,15:53:58.328508,15:54:13.789010,-1,-1.0
1,15:53:58.328508,15:54:13.980996,-1,-1.0
1,15:53:58.328508,15:54:14.124089,1,-1.0
1,15:53:58.328508,15:54:14.318453,1,-1.0
1,15:53:58.328508,15:54:14.704847,-1,-1.0
1,15:53:58.328508,15:54:14.951649,1,-1.0
1,15:53:58.328508,15:54:15.178568,1,-1.0
1,15:53:58.328508,15:54:15.414203,1,-1.0
1,15:53:58.328508,15:54:15.648312,1,-1.0
1,15:53:58.328508,15:54:15.871978,1,-1.0
1,15:53:58.328508,15:54:16.182825,-1,-1.0
1,15:53:58.328508,15:54:16.358036,-1,-1.0
1,15:53:58.328508,15:54:16.541093,-1,-1.0
1,15:53:58.328508,15:54:16.736038,1,-1.0
1,15:53:58.328508,15:54:16.919435,1,-1.0
1,15:53:58.328508,15:54:17.104634,1,-1.0
1,15:53:58.328508,15:54:17.276041,1,-1.0
1,15:53:58.328508,15:54:17.449171,1,-1.0
