Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:42:33.387447,15:42:36.343925,1,-1.0
1,15:42:33.387447,15:42:36.560950,1,-1.0
1,15:42:33.387447,15:42:36.777353,1,-1.0
1,15:42:33.387447,15:42:36.985654,1,-1.0
1,15:42:33.387447,15:42:37.199760,1,-1.0
1,15:42:33.387447,15:42:37.414660,1,-1.0
1,15:42:33.387447,15:42:40.973549,1,-1.0
1,15:42:33.387447,15:42:41.209760,1,-1.0
1,15:42:33.387447,15:42:41.414136,1,-1.0
1,15:42:33.387447,15:42:41.630625,1,-1.0
1,15:42:33.387447,15:42:41.855332,1,-1.0
1,15:42:33.387447,15:42:42.049338,1,-1.0
1,15:42:33.387447,15:42:42.263937,1,-1.0
1,15:42:33.387447,15:42:42.542459,1,-1.0
1,15:42:33.387447,15:42:42.773412,1,-1.0
1,15:42:33.387447,15:42:43.029343,1,-1.0
1,15:42:33.387447,15:42:44.092877,1,-1.0
1,15:42:33.387447,15:42:44.360947,1,-1.0
1,15:42:33.387447,15:42:44.513853,1,-1.0
1,15:42:33.387447,15:42:44.876551,1,-1.0
1,15:42:33.387447,15:42:45.163988,1,-1.0
1,15:42:33.387447,15:42:47.283164,1,-1.0
1,15:42:33.387447,15:42:47.528217,1,-1.0
1,15:42:33.387447,15:42:47.722445,1,-1.0
1,15:42:33.387447,15:42:47.958938,1,-1.0
1,15:42:33.387447,15:42:48.248662,1,-1.0
1,15:42:33.387447,15:42:49.060656,-1,-1.0
1,15:42:33.387447,15:42:49.346582,-1,-1.0
1,15:42:33.387447,15:42:49.539063,-1,-1.0
1,15:42:33.387447,15:42:49.746099,-1,-1.0
1,15:42:33.387447,15:42:49.901170,-1,-1.0
1,15:42:33.387447,15:42:50.230969,-1,-1.0
1,15:42:33.387447,15:42:50.447182,-1,-1.0
1,15:42:33.387447,15:42:50.698323,-1,-1.0
1,15:42:33.387447,15:42:50.913897,-1,-1.0
1,15:42:33.387447,15:42:51.170197,-1,-1.0
1,15:42:33.387447,15:42:51.429641,-1,-1.0
1,15:42:33.387447,15:42:51.663874,-1,-1.0
1,15:42:33.387447,15:42:51.881318,-1,-1.0
1,15:42:33.387447,15:42:57.437032,-1,-1.0
1,15:42:33.387447,15:42:57.716194,-1,-1.0
1,15:42:33.387447,15:42:57.935366,1,-1.0
1,15:42:33.387447,15:43:01.103082,-1,-1.0
1,15:42:33.387447,15:43:01.434767,-1,-1.0
1,15:42:33.387447,15:43:01.830139,-1,-1.0
1,15:42:33.387447,15:43:02.067111,1,-1.0
1,15:42:33.387447,15:43:02.272648,1,-1.0
1,15:42:33.387447,15:43:02.476164,1,-1.0
1,15:42:33.387447,15:43:02.723863,-1,-1.0
1,15:42:33.387447,15:43:02.927635,-1,-1.0
1,15:42:33.387447,15:43:03.144112,-1,-1.0
1,15:42:33.387447,15:43:03.359385,1,-1.0
1,15:42:33.387447,15:43:03.597424,-1,-1.0
1,15:42:33.387447,15:43:03.802902,-1,-1.0
1,15:42:33.387447,15:43:03.987625,-1,-1.0
1,15:42:33.387447,15:43:04.173794,-1,-1.0
1,15:42:33.387447,15:43:04.389725,-1,-1.0
1,15:42:33.387447,15:43:04.624339,-1,-1.0
1,15:42:33.387447,15:43:04.875906,1,-1.0
1,15:42:33.387447,15:43:05.090414,1,-1.0
1,15:42:33.387447,15:43:05.316524,-1,-1.0
1,15:42:33.387447,15:43:05.510826,-1,-1.0
1,15:42:33.387447,15:43:05.704462,-1,-1.0
1,15:42:33.387447,15:43:05.869699,-1,-1.0
1,15:42:33.387447,15:43:06.083906,-1,-1.0
1,15:42:33.387447,15:43:06.311555,-1,-1.0
1,15:42:33.387447,15:43:06.743546,1,-1.0
1,15:42:33.387447,15:43:06.937643,1,-1.0
1,15:42:33.387447,15:43:07.078111,-1,-1.0
1,15:42:33.387447,15:43:07.312853,1,-1.0
1,15:42:33.387447,15:43:07.506680,1,-1.0
1,15:42:33.387447,15:43:07.713753,1,-1.0
1,15:42:33.387447,15:43:07.962627,1,-1.0
